date,Sample,Rep,berry_num,berry_weight_g,Berry Volume (mL),treatment
9/8/21,B1R1,1,60,64.86,59,1
9/8/21,B1R1,2,60,64.98,57,1
9/8/21,B1R1,3,60,64.9,58,1
9/8/21,B1R3,1,60,64.86,57,1
9/8/21,B1R3,2,60,64.95,58,1
9/8/21,B1R3,3,60,64.74,58,1
9/8/21,B1R4,1,60,61.56,54,1
9/8/21,B1R4,2,60,61.55,54,1
9/8/21,B1R4,3,60,61.83,55,1
9/8/21,B2R1,1,60,65.08,58,2
9/8/21,B2R1,2,60,64.81,58,2
9/8/21,B2R1,3,60,64.8,57,2
9/8/21,B2R2,1,60,67.78,60,2
9/8/21,B2R2,2,60,67.72,60,2
9/8/21,B2R2,3,60,67.66,60,2
9/8/21,B2R3,1,60,63.94,56,2
9/8/21,B2R3,2,60,63.61,56,2
9/8/21,B2R3,3,60,63.59,57,2
9/8/21,B3R1,1,60,59.79,52,3
9/8/21,B3R1,2,60,60.07,53,3
9/8/21,B3R1,3,60,59.69,53,3
9/8/21,B3R2,1,60,67.97,60,3
9/8/21,B3R2,2,60,67.92,61,3
9/8/21,B3R2,3,60,67.88,60,3
9/8/21,B3R3,1,60,60.1,52,3
9/8/21,B3R3,2,60,59.83,52,3
9/8/21,B3R3,3,60,59.86,52,3
