Date_sampled,Block_id,Rep,total_Antho_mg_berry_somers,total_antho_hplc,brix
8/3/20,B1R1,1,0.219199792,0.267901691,16.8
8/3/20,B1R1,2,0.231399809,0.270848035,16.9
8/3/20,B1R1,3,0.217400948,0.26693214,16.9
8/3/20,B1R3,1,0.214355344,0.275453746,16.6
8/3/20,B1R3,2,0.222010923,0.270826612,16.4
8/3/20,B1R3,3,0.181805378,0.245232724,16.8
8/3/20,B1R4,1,0.217005373,0.247617187,17.2
8/3/20,B1R4,2,0.243288715,0.16888663,16.8
8/3/20,B1R4,3,0.209824764,0.2647114,16.7
8/3/20,B2R1,1,0.266471969,0.333907818,17
8/3/20,B2R1,2,0.320377477,0.33469402,16.7
8/3/20,B2R1,3,0.275821591,0.338081274,16.9
8/3/20,B2R2,1,0.324599508,0.371808556,17.5
8/3/20,B2R2,2,0.262699667,0.402595098,17.4
8/3/20,B2R2,3,0.316766304,0.370814501,16.9
8/3/20,B2R3,1,0.261332755,0.311889012,16.7
8/3/20,B2R3,2,0.266477404,0.316086947,16.8
8/3/20,B2R3,3,0.211944015,0.308980926,16.9
8/3/20,B3R1,1,0.404699724,0.436043209,17.6
8/3/20,B3R1,2,0.373213481,0.434125322,17.8
8/3/20,B3R1,3,0.324499542,0.365731798,17.7
8/3/20,B3R2,1,0.315332252,0.349865653,17.6
8/3/20,B3R2,2,0.292971757,0.324730693,17.8
8/3/20,B3R2,3,0.333499406,0.36442895,17.7
8/3/20,B3R3,1,0.293377448,0.335586127,17.1
8/3/20,B3R3,2,0.270888106,0.301471152,17.1
8/3/20,B3R3,3,0.28477746,0.333843489,17.4
8/13/20,B1R1,1,0.805421916,0.441978562,20.8
8/13/20,B1R1,2,0.731894089,0.415271727,20.6
8/13/20,B1R1,3,0.749166305,0.487977567,20.7
8/13/20,B1R3,1,0.536999742,0.356498445,21.1
8/13/20,B1R3,2,0.713499645,0.467159197,20.7
8/13/20,B1R3,3,0.715841321,0.438389175,20.6
8/13/20,B1R4,1,0.76853296,0.454527811,21.3
8/13/20,B1R4,2,0.723513556,0.488887946,21.1
8/13/20,B1R4,3,0.75918298,0.477121952,20.9
8/13/20,B2R1,1,0.763694091,0.452346099,20.7
8/13/20,B2R1,2,0.706688568,0.454345036,20.4
8/13/20,B2R2,1,0.801666303,0.541885669,20.9
8/13/20,B2R2,2,0.78346632,0.510256394,20.6
8/13/20,B2R2,3,0.842110724,0.553542842,21
8/13/20,B2R3,1,0.688410799,0.426502962,20.3
8/13/20,B2R3,2,0.674935808,0.437163883,20.5
8/13/20,B2R3,3,0.629902472,0.427019592,20.6
8/13/20,B3R1,1,0.789994097,0.5044123,21
8/13/20,B3R1,2,0.807355206,0.458083521,21
8/13/20,B3R1,3,0.769166333,0.417437498,21.1
8/13/20,B3R2,1,0.735624665,0.476209509,21
8/13/20,B3R2,2,0.783732992,0.469983161,20.6
8/13/20,B3R2,3,0.716971898,0.448349249,20.6
8/13/20,B3R3,1,0.733366356,0.445784538,21.1
8/13/20,B3R3,2,0.664533056,0.384322433,21.3
8/13/20,B3R3,3,0.680555251,0.370307969,21.2
8/16/20,B1R1,1,0.700971901,0.184951602,21.3
8/16/20,B1R1,2,0.725999706,0.455697583,21.8
8/16/20,B1R1,3,0.663382998,0.469790605,21.8
8/16/20,B1R3,1,0.755046856,0.456118703,21.5
8/16/20,B1R3,2,0.730624668,0.462048451,21.8
8/16/20,B1R3,3,0.657510759,0.457099255,21.6
8/16/20,B1R4,1,0.73919967,0.464556723,23
8/16/20,B1R4,2,0.788082958,0.464434525,22.9
8/16/20,B1R4,3,0.706388567,0.468417111,22.5
8/16/20,B2R1,1,0.806596841,0.628255221,22.1
8/16/20,B2R1,2,0.738399688,0.587501464,22.3
8/16/20,B2R1,3,0.7830552,0.596678392,22.1
8/16/20,B2R2,1,0.875499571,0.62167487,21.8
8/16/20,B2R2,2,0.776532987,0.628402859,22
8/16/20,B2R2,3,0.80826354,0.642885336,22.1
8/16/20,B2R3,2,0.791110767,0.548236696,22
8/16/20,B2R3,3,0.839516338,0.544467968,21.7
8/16/20,B3R1,1,0.797049677,0.579032384,22.3
8/16/20,B3R1,2,0.762124685,0.536230342,22.4
8/16/20,B3R1,3,0.842527397,0.622080011,22.5
8/16/20,B3R2,1,0.790124668,0.520565131,22.2
8/16/20,B3R2,2,0.757177477,0.535570301,22.3
8/16/20,B3R2,3,0.84499965,0.525423806,21.9
8/16/20,B3R3,1,0.76472185,0.534032301,22.4
8/16/20,B3R3,2,0.859199616,0.560021196,22.4
