Date,base,2x,3x
7/1/2019,0,0,0
7/2/2019,0,0,0
7/3/2019,0,0,0
7/4/2019,0,0,0
7/5/2019,0,0,0
7/6/2019,0,0,0
7/7/2019,0,0,0
7/8/2019,0,0,0
7/9/2019,0,0,0
7/10/2019,0,0,0
7/11/2019,6,6,6.25
7/12/2019,4.25,4.5,7
7/13/2019,4.25,4.5,7
7/14/2019,4.25,4.5,7
7/15/2019,4.25,4.5,7
7/16/2019,0,0,0
7/17/2019,4.25,4.5,7
7/18/2019,0,0,0
7/19/2019,6,5.75,7.25
7/20/2019,4,4,4
7/21/2019,4,4,4
7/22/2019,5.5,5.5,7
7/23/2019,5.5,12.5,19
7/24/2019,5.5,12.5,19
7/25/2019,5.5,12.5,19
7/26/2019,5.5,12.5,19
7/27/2019,7,14,21
7/28/2019,7,14,21
7/29/2019,8,8,8
7/30/2019,5,5,5
7/31/2019,6,6,6
8/1/2019,6,6,6
8/2/2019,6,6,6
8/3/2019,14,13,13
8/4/2019,14,13,13
8/5/2019,14,13,13
8/6/2019,12,11,11
8/7/2019,6,6,9
8/8/2019,5,5,8
8/9/2019,5,5,5
8/10/2019,0,0,0
8/11/2019,0,0,0
8/12/2019,5.25,10.5,15.75
8/13/2019,5.25,10.5,15.75
8/14/2019,5.25,10.5,15.75
8/15/2019,5.25,10.5,15.75
8/16/2019,5.25,10.5,15.75
8/17/2019,5,5,5
8/18/2019,0,0,0
8/19/2019,6,6,9
8/20/2019,5.5,5,5
8/21/2019,5.5,5,5
8/22/2019,5.5,5,5
8/23/2019,5.5,5,5
8/24/2019,5,5,5
8/25/2019,0,0,0
8/26/2019,5,5,5
8/27/2019,4.75,4.5,5
8/28/2019,4.75,4.5,5
8/29/2019,4.75,4.5,5
8/30/2019,4.75,4.5,5
8/31/2019,4.75,4.5,5
9/1/2019,0,0,0
9/2/2019,4.75,4.5,5
9/3/2019,4.75,4.5,5
9/4/2019,4.75,4.5,5
9/5/2019,4.75,4.5,5
