Date,hours_irrigation,treatment
7/1/2019,0,1
7/2/2019,0,1
7/3/2019,0,1
7/4/2019,0,1
7/5/2019,0,1
7/6/2019,0,1
7/7/2019,0,1
7/8/2019,0,1
7/9/2019,0,1
7/10/2019,0,1
7/11/2019,6,1
7/12/2019,4.25,1
7/13/2019,4.25,1
7/14/2019,4.25,1
7/15/2019,4.25,1
7/16/2019,0,1
7/17/2019,4.25,1
7/18/2019,0,1
7/19/2019,6,1
7/20/2019,4,1
7/21/2019,4,1
7/22/2019,5.5,1
7/23/2019,5.5,1
7/24/2019,5.5,1
7/25/2019,5.5,1
7/26/2019,5.5,1
7/27/2019,7,1
7/28/2019,7,1
7/29/2019,8,1
7/30/2019,5,1
7/31/2019,6,1
8/1/2019,6,1
8/2/2019,6,1
8/3/2019,14,1
8/4/2019,14,1
8/5/2019,14,1
8/6/2019,12,1
8/7/2019,6,1
8/8/2019,5,1
8/9/2019,5,1
8/10/2019,0,1
8/11/2019,0,1
8/12/2019,5.25,1
8/13/2019,5.25,1
8/14/2019,5.25,1
8/15/2019,5.25,1
8/16/2019,5.25,1
8/17/2019,5,1
8/18/2019,0,1
8/19/2019,6,1
8/20/2019,5.5,1
8/21/2019,5.5,1
8/22/2019,5.5,1
8/23/2019,5.5,1
8/24/2019,5,1
8/25/2019,0,1
8/26/2019,5,1
8/27/2019,4.75,1
8/28/2019,4.75,1
8/29/2019,4.75,1
8/30/2019,4.75,1
8/31/2019,4.75,1
9/1/2019,0,1
9/2/2019,4.75,1
9/3/2019,4.75,1
9/4/2019,4.75,1
9/5/2019,4.75,1
7/1/2019,0,2
7/2/2019,0,2
7/3/2019,0,2
7/4/2019,0,2
7/5/2019,0,2
7/6/2019,0,2
7/7/2019,0,2
7/8/2019,0,2
7/9/2019,0,2
7/10/2019,0,2
7/11/2019,6,2
7/12/2019,4.5,2
7/13/2019,4.5,2
7/14/2019,4.5,2
7/15/2019,4.5,2
7/16/2019,0,2
7/17/2019,4.5,2
7/18/2019,0,2
7/19/2019,5.75,2
7/20/2019,4,2
7/21/2019,4,2
7/22/2019,5.5,2
7/23/2019,12.5,2
7/24/2019,12.5,2
7/25/2019,12.5,2
7/26/2019,12.5,2
7/27/2019,14,2
7/28/2019,14,2
7/29/2019,8,2
7/30/2019,5,2
7/31/2019,6,2
8/1/2019,6,2
8/2/2019,6,2
8/3/2019,13,2
8/4/2019,13,2
8/5/2019,13,2
8/6/2019,11,2
8/7/2019,6,2
8/8/2019,5,2
8/9/2019,5,2
8/10/2019,0,2
8/11/2019,0,2
8/12/2019,10.5,2
8/13/2019,10.5,2
8/14/2019,10.5,2
8/15/2019,10.5,2
8/16/2019,10.5,2
8/17/2019,5,2
8/18/2019,0,2
8/19/2019,6,2
8/20/2019,5,2
8/21/2019,5,2
8/22/2019,5,2
8/23/2019,5,2
8/24/2019,5,2
8/25/2019,0,2
8/26/2019,5,2
8/27/2019,4.5,2
8/28/2019,4.5,2
8/29/2019,4.5,2
8/30/2019,4.5,2
8/31/2019,4.5,2
9/1/2019,0,2
9/2/2019,4.5,2
9/3/2019,4.5,2
9/4/2019,4.5,2
9/5/2019,4.5,2
7/1/2019,0,3
7/2/2019,0,3
7/3/2019,0,3
7/4/2019,0,3
7/5/2019,0,3
7/6/2019,0,3
7/7/2019,0,3
7/8/2019,0,3
7/9/2019,0,3
7/10/2019,0,3
7/11/2019,6.25,3
7/12/2019,7,3
7/13/2019,7,3
7/14/2019,7,3
7/15/2019,7,3
7/16/2019,0,3
7/17/2019,7,3
7/18/2019,0,3
7/19/2019,7.25,3
7/20/2019,4,3
7/21/2019,4,3
7/22/2019,7,3
7/23/2019,19,3
7/24/2019,19,3
7/25/2019,19,3
7/26/2019,19,3
7/27/2019,21,3
7/28/2019,21,3
7/29/2019,8,3
7/30/2019,5,3
7/31/2019,6,3
8/1/2019,6,3
8/2/2019,6,3
8/3/2019,13,3
8/4/2019,13,3
8/5/2019,13,3
8/6/2019,11,3
8/7/2019,9,3
8/8/2019,8,3
8/9/2019,5,3
8/10/2019,0,3
8/11/2019,0,3
8/12/2019,15.75,3
8/13/2019,15.75,3
8/14/2019,15.75,3
8/15/2019,15.75,3
8/16/2019,15.75,3
8/17/2019,5,3
8/18/2019,0,3
8/19/2019,9,3
8/20/2019,5,3
8/21/2019,5,3
8/22/2019,5,3
8/23/2019,5,3
8/24/2019,5,3
8/25/2019,0,3
8/26/2019,5,3
8/27/2019,5,3
8/28/2019,5,3
8/29/2019,5,3
8/30/2019,5,3
8/31/2019,5,3
9/1/2019,0,3
9/2/2019,5,3
9/3/2019,5,3
9/4/2019,5,3
9/5/2019,5,3
