Date,hours,treatment
5/19/2019,4,1
5/20/2019,0,1
5/21/2019,0,1
5/22/2019,3.75,1
5/23/2019,0,1
5/24/2019,3.75,1
5/25/2019,0,1
5/26/2019,3.75,1
5/27/2019,0,1
5/28/2019,5.08,1
5/29/2019,0,1
5/30/2019,0,1
5/31/2019,0,1
6/1/2019,5.08,1
6/2/2019,0,1
6/3/2019,0,1
6/4/2019,5.08,1
6/5/2019,0,1
6/6/2019,5.08,1
6/7/2019,0,1
6/8/2019,0,1
6/9/2019,5.08,1
6/10/2019,3.92,1
6/11/2019,0,1
6/12/2019,0,1
6/13/2019,3.92,1
6/14/2019,0,1
6/15/2019,0,1
6/16/2019,0,1
6/17/2019,0,1
6/18/2019,0,1
6/19/2019,0,1
6/20/2019,0,1
6/21/2019,0,1
6/22/2019,0,1
6/23/2019,0,1
6/24/2019,0,1
6/25/2019,0,1
6/26/2019,0,1
6/27/2019,0,1
6/28/2019,0,1
6/29/2019,0,1
6/30/2019,0,1
7/1/2019,0,1
7/2/2019,0,1
7/3/2019,0,1
7/4/2019,0,1
7/5/2019,0,1
7/6/2019,0,1
7/7/2019,0,1
7/8/2019,0,1
7/9/2019,0,1
7/10/2019,0,1
7/11/2019,5.92,1
7/12/2019,4.92,1
7/13/2019,4.92,1
7/14/2019,0,1
7/15/2019,4.92,1
7/16/2019,0,1
7/17/2019,4.92,1
7/18/2019,0,1
7/19/2019,6.08,1
7/20/2019,4,1
7/21/2019,0,1
7/22/2019,5.67,1
7/23/2019,5.83,1
7/24/2019,5.83,1
7/25/2019,5.83,1
7/26/2019,5.83,1
7/27/2019,7,1
7/28/2019,7,1
7/29/2019,8,1
7/30/2019,5,1
7/31/2019,6,1
8/1/2019,6,1
8/2/2019,6,1
8/3/2019,12.33,1
8/4/2019,0,1
8/5/2019,12.33,1
8/6/2019,10.33,1
8/7/2019,7.5,1
8/8/2019,6.5,1
8/9/2019,5,1
8/10/2019,2.33,1
8/11/2019,0,1
8/12/2019,5.25,1
8/13/2019,5.25,1
8/14/2019,5.25,1
8/15/2019,5.25,1
8/16/2019,5.25,1
8/17/2019,5,1
8/18/2019,0,1
8/19/2019,7.5,1
8/20/2019,5,1
8/21/2019,5,1
8/22/2019,5,1
8/23/2019,5,1
8/24/2019,5,1
8/25/2019,0,1
8/26/2019,5,1
8/27/2019,4.83,1
8/28/2019,4.83,1
8/29/2019,4.83,1
8/30/2019,4.83,1
8/31/2019,4.83,1
9/1/2019,0,1
