date,block,sub-block,row,vine,vigor,total clusters,weight,initials,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,5,"13,14",high,96,19.02,IW,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,3,"13,14",high,98,20.68,SCB,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,3,"8,9",high,115,18.36,RGH,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,7,"4,5",high,98,25.50,ARU,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,5,"8,9",high,84,11.66,RGH,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,5,"6,7",high,107,16.96,RGH,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,7,"12,13",high,104,28.30,IRW,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,7,"7,8",high,88,26.98,SCB/NR,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,5,"3,4",high,33,16.24,PMT,,,,,,,,,,,,,,,,,
9/14/21,B1R4,NW,3,"4,5",high,156,25.76,NC,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,5,"14,15",medium,76,15.46,NC,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,5,"9,10",medium,75,19.02,NC,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,8,"12,13",medium,74,14.84,ARU,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,5,"2,3",medium,105,22.26,SCB,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,3,"10,11",medium,43,16.04,PMT,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,5,"5,6",medium,111,22.38,RGH,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,3,"4,5",medium,72,14.04,NR,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,8,"3,4",medium,63,8.90,IRW,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,8,"8,9",medium,84,14.54,ARU,,,,,,,,,,,,,,,,,
9/14/21,B1R3,SE,3,"7,8",medium,40,16.14,PMT,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,7,"3,4",high,83,11.90,ARU,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,7,"7,8",high,105,19.00,NC+KEHE,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,5,"10,11",high,79,17.96,IRW,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,5,"6,7",high,107,18.72,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,5,"15,16",high,137,23.08,RGH,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,3,"14,15",high,63,21.28,NC,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,5,"3,4",high,108,17.08,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,3,"8,9",high,85,14.22,NR,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,7,"14,15",high,43,19.02,PMT,,,,,,,,,,,,,,,,,
9/14/21,B2R1,SE,3,"5,6",high,93,17.94,SCB,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,3,"11,12",low,94,15.08,RGH,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,3,"3,4",low,84,18.66,SCB,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,5,"4,5",low,102,19.56,NR,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,6,"4,5",low,70,36.16,PMT,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,7,"8,9",low,122,28.76,ARU,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,5,"15,16",low,85,10.80,NR,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,5,"10,11",low,64,11.98,IRW,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,7,"6,7",low,149,32.90,NC,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,3,"8,9",low,96,14.56,RGH,,,,,,,,,,,,,,,,,
9/14/21,B2R3,SE,5,"7,8",low,97,16.66,NC,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,5,"13,14",medium,79,13.14,RH,,,,,,,,,,,,,,,,,
9/14/21, B3R3,SE,3,"13,14",medium,90,14.20,RGH,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,7,"5,6",medium,111,13.02,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,7,"2,3",medium,109,14.34,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,3,"3,4",medium,78,16.08,SCB,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,5,"2,3",medium,121,18.14,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,5,"7,8",medium,121,19.62,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,3,"7,8",medium,63,14.12,IRW,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,7,"10,11",medium,114,15.98,KEHE,,,,,,,,,,,,,,,,,
9/14/21,B3R3,SE,5,"15,16",medium,95,13.32,NR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
