date,block,Rep,brix,pH,TA,treatment
7/7/21,B1R1,1,5.3,2.41,44.91,1
7/7/21,B1R1,2,5.3,2.36,44.76,1
7/7/21,B1R1,3,5.3,2.39,43.75,1
7/7/21,B1R3,1,5.1,2.21,43,1
7/7/21,B1R3,2,5,2.31,42.77,1
7/7/21,B1R3,3,5,2.35,43.41,1
7/7/21,B1R4,1,5.1,2.34,45.62,1
7/7/21,B1R4,2,5.1,2.33,45.28,1
7/7/21,B1R4,3,5.2,2.37,45.99,1
7/7/21,B2R1,1,5.2,2.36,44.46,2
7/7/21,B2R1,2,5.2,2.41,45.21,2
7/7/21,B2R1,3,5.2,2.36,44.72,2
7/7/21,B2R2,1,5,2.39,42.89,2
7/7/21,B2R2,2,4.9,2.37,43,2
7/7/21,B2R2,3,4.9,2.37,43.04,2
7/7/21,B2R3,1,4.8,2.39,43.45,2
7/7/21,B2R3,2,4.8,2.37,43.15,2
7/7/21,B2R3,3,4.8,2.38,42.89,2
7/7/21,B3R1,1,5,2.4,43.9,3
7/7/21,B3R1,2,5.1,2.36,43.67,3
7/7/21,B3R1,3,4.9,2.38,42.55,3
7/7/21,B3R2,1,5,2.36,43.6,3
7/7/21,B3R2,2,5,2.39,42.77,3
7/7/21,B3R2,3,5.1,2.32,44.16,3
7/7/21,B3R3,1,5,2.34,44.53,3
7/7/21,B3R3,2,5.1,2.32,44.27,3
7/7/21,B3R3,3,4.9,2.27,44.16,3
7/10/21,B1R1,1,5.3,2.36,43.27,1
7/10/21,B1R1,2,5.4,2.42,44.42,1
7/10/21,B1R1,3,5.4,2.37,43.35,1
7/10/21,B1R3,1,5.2,2.35,43.68,1
7/10/21,B1R3,2,5.1,2.4,43.05,1
7/10/21,B1R3,3,5.3,2.42,43.57,1
7/10/21,B1R4,1,5.6,2.36,44.49,1
7/10/21,B1R4,2,5.5,2.34,43.57,1
7/10/21,B1R4,3,5.5,2.33,43.64,1
7/10/21,B2R1,1,5.3,2.34,41.69,2
7/10/21,B2R1,2,5.1,2.4,41.39,2
7/10/21,B2R1,3,5.3,2.33,41.8,2
7/10/21,B2R2,1,4.9,2.41,41.61,2
7/10/21,B2R2,2,4.9,2.36,42.09,2
7/10/21,B2R2,3,4.9,2.35,42.76,2
7/10/21,B2R3,1,4.9,2.34,40.72,2
7/10/21,B2R3,2,5,2.34,41.59,2
7/10/21,B2R3,3,5,2.36,41.02,2
7/10/21,B3R1,1,4.9,2.41,40.84,3
7/10/21,B3R1,2,4.9,2.47,39.91,3
7/10/21,B3R1,3,4.8,2.39,41.76,3
7/10/21,B3R2,1,4.9,2.37,40.95,3
7/10/21,B3R2,2,4.9,2.4,41.76,3
7/10/21,B3R2,3,5,2.42,41.39,3
7/10/21,B3R3,1,5,2.35,41.09,3
7/10/21,B3R3,2,5,2.35,45.09,3
7/10/21,B3R3,3,5,2.39,41.72,3
