Year,Month,Day,Hour,Minute,DOY,Tair_C_sonic,Tair_C_hmp
2021,4,6,0,30,96,7.73,7.54
2021,4,6,1,30,96,7.17,6.96
2021,4,6,2,30,96,7.19,6.92
2021,4,6,3,30,96,6.07,5.91
2021,4,6,4,30,96,5.65,5.44
2021,4,6,5,30,96,4.83,4.67
2021,4,6,6,30,96,6.46,6.11
2021,4,6,7,30,96,9.78,9.45
2021,4,6,8,30,96,11.4,11.2
2021,4,6,9,30,96,13.14,12.98
2021,4,6,10,30,96,15.42,15.25
2021,4,6,11,30,96,17.74,17.64
2021,4,6,12,30,96,19.32,19.38
2021,4,6,13,30,96,20.39,20.49
2021,4,6,14,30,96,21.8,21.88
2021,4,6,15,30,96,22.03,22.44
2021,4,6,16,30,96,22.34,22.8
2021,4,6,17,30,96,22.24,22.52
2021,4,6,18,30,96,19.95,20.03
2021,4,6,19,30,96,16.93,16.78
2021,4,6,20,30,96,14.89,14.7
2021,4,6,21,30,96,13.57,13.38
2021,4,6,22,30,96,12.43,12.25
2021,4,6,23,30,96,10.68,10.51
2021,4,7,0,30,97,9.38,9.2
2021,4,7,1,30,97,8.69,8.45
2021,4,7,2,30,97,7.65,7.4
2021,4,7,3,30,97,6.88,6.71
2021,4,7,4,30,97,5.87,5.64
2021,4,7,5,30,97,5.65,5.45
2021,4,7,6,30,97,6.42,6.1
2021,4,7,7,30,97,9.65,9.41
2021,4,7,8,30,97,11.16,11.06
2021,4,7,9,30,97,13.3,13.27
2021,4,7,10,30,97,15.81,15.83
2021,4,7,11,30,97,17.73,17.92
2021,4,7,12,30,97,19.38,19.7
2021,4,7,13,30,97,20.4,20.96
2021,4,7,14,30,97,21.42,22.15
2021,4,7,15,30,97,20.59,21.4
2021,4,7,16,30,97,18.88,19.43
2021,4,7,17,30,97,17.67,18.04
2021,4,7,18,30,97,15.57,15.7
2021,4,7,19,30,97,13.67,13.63
2021,4,7,20,30,97,12.25,12.22
2021,4,7,21,30,97,10.44,10.3
2021,4,7,22,30,97,9.75,9.61
2021,4,7,23,30,97,7.9,7.82
2021,4,8,0,30,98,6.73,6.57
2021,4,8,1,30,98,5.89,5.76
2021,4,8,2,30,98,5.42,5.27
2021,4,8,3,30,98,4.97,4.8
2021,4,8,4,30,98,4.37,4.24
2021,4,8,5,30,98,4.34,4.17
2021,4,8,6,30,98,5.77,5.47
2021,4,8,7,30,98,9.45,9.21
2021,4,8,8,30,98,10.87,10.71
2021,4,8,9,30,98,12.6,12.49
2021,4,8,10,30,98,14.9,14.87
2021,4,8,11,30,98,16.82,16.81
2021,4,8,12,30,98,18.68,18.88
2021,4,8,13,30,98,20.31,20.66
2021,4,8,14,30,98,21.6,22.1
2021,4,8,15,30,98,22.36,22.93
2021,4,8,16,30,98,22.48,23.06
2021,4,8,17,30,98,22.11,22.6
2021,4,8,18,30,98,20.17,20.46
2021,4,8,19,30,98,16.78,16.82
2021,4,8,20,30,98,14.87,14.8
2021,4,8,21,30,98,12.99,12.98
2021,4,8,22,30,98,11.55,11.48
2021,4,8,23,30,98,10.09,10.01
2021,4,9,0,30,99,9.3,9.2
2021,4,9,1,30,99,8.38,8.23
2021,4,9,2,30,99,7.6,7.45
2021,4,9,3,30,99,6.87,6.73
