Date,Tmax
7/1/2019,32.3
7/2/2019,32
7/3/2019,32.7
7/4/2019,34.2
7/5/2019,35.5
7/6/2019,36.1
7/7/2019,33
7/8/2019,29.9
7/9/2019,31.2
7/10/2019,33.1
7/11/2019,34.5
7/12/2019,36.2
7/13/2019,37.3
7/14/2019,34.9
7/15/2019,35.9
7/16/2019,33.9
7/17/2019,36.8
7/18/2019,33.9
7/19/2019,33.9
7/20/2019,31.6
7/21/2019,36
7/22/2019,38.4
7/23/2019,37.1
7/24/2019,38
7/25/2019,38.4
7/26/2019,36.6
7/27/2019,39.3
7/28/2019,40.4
7/29/2019,34.1
7/30/2019,33
7/31/2019,35.5
8/1/2019,33.7
8/2/2019,35.9
8/3/2019,38.1
8/4/2019,36.7
8/5/2019,36.2
8/6/2019,37.2
8/7/2019,34.3
8/8/2019,30.7
8/9/2019,31.1
8/10/2019,30
8/11/2019,32.4
8/12/2019,35.6
8/13/2019,38.8
8/14/2019,39.6
8/15/2019,40.5
8/16/2019,39.3
8/17/2019,33.4
8/18/2019,32.1
8/19/2019,31.5
8/20/2019,31
8/21/2019,35.1
8/22/2019,36.7
8/23/2019,37.8
8/24/2019,35.2
8/25/2019,38
8/26/2019,38.4
8/27/2019,37.8
8/28/2019,34.5
8/29/2019,30.8
8/30/2019,36.7
8/31/2019,37.1
9/1/2019,37.7
9/2/2019,37.2
9/3/2019,37.5
9/4/2019,37.9
9/5/2019,33.6
