Year,Month,Day,Hour,Minute,DOY,Tair_C_sonic,Tair_C_hmp
2020,5,19,0,30,140,11.64,11.39
2020,5,19,1,30,140,11.36,11.2
2020,5,19,2,30,140,10.93,10.9
2020,5,19,3,30,140,10.37,10.35
2020,5,19,4,30,140,10.17,10.03
2020,5,19,5,30,140,11.12,10.86
2020,5,19,6,30,140,11.97,11.65
2020,5,19,7,30,140,12.69,12.69
2020,5,19,8,30,140,13.9,14.02
2020,5,19,9,30,140,14.95,15.27
2020,5,19,10,30,140,16.48,16.67
2020,5,19,11,30,140,17.82,18.16
2020,5,19,12,30,140,18.6,18.71
2020,5,19,13,30,140,19.53,19.89
2020,5,19,14,30,140,20.37,20.85
2020,5,19,15,30,140,20.63,21.07
2020,5,19,16,30,140,20.98,21.42
2020,5,19,17,30,140,21,21.43
2020,5,19,18,30,140,20.13,20.53
2020,5,19,19,30,140,17.89,17.98
2020,5,19,20,30,140,16.01,15.99
2020,5,19,21,30,140,14.03,13.99
2020,5,19,22,30,140,12.8,12.7
2020,5,19,23,30,140,12.01,11.84
2020,5,20,0,30,141,11.38,11.29
2020,5,20,1,30,141,10.81,10.76
2020,5,20,2,30,141,10.69,10.63
2020,5,20,3,30,141,10.14,10.11
2020,5,20,4,30,141,9.37,9.35
2020,5,20,5,30,141,9.63,9.56
2020,5,20,6,30,141,12.08,12.05
2020,5,20,7,30,141,14.26,14.64
2020,5,20,8,30,141,15.74,16.31
2020,5,20,9,30,141,17.06,17.39
2020,5,20,10,30,141,18.4,18.76
2020,5,20,11,30,141,19.48,19.76
2020,5,20,12,30,141,20.7,21.24
2020,5,20,13,30,141,21.77,22.39
2020,5,20,14,30,141,22.78,23.31
2020,5,20,15,30,141,23.27,23.81
2020,5,20,16,30,141,23.47,24.06
2020,5,20,17,30,141,23.4,24.02
2020,5,20,18,30,141,22.47,23.1
2020,5,20,19,30,141,19.24,19.52
2020,5,20,20,30,141,18.12,18.07
2020,5,20,21,30,141,16.75,16.62
