date,sample_id,Rep,pH,TA,Brix,treatment ,pixel_number
8/2/2019,B1R2,1,2.75,19.1,13.2,1,34
8/2/2019,B1R2,2,2.76,18.4,13.7,1,34
8/2/2019,B1R2,3,2.76,18.9,13.7,1,34
8/2/2019,B1R3,1,2.75,18.8,13.8,1,55
8/2/2019,B1R3,2,2.81,16.4,14.8,1,55
8/2/2019,B1R3,3,2.78,18.2,13.9,1,55
8/2/2019,B1R4,1,2.79,18.9,13.7,1,67
8/2/2019,B1R4,2,2.80,18.8,13.7,1,67
8/2/2019,B1R4,3,2.80,18.2,14.5,1,67
8/2/2019,B2R1,1,2.76,19.5,13.6,2,23
8/2/2019,B2R1,2,2.73,20.2,13.0,2,23
8/2/2019,B2R1,3,2.75,19.4,13.0,2,23
8/2/2019,B2R2,1,2.79,18.5,14.4,2,35
8/2/2019,B2R2,2,2.76,18.9,14.2,2,35
8/2/2019,B2R2,3,2.81,17.9,14.7,2,35
8/2/2019,B2R3,1,2.79,18.8,13.8,2,48
8/2/2019,B2R3,2,2.81,18.9,13.4,2,48
8/2/2019,B2R3,3,2.78,18.9,13.1,2,48
8/2/2019,B3R1,1,2.92,16.0,14.8,3,27
8/2/2019,B3R1,2,2.88,16.2,15.1,3,27
8/2/2019,B3R1,3,2.90,15.6,14.9,3,27
8/2/2019,B3R2,1,2.79,18.0,13.5,3,45
8/2/2019,B3R2,2,2.76,18.9,12.9,3,45
8/2/2019,B3R2,3,2.81,17.4,13.9,3,45
8/2/2019,B3R3,1,2.79,19.2,13.5,3,54
8/2/2019,B3R3,2,2.76,21.1,13.0,3,54
8/2/2019,B3R3,3,2.75,21.3,12.7,3,54
8/8/2019,B1R2,1,2.92,14.1,16.2,1,34
8/8/2019,B1R2,2,2.87,14.4,16.0,1,34
8/8/2019,B1R2,3,2.86,13.1,16.5,1,34
8/8/2019,B1R3,1,2.90,10.8,17.4,1,55
8/8/2019,B1R3,2,2.96,10.2,17.7,1,55
8/8/2019,B1R3,3,2.91,9.9,17.5,1,55
8/8/2019,B1R4,1,2.88,12,16.7,1,67
8/8/2019,B1R4,2,2.9,11.4,17.0,1,67
8/8/2019,B1R4,3,2.97,12.0,17.1,1,67
8/8/2019,B2R1,1,2.93,14.4,16.2,2,23
