date,block_id,sub-block,vigor,berry_number,berry_diameter,treatment 
9/15/20,B1R3,SE,medium,1,11.78,1
9/15/20,B1R3,SE,medium,1,11.72,1
9/15/20,B1R3,SE,medium,2,11.52,1
9/15/20,B1R3,SE,medium,2,11.40,1
9/15/20,B1R3,SE,medium,3,10.02,1
9/15/20,B1R3,SE,medium,3,9.62,1
9/15/20,B1R3,SE,medium,4,10.66,1
9/15/20,B1R3,SE,medium,4,10.10,1
9/15/20,B1R3,SE,medium,5,11.00,1
9/15/20,B1R3,SE,medium,5,10.54,1
9/15/20,B1R3,SE,medium,6,11.00,1
9/15/20,B1R3,SE,medium,6,10.48,1
9/15/20,B1R3,SE,medium,7,12.46,1
9/15/20,B1R3,SE,medium,7,11.86,1
9/15/20,B1R3,SE,medium,8,12.80,1
9/15/20,B1R3,SE,medium,8,12.10,1
9/15/20,B1R3,SE,medium,9,10.10,1
9/15/20,B1R3,SE,medium,9,10.46,1
9/15/20,B1R3,SE,medium,10,9.32,1
9/15/20,B1R3,SE,medium,10,9.22,1
9/15/20,B2R2,SE,low,1,12.68,2
9/15/20,B2R2,SE,low,1,13.14,2
9/15/20,B2R2,SE,low,2,13.60,2
9/15/20,B2R2,SE,low,2,13.24,2
9/15/20,B2R2,SE,low,3,12.46,2
9/15/20,B2R2,SE,low,3,11.82,2
9/15/20,B2R2,SE,low,4,13.70,2
9/15/20,B2R2,SE,low,4,12.86,2
9/15/20,B2R2,SE,low,5,11.22,2
9/15/20,B2R2,SE,low,5,10.98,2
9/15/20,B2R2,SE,low,6,12.28,2
9/15/20,B2R2,SE,low,6,11.78,2
9/15/20,B2R2,SE,low,7,13.50,2
9/15/20,B2R2,SE,low,7,13.10,2
9/15/20,B2R2,SE,low,8,11.56,2
9/15/20,B2R2,SE,low,8,11.00,2
9/15/20,B2R2,SE,low,9,11.84,2
9/15/20,B2R2,SE,low,9,11.30,2
9/15/20,B2R2,SE,low,10,12.48,2
9/15/20,B2R2,SE,low,10,11.68,2
9/15/20,B3R2,NE,medium,1,12.08,3
9/15/20,B3R2,NE,medium,1,11.68,3
9/15/20,B3R2,NE,medium,2,12.56,3
9/15/20,B3R2,NE,medium,2,12.30,3
9/15/20,B3R2,NE,medium,3,12.50,3
9/15/20,B3R2,NE,medium,3,12.16,3
9/15/20,B3R2,NE,medium,4,12.66,3
9/15/20,B3R2,NE,medium,4,12.36,3
9/15/20,B3R2,NE,medium,5,12.30,3
9/15/20,B3R2,NE,medium,5,12.16,3
9/15/20,B3R2,NE,medium,6,12.10,3
9/15/20,B3R2,NE,medium,6,11.00,3
9/15/20,B3R2,NE,medium,7,10.90,3
9/15/20,B3R2,NE,medium,7,10.00,3
9/15/20,B3R2,NE,medium,8,11.66,3
9/15/20,B3R2,NE,medium,8,11.02,3
9/15/20,B3R2,NE,medium,9,12.66,3
9/15/20,B3R2,NE,medium,9,12.06,3
9/15/20,B3R2,NE,medium,10,12.72,3
9/15/20,B3R2,NE,medium,10,12.60,3
9/15/20,B3R1,SW,low,1,13.06,3
9/15/20,B3R1,SW,low,1,12.90,3
9/15/20,B3R1,SW,low,2,10.80,3
9/15/20,B3R1,SW,low,2,10.62,3
9/15/20,B3R1,SW,low,3,11.66,3
9/15/20,B3R1,SW,low,3,11.82,3
9/15/20,B3R1,SW,low,4,11.68,3
9/15/20,B3R1,SW,low,4,11.00,3
9/15/20,B3R1,SW,low,5,14.58,3
9/15/20,B3R1,SW,low,5,14.72,3
9/15/20,B3R1,SW,low,6,11.70,3
9/15/20,B3R1,SW,low,6,11.06,3
9/15/20,B3R1,SW,low,7,13.24,3
9/15/20,B3R1,SW,low,7,13.14,3
9/15/20,B3R1,SW,low,8,11.78,3
9/15/20,B3R1,SW,low,8,11.90,3
9/15/20,B3R1,SW,low,9,11.58,3
9/15/20,B3R1,SW,low,9,11.30,3
9/15/20,B3R1,SW,low,10,11.28,3
9/15/20,B3R1,SW,low,10,10.82,3
9/15/20,B2R2,NE,medium,1,13.20,2
9/15/20,B2R2,NE,medium,1,13.06,2
9/15/20,B2R2,NE,medium,2,9.68,2
9/15/20,B2R2,NE,medium,2,9.74,2
9/15/20,B2R2,NE,medium,3,12.96,2
9/15/20,B2R2,NE,medium,3,12.16,2
9/15/20,B2R2,NE,medium,4,12.66,2
9/15/20,B2R2,NE,medium,4,12.50,2
9/15/20,B2R2,NE,medium,5,11.22,2
9/15/20,B2R2,NE,medium,5,10.16,2
9/15/20,B2R2,NE,medium,6,12.52,2
9/15/20,B2R2,NE,medium,6,11.96,2
9/15/20,B2R2,NE,medium,7,13.20,2
9/15/20,B2R2,NE,medium,7,13.08,2
9/15/20,B2R2,NE,medium,8,11.18,2
9/15/20,B2R2,NE,medium,8,10.54,2
9/15/20,B2R2,NE,medium,9,11.28,2
9/15/20,B2R2,NE,medium,9,11.20,2
9/15/20,B2R2,NE,medium,10,13.22,2
9/15/20,B2R2,NE,medium,10,12.40,2
9/15/20,B1R1,NW,low,1,12.06,1
9/15/20,B1R1,NW,low,1,11.88,1
9/15/20,B1R1,NW,low,2,11.98,1
9/15/20,B1R1,NW,low,2,11.24,1
9/15/20,B1R1,NW,low,3,11.48,1
9/15/20,B1R1,NW,low,3,10.80,1
9/15/20,B1R1,NW,low,4,12.06,1
9/15/20,B1R1,NW,low,4,11.48,1
9/15/20,B1R1,NW,low,5,10.58,1
9/15/20,B1R1,NW,low,5,10.30,1
9/15/20,B1R1,NW,low,6,11.48,1
9/15/20,B1R1,NW,low,6,11.88,1
9/15/20,B1R1,NW,low,7,11.72,1
9/15/20,B1R1,NW,low,7,11.24,1
9/15/20,B1R1,NW,low,8,11.62,1
