date,block_id,sub-block,vigor,berry_number,berry_diameter,treatment
9/13/21,B1R1,NE,high,1,0.9,B1
9/13/21,B1R1,NE,high,1,1,B1
9/13/21,B1R1,NE,high,2,0.8,B1
9/13/21,B1R1,NE,high,2,0.75,B1
9/13/21,B1R1,NE,high,3,1,B1
9/13/21,B1R1,NE,high,3,0.8,B1
9/13/21,B1R1,NE,high,4,0.8,B1
9/13/21,B1R1,NE,high,4,0.85,B1
9/13/21,B1R1,NE,high,5,0.8,B1
9/13/21,B1R1,NE,high,5,0.7,B1
9/13/21,B1R1,NE,high,6,1.05,B1
9/13/21,B1R1,NE,high,6,0.8,B1
9/13/21,B1R1,NE,high,7,0.6,B1
9/13/21,B1R1,NE,high,7,0.65,B1
9/13/21,B1R1,NE,high,8,1.1,B1
9/13/21,B1R1,NE,high,8,1,B1
9/13/21,B1R1,NE,high,9,0.7,B1
9/13/21,B1R1,NE,high,9,0.75,B1
9/13/21,B1R1,NE,high,10,0.8,B1
9/13/21,B1R1,NE,high,10,0.75,B1
9/13/21,B1R1,SE,high,1,1,B1
9/13/21,B1R1,SE,high,1,0.95,B1
9/13/21,B1R1,SE,high,2,1,B1
9/13/21,B1R1,SE,high,2,0.95,B1
9/13/21,B1R1,SE,high,3,1,B1
9/13/21,B1R1,SE,high,3,0.9,B1
9/13/21,B1R1,SE,high,4,0.95,B1
9/13/21,B1R1,SE,high,4,0.95,B1
9/13/21,B1R1,SE,high,5,0.95,B1
9/13/21,B1R1,SE,high,5,0.9,B1
9/13/21,B1R1,SE,high,6,0.8,B1
9/13/21,B1R1,SE,high,6,0.8,B1
9/13/21,B1R1,SE,high,7,1,B1
9/13/21,B1R1,SE,high,7,0.85,B1
9/13/21,B1R1,SE,high,8,0.9,B1
9/13/21,B1R1,SE,high,8,0.9,B1
9/13/21,B1R1,SE,high,9,0.8,B1
9/13/21,B1R1,SE,high,9,0.9,B1
9/13/21,B1R1,SE,high,10,0.85,B1
9/13/21,B1R1,SE,high,10,0.85,B1
9/13/21,B2R1,NE,high,1,1,B2
9/13/21,B2R1,NE,high,1,1,B2
9/13/21,B2R1,NE,high,2,1.05,B2
9/13/21,B2R1,NE,high,2,0.9,B2
9/13/21,B2R1,NE,high,3,0.9,B2
9/13/21,B2R1,NE,high,3,0.85,B2
9/13/21,B2R1,NE,high,4,1,B2
9/13/21,B2R1,NE,high,4,0.9,B2
9/13/21,B2R1,NE,high,5,0.75,B2
9/13/21,B2R1,NE,high,5,0.75,B2
9/13/21,B2R1,NE,high,6,1,B2
9/13/21,B2R1,NE,high,6,0.9,B2
9/13/21,B2R1,NE,high,7,0.85,B2
9/13/21,B2R1,NE,high,7,0.9,B2
9/13/21,B2R1,NE,high,8,0.8,B2
9/13/21,B2R1,NE,high,8,0.85,B2
9/13/21,B2R1,NE,high,9,0.7,B2
