Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/21/2019,8/8/2019,B1R2,1,1.655,0.369,1.286,3924,56.0,55.50,0.99,3889,6.57,60.80,60,33.15,3.58,3.63,1
11/21/2019,8/8/2019,B1R2,2,1.692,0.349,1.343,4102,56.0,54.50,0.97,3992,6.69,60.80,60,33.42,3.68,3.73,1
11/21/2019,8/8/2019,B1R2,3,1.645,0.295,1.35,4124,56.0,55.00,0.98,4050,5.95,60.50,60,38.12,3.75,3.78,1
11/22/2019,8/15/2019,B1R2,1,1.665,0.461,1.204,3668,62.0,53.00,0.85,3136,8.27,67.75,60,23.51,2.87,3.24,1
11/22/2019,8/15/2019,B1R2,2,1.803,0.497,1.306,3987,62.0,51.00,0.82,3279,8.22,67.69,60,24.74,3.00,3.39,1
11/22/2019,8/15/2019,B1R2,3,1.604,0.445,1.159,3528,62.0,53.50,0.86,3044,7.73,67.53,60,24.42,2.79,3.15,1
11/14/2019,8/20/2019,B1R2,1,1.469,0.487,0.982,2975,64.0,51.00,0.80,2371,8.07,69.82,60,18.80,2.17,2.53,1
11/14/2019,8/20/2019,B1R2,2,2.03,0.519,1.511,4627,64.0,51.50,0.80,3723,8.92,69.55,60,26.71,3.43,3.97,1
11/14/2019,8/20/2019,B1R2,3,1.856,0.591,1.265,3859,64.0,51.50,0.80,3105,7.41,69.71,60,26.82,2.85,3.31,1
11/12/2019,9/19/2019,B1R2,1,2.032,0.845,1.187,3615,69.0,54.50,0.79,2856,10.67,75.33,60,18.47,2.62,3.28,1
11/12/2019,9/19/2019,B1R2,2,1.955,0.738,1.217,3709,69.0,57.00,0.83,3064,11.24,75.67,60,18.81,2.79,3.52,1
11/12/2019,9/19/2019,B1R2,3,2.096,0.807,1.289,3934,69.0,51.50,0.75,2936,10.58,75.98,60,19.15,2.67,3.38,1
11/21/2019,8/8/2019,B1R3,1,1.088,0.286,0.802,2413,34.0,52.50,1.54,3726,4.94,42.00,60,25.65,3.02,2.11,1
11/21/2019,8/8/2019,B1R3,2,0.953,0.215,0.738,2214,34.0,53.00,1.56,3450,5.25,42.00,60,22.35,2.79,1.96,1
11/21/2019,8/8/2019,B1R3,3,0.964,0.276,0.688,2057,34.0,54.50,1.60,3298,5.10,42.30,60,21.99,2.65,1.87,1
11/13/2019,8/15/2019,B1R3,1,1.283,0.606,0.677,2023,46.0,51.50,1.12,2265,5.89,50.80,60,17.69,2.05,1.74,1
11/13/2019,8/15/2019,B1R3,2,1.377,0.545,0.832,2507,46.0,50.00,1.09,2725,5.83,50.69,60,21.50,2.47,2.09,1
11/13/2019,8/15/2019,B1R3,3,1.431,0.593,0.838,2526,46.0,50.91,1.11,2795,5.53,50.91,60,23.25,2.53,2.14,1
11/14/2019,8/20/2019,B1R3,1,1.366,0.515,0.851,2566,45.0,50.50,1.12,2880,5.78,49.24,60,22.42,2.63,2.16,1
11/14/2019,8/20/2019,B1R3,2,1.093,0.442,0.651,1942,45.0,52.50,1.17,2266,5.58,49.26,60,18.27,2.07,1.70,1
11/14/2019,8/20/2019,B1R3,3,1.125,0.446,0.679,2029,45.0,53.00,1.18,2390,6.35,49.23,60,16.94,2.18,1.79,1
11/12/2019,9/19/2019,B1R3,1,1.272,0.565,0.707,2117,47.0,52.00,1.11,2342,8.71,52.66,60,12.64,2.09,1.83,1
11/12/2019,9/19/2019,B1R3,2,1.034,0.457,0.577,1711,47.0,57.00,1.21,2075,8.71,52.89,60,11.20,1.84,1.63,1
11/12/2019,9/19/2019,B1R3,3,1.095,0.514,0.581,1723,47.0,57.00,1.21,2090,8.76,52.14,60,11.21,1.88,1.64,1
11/21/2019,8/8/2019,B1R4,1,1.232,0.33,0.902,2725,36.0,51.50,1.43,3899,5.80,44.80,60,24.20,3.13,2.34,1
11/21/2019,8/8/2019,B1R4,2,1.262,0.345,0.917,2772,36.0,50.00,1.39,3850,5.66,44.70,60,24.49,3.10,2.31,1
11/21/2019,8/8/2019,B1R4,3,1.203,0.25,0.953,2885,36.0,54.00,1.50,4327,6.27,45.00,60,24.84,3.46,2.60,1
11/13/2019,8/15/2019,B1R4,1,1.141,0.488,0.653,1948,44.0,53.00,1.20,2347,6.44,49.34,60,16.03,2.09,1.72,1
11/13/2019,8/15/2019,B1R4,2,1.194,0.517,0.677,2023,45.0,53.00,1.18,2383,5.64,49.45,60,19.01,2.17,1.79,1
11/13/2019,8/15/2019,B1R4,3,1.408,0.555,0.853,2573,44.0,51.00,1.16,2982,4.67,49.23,60,28.09,2.67,2.19,1
11/20/2019,8/20/2019,B1R4,1,1.027,0.362,0.665,1986,44.0,52.50,1.19,2369,7.02,48.10,60,14.85,2.17,1.74,1
11/20/2019,8/20/2019,B1R4,2,0.943,0.335,0.608,1808,44.0,58.00,1.32,2383,5.85,47.95,60,17.92,2.19,1.75,1
11/20/2019,8/20/2019,B1R4,3,1.023,0.339,0.684,2045,44.0,50.50,1.15,2347,6.55,47.79,60,15.77,2.16,1.72,1
11/12/2019,9/19/2019,B1R4,1,1.315,0.625,0.69,2064,47.0,53.00,1.13,2327,8.05,51.76,60,13.59,2.11,1.82,1
11/12/2019,9/19/2019,B1R4,2,1.208,0.609,0.599,1780,47.0,52.00,1.11,1969,7.04,51.59,60,13.14,1.79,1.54,1
