Date_analysis,Date_sampled,Block_id,Rep,Treatment_A,Treatment_A,Treatment_A,Treatment_A,Treat_B,Treat_B,Treat_C,Treat_C,Treat_C,Treat_C,Treat_D,Treat_D,Treat_D,Treat_D,degree_ionization_%,total_antho_mg_l,color_density,color_density_so2corrrected,Hue,so2_resistant_phenolics,Total_phenolics,total_Antho_mg_g_Skin,total_antho_mg_g_berry_weight,total_Antho_mg_berry,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
,,,,Abs_420,Corrected_Abs_420,Abs_520,Corrected_blank_520,Abs_520,Corrected_blank_520,Abs_520,Corrected_blank_520,Abs_420,Corrected_Abs_420,Abs_520,Corrected_blank_520,Abs_280,Corrected_Abs_280,,,,,,,,,,,,,,,,,,
11/21/2019,8/8/2019,B1R2,1,,0.371,,0.474,,0.14,,0.446,,0.353,,0.357,,1.43,21.53,310,8.45,7.99,0.78,1.40,67.5,2.62,0.28,0.29,56.0,55.50,0.99,308,6.57,60.80,60,1
11/21/2019,8/8/2019,B1R2,2,,0.372,,0.459,,0.142,,0.443,,0.363,,0.374,,1.542,19.41,327,8.31,8.06,0.81,1.42,73.1,2.66,0.29,0.30,56.0,54.50,0.97,318,6.69,60.80,60,1
11/21/2019,8/8/2019,B1R2,3,,0.345,,0.407,,0.134,,0.413,,0.358,,0.354,,1.597,17.65,309,7.52,7.71,0.85,1.34,75.9,2.86,0.28,0.28,56.0,55.00,0.98,304,5.95,60.50,60,1
11/21/2019,8/8/2019,B1R3,1,,0.164,,0.284,,0.04,,0.271,,0.159,,0.312,,1.049,16.34,299,4.48,4.30,0.58,0.40,48.5,3.17,0.37,0.26,34.0,52.50,1.54,461,4.94,42.00,60,1
11/21/2019,8/8/2019,B1R3,2,,0.154,,0.257,,0.035,,0.227,,0.141,,0.268,,0.947,17.32,256,4.11,3.68,0.60,0.35,43.4,2.59,0.32,0.23,34.0,53.00,1.56,400,5.25,42.00,60,1
11/21/2019,8/8/2019,B1R3,3,,0.164,,0.265,,0.043,,0.246,,0.156,,0.291,,1.006,16.05,277,4.29,4.02,0.62,0.43,46.3,2.96,0.36,0.25,34.0,54.50,1.60,443,5.10,42.30,60,1
11/21/2019,8/8/2019,B1R4,1,,0.207,,0.325,,0.059,,0.308,,0.197,,0.321,,1.208,17.65,301,5.32,5.05,0.64,0.59,56.4,2.68,0.35,0.26,36.0,51.50,1.43,431,5.80,44.80,60,1
11/21/2019,8/8/2019,B1R4,2,,0.253,,0.373,,0.08,,0.358,,0.242,,0.341,,1.238,18.64,314,6.26,6.00,0.68,0.80,57.9,2.78,0.35,0.26,36.0,50.00,1.39,437,5.66,44.70,60,1
11/21/2019,8/8/2019,B1R4,3,,0.222,,0.295,,0.075,,0.257,,0.207,,0.281,,1.172,17.19,256,5.17,4.64,0.75,0.75,54.6,2.20,0.31,0.23,36.0,54.00,1.50,384,6.27,45.00,60,1
11/21/2019,8/8/2019,B2R1,1,,0.316,,0.415,,0.12,,0.375,,0.302,,0.37,,1.65,17.88,330,7.31,6.77,0.76,1.20,78.5,2.61,0.30,0.27,50.0,50.00,1.00,330,6.32,54.90,60,2
11/21/2019,8/8/2019,B2R1,2,,0.321,,0.405,,0.132,,0.369,,0.303,,0.362,,1.546,17.17,318,7.26,6.72,0.79,1.32,73.3,2.81,0.31,0.28,50.0,53.00,1.06,337,5.99,54.90,60,2
11/21/2019,8/8/2019,B2R1,3,,0.318,,0.425,,0.122,,0.397,,0.306,,0.36,,1.45,18.98,319,7.43,7.03,0.75,1.22,68.5,2.80,0.30,0.28,50.0,52.00,1.04,332,5.92,55.10,60,2
11/21/2019,8/8/2019,B2R2,1,,0.411,,0.618,,0.151,,0.561,,0.384,,0.515,,1.692,20.10,465,10.29,9.45,0.67,1.51,80.6,3.70,0.41,0.41,54.0,52.50,0.97,452,6.60,59.60,60,2
11/21/2019,8/8/2019,B2R2,2,,0.305,,0.5,,0.098,,0.453,,0.289,,0.437,,1.423,19.88,404,8.05,7.42,0.61,0.98,67.2,2.97,0.36,0.35,54.0,52.00,0.96,389,7.08,59.20,60,2
11/21/2019,8/8/2019,B2R2,3,,0.281,,0.457,,0.089,,0.411,,0.26,,0.407,,1.418,19.51,377,7.38,6.71,0.61,0.89,66.9,2.94,0.34,0.34,54.0,54.00,1.00,377,6.92,59.30,60,2
11/21/2019,8/8/2019,B2R3,1,,0.206,,0.294,,0.066,,0.262,,0.193,,0.281,,1.218,17.61,259,5,4.55,0.70,0.66,56.9,2.35,0.29,0.22,44.0,52.00,1.18,306,5.74,47.00,60,2
11/21/2019,8/8/2019,B2R3,2,,0.168,,0.238,,0.054,,0.197,,0.155,,0.246,,1.149,16.14,228,4.06,3.52,0.71,0.54,53.5,2.02,0.25,0.19,44.0,51.00,1.16,264,5.77,47.00,60,2
11/21/2019,8/8/2019,B2R3,3,,0.198,,0.246,,0.074,,0.213,,0.187,,0.23,,1.115,16.75,205,4.44,4.00,0.80,0.74,51.8,1.68,0.23,0.18,44.0,51.50,1.17,240,6.30,46.90,60,2
11/22/2019,8/8/2019,B3R1,1,,0.197,,0.322,,0.052,,0.273,,0.183,,0.296,,0.945,19.38,279,5.19,4.56,0.61,0.52,43.3,2.49,0.31,0.26,48.0,57.00,1.19,331,6.38,51.90,60,3
11/22/2019,8/8/2019,B3R1,2,,0.244,,0.331,,0.088,,0.285,,0.232,,0.26,,1.056,21.07,231,5.75,5.17,0.74,0.88,48.8,1.98,0.25,0.22,48.0,56.00,1.17,269,6.52,51.90,60,3
11/22/2019,8/8/2019,B3R1,3,,0.213,,0.363,,0.055,,0.298,,0.191,,0.343,,1.117,18.97,325,5.76,4.89,0.59,0.55,51.9,3.09,0.36,0.31,48.0,57.00,1.19,386,5.99,51.90,60,3
11/22/2019,8/8/2019,B3R2,1,,0.285,,0.387,,0.1,,0.337,,0.266,,0.309,,1.245,20.82,276,6.72,6.03,0.74,1.00,58.3,2.56,0.31,0.26,44.0,56.00,1.27,351,6.03,49.40,60,3
11/22/2019,8/8/2019,B3R2,2,,0.254,,0.346,,0.089,,0.309,,0.244,,0.285,,1.158,20.13,255,6,5.53,0.73,0.89,53.9,2.47,0.27,0.22,44.0,52.50,1.19,305,5.42,49.40,60,3
11/22/2019,8/8/2019,B3R2,3,,0.292,,0.385,,0.107,,0.336,,0.271,,0.32,,1.242,19.55,284,6.77,6.07,0.76,1.07,58.1,2.41,0.31,0.26,45.0,54.00,1.20,341,6.38,49.70,60,3
11/22/2019,8/8/2019,B3R3,1,,0.255,,0.388,,0.087,,0.354,,0.252,,0.333,,1.339,19.80,304,6.43,6.06,0.66,0.87,63.0,2.50,0.31,0.27,46.0,52.50,1.14,347,6.39,51.10,60,3
11/22/2019,8/8/2019,B3R3,2,,0.246,,0.371,,0.077,,0.323,,0.227,,0.298,,1.153,21.59,272,6.17,5.50,0.66,0.77,53.7,2.41,0.28,0.24,46.0,53.50,1.16,317,6.05,51.40,60,3
11/22/2019,8/8/2019,B3R3,3,,0.23,,0.386,,0.056,,0.311,,0.206,,0.329,,1.168,21.27,310,6.16,5.17,0.60,0.56,54.4,2.68,0.33,0.28,46.0,54.00,1.17,364,6.25,51.30,60,3
11/22/2019,8/15/2019,B1R2,1,,0.308,,0.627,,0.069,,0.456,,0.248,,0.553,,1.472,21.06,530,9.35,7.04,0.49,0.69,69.6,3.40,0.41,0.47,62.0,53.00,0.85,453,8.27,67.75,60,1
11/22/2019,8/15/2019,B1R2,2,,0.341,,0.712,,0.078,,0.543,,0.283,,0.605,,1.555,21.90,579,10.53,8.26,0.48,0.78,73.8,3.59,0.44,0.49,62.0,51.00,0.82,476,8.22,67.69,60,1
11/22/2019,8/15/2019,B1R2,3,,0.275,,0.568,,0.062,,0.473,,0.246,,0.501,,1.328,21.07,480,8.43,7.19,0.48,0.62,62.4,3.32,0.38,0.43,62.0,53.50,0.86,414,7.73,67.53,60,1
11/13/2019,8/15/2019,B1R3,1,0.301,0.270,0.607,0.578,0.066,0.037,0.523,0.494,0.279,0.248,0.508,0.482,0.995,0.942,23.04,470,8.48,7.42,0.47,0.37,43.1,4.11,0.48,0.40,46.0,51.50,1.12,526,5.89,50.80,60,1
11/13/2019,8/15/2019,B1R3,2,0.281,0.250,0.558,0.529,0.065,0.036,0.475,0.446,0.255,0.224,0.484,0.458,0.931,0.878,22.11,446,7.79,6.70,0.47,0.36,39.9,3.83,0.44,0.37,46.0,50.00,1.09,485,5.83,50.69,60,1
11/13/2019,8/15/2019,B1R3,3,0.272,0.241,0.536,0.507,0.063,0.034,0.516,0.487,0.276,0.245,0.514,0.488,1.038,0.985,19.85,477,7.48,7.32,0.48,0.34,45.3,4.39,0.48,0.40,46.0,50.91,1.11,528,5.53,50.91,60,1
11/13/2019,8/15/2019,B1R4,1,0.26,0.229,0.501,0.472,0.062,0.033,0.432,0.403,0.238,0.207,0.47,0.444,0.978,0.925,20.28,433,7.01,6.10,0.49,0.33,42.3,3.56,0.47,0.38,44.0,53.00,1.20,522,6.44,49.34,60,1
11/13/2019,8/15/2019,B1R4,2,0.277,0.246,0.54,0.511,0.066,0.037,0.516,0.487,0.272,0.241,0.48,0.454,1.015,0.962,21.46,442,7.57,7.28,0.48,0.37,44.1,4.15,0.47,0.39,45.0,53.00,1.18,520,5.64,49.45,60,1
11/13/2019,8/15/2019,B1R4,3,0.269,0.238,0.519,0.490,0.066,0.037,0.483,0.454,0.262,0.231,0.449,0.423,0.955,0.902,22.06,411,7.28,6.85,0.49,0.37,41.1,4.48,0.43,0.35,44.0,51.00,1.16,476,4.67,49.23,60,1
11/14/2019,8/15/2019,B2R1,1,,0.267,,0.567,,0.049,,0.511,,0.254,,0.503,,1.111,21.29,487,8.34,7.65,0.47,0.49,51.6,4.10,0.42,0.42,55.0,52.00,0.95,460,6.17,59.84,60,2
11/14/2019,8/15/2019,B2R1,2,,0.258,,0.522,,0.049,,0.419,,0.229,,0.473,,1.16,20.72,457,7.80,6.48,0.49,0.49,54.0,3.57,0.41,0.41,55.0,54.00,0.98,448,6.91,59.99,60,2
11/14/2019,8/15/2019,B2R1,3,,0.261,,0.53,,0.048,,0.403,,0.224,,0.464,,1.136,21.52,448,7.91,6.27,0.49,0.48,52.8,3.47,0.38,0.38,55.0,51.00,0.93,415,6.58,59.87,60,2
11/14/2019,8/15/2019,B2R2,1,,0.348,,0.75,,0.066,,0.5,,0.269,,0.687,,1.456,20.57,665,10.98,7.69,0.46,0.66,68.8,4.72,0.50,0.55,59.0,49.50,0.84,558,6.98,65.26,60,2
