Date,hours,treatment
3/4/2020,10.00,1
3/5/2020,0.00,1
3/6/2020,0.00,1
3/7/2020,0.00,1
3/8/2020,0.00,1
3/9/2020,0.00,1
3/10/2020,0.00,1
3/11/2020,0.00,1
3/12/2020,0.00,1
3/13/2020,23.75,1
3/14/2020,0.00,1
3/15/2020,0.00,1
3/16/2020,0.00,1
3/17/2020,0.00,1
3/18/2020,0.00,1
3/19/2020,0.00,1
3/20/2020,0.00,1
3/21/2020,0.00,1
3/22/2020,0.00,1
3/23/2020,0.00,1
3/24/2020,0.00,1
3/25/2020,0.00,1
3/26/2020,0.00,1
3/27/2020,5.33,1
3/28/2020,0.00,1
3/29/2020,0.00,1
3/30/2020,0.00,1
3/31/2020,0.00,1
4/1/2020,0.00,1
4/2/2020,0.00,1
4/3/2020,0.00,1
4/4/2020,0.00,1
4/5/2020,0.00,1
4/6/2020,0.00,1
4/7/2020,0.00,1
4/8/2020,0.00,1
4/9/2020,0.00,1
4/10/2020,0.00,1
4/11/2020,0.00,1
4/12/2020,0.00,1
4/13/2020,0.00,1
4/14/2020,0.00,1
4/15/2020,0.00,1
4/16/2020,8.00,1
4/17/2020,0.00,1
4/18/2020,4.00,1
4/19/2020,0.00,1
4/20/2020,0.00,1
4/21/2020,0.00,1
4/22/2020,6.00,1
4/23/2020,5.00,1
4/24/2020,0.00,1
4/25/2020,0.00,1
4/26/2020,0.00,1
4/27/2020,0.00,1
4/28/2020,4.00,1
4/29/2020,23.75,1
4/30/2020,0.00,1
5/1/2020,0.00,1
5/2/2020,0.00,1
5/3/2020,0.00,1
5/4/2020,5.33,1
5/5/2020,0.00,1
5/6/2020,5.33,1
5/7/2020,0.00,1
5/8/2020,5.33,1
5/9/2020,0.00,1
5/10/2020,0.00,1
5/11/2020,5.33,1
5/12/2020,0.00,1
5/13/2020,5.33,1
5/14/2020,0.00,1
5/15/2020,5.33,1
5/16/2020,0.00,1
5/17/2020,0.00,1
5/18/2020,4.98,1
5/19/2020,0.00,1
5/20/2020,4.98,1
5/21/2020,0.00,1
5/22/2020,4.98,1
5/23/2020,0.00,1
5/24/2020,0.00,1
5/25/2020,3.50,1
5/26/2020,3.00,1
5/27/2020,3.00,1
5/28/2020,2.00,1
5/29/2020,0.00,1
5/30/2020,0.00,1
5/31/2020,0.00,1
6/1/2020,0.00,1
6/2/2020,0.00,1
6/3/2020,4.67,1
6/4/2020,0.00,1
6/5/2020,3.25,1
6/6/2020,0.00,1
6/7/2020,0.00,1
6/8/2020,3.81,1
6/9/2020,3.81,1
6/10/2020,3.81,1
6/11/2020,3.81,1
6/12/2020,3.81,1
6/13/2020,3.81,1
6/14/2020,0.00,1
6/15/2020,5.92,1
6/16/2020,0.00,1
6/17/2020,5.92,1
6/18/2020,6.00,1
6/19/2020,5.92,1
6/20/2020,0.00,1
6/21/2020,0.00,1
6/22/2020,3.98,1
6/23/2020,0.00,1
6/24/2020,3.98,1
6/25/2020,0.00,1
6/26/2020,5.00,1
6/27/2020,0.00,1
6/28/2020,0.00,1
6/29/2020,4.44,1
6/30/2020,0.00,1
7/1/2020,4.44,1
7/2/2020,0.00,1
7/3/2020,4.44,1
7/4/2020,0.00,1
7/5/2020,0.00,1
7/6/2020,3.00,1
7/7/2020,3.00,1
7/8/2020,3.00,1
7/9/2020,3.00,1
7/10/2020,5.00,1
7/11/2020,2.50,1
7/12/2020,2.50,1
7/13/2020,4.00,1
7/14/2020,3.38,1
7/15/2020,3.38,1
7/16/2020,10.44,1
7/17/2020,10.44,1
7/18/2020,16.00,1
7/19/2020,0.00,1
7/20/2020,4.94,1
7/21/2020,4.94,1
7/22/2020,4.94,1
7/23/2020,4.94,1
7/24/2020,4.94,1
7/25/2020,4.94,1
7/26/2020,4.94,1
7/27/2020,5.94,1
7/28/2020,5.94,1
7/29/2020,11.08,1
7/30/2020,11.08,1
7/31/2020,11.08,1
8/1/2020,11.08,1
8/2/2020,0.00,1
8/3/2020,9.17,1
8/4/2020,9.17,1
8/5/2020,9.17,1
8/6/2020,9.17,1
8/7/2020,9.17,1
8/8/2020,9.17,1
8/9/2020,0.00,1
8/10/2020,8.13,1
8/11/2020,8.13,1
8/12/2020,8.13,1
8/13/2020,6.00,1
8/14/2020,6.00,1
8/15/2020,6.00,1
8/16/2020,0.00,1
8/17/2020,6.00,1
8/18/2020,6.00,1
8/19/2020,6.00,1
8/20/2020,6.00,1
8/21/2020,7.75,1
8/22/2020,7.75,1
8/23/2020,0.00,1
8/24/2020,7.50,1
8/25/2020,7.50,1
8/26/2020,7.50,1
8/27/2020,7.50,1
8/28/2020,7.50,1
8/29/2020,7.50,1
8/30/2020,7.50,1
8/31/2020,5.00,1
9/1/2020,5.00,1
9/2/2020,5.00,1
9/3/2020,4.67,1
9/4/2020,3.00,1
9/5/2020,3.00,1
9/6/2020,3.00,1
9/7/2020,3.00,1
9/8/2020,2.75,1
9/9/2020,2.75,1
9/10/2020,2.75,1
9/11/2020,2.75,1
