Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
10/23/2020,7/8/2020,B1R1,1,1.565,0.14,1.425,26,40,3,27.11,60
10/23/2020,7/8/2020,B1R1,2,1.668,0.156,1.512,27,38,2.96,26.08,60
10/23/2020,7/8/2020,B1R1,3,1.251,0.106,1.145,26,42,3.46,27.19,60
10/23/2020,7/8/2020,B1R3,1,1.62,0.119,1.501,25,37,2.99,27.08,60
10/23/2020,7/8/2020,B1R3,2,1.67,0.144,1.526,26,36.5,2.8,27.08,60
10/23/2020,7/8/2020,B1R3,3,1.309,0.135,1.174,27,38.5,2.94,27.13,60
10/23/2020,7/8/2020,B1R4,1,1.5,0.141,1.359,26,39.5,3.02,27.12,60
10/23/2020,7/8/2020,B1R4,2,1.604,0.12,1.484,26,39,3.1,26.72,60
10/23/2020,7/8/2020,B1R4,3,1.444,0.108,1.336,26,40,3.31,27.05,60
10/23/2020,7/8/2020,B2R1,1,1.425,0.104,1.321,28,41.5,2.93,28.67,60
10/23/2020,7/8/2020,B2R1,2,1.87,0.153,1.717,28,36,3.67,28.4,60
10/23/2020,7/8/2020,B2R1,3,1.94,0.197,1.743,28,35,3.21,28.59,60
10/23/2020,7/8/2020,B2R2,1,1.91,0.193,1.717,30,40,3.65,30.71,60
10/23/2020,7/8/2020,B2R2,2,1.839,0.16,1.679,30,39.5,3.51,30.69,60
10/23/2020,7/8/2020,B2R2,3,1.627,0.141,1.486,30,41.5,3.51,30.65,60
10/23/2020,7/8/2020,B2R3,1,1.471,0.112,1.359,27,39,3.09,27.88,60
10/23/2020,7/8/2020,B2R3,2,1.373,0.119,1.254,27,40,2.73,28.01,60
10/23/2020,7/8/2020,B2R3,3,1.295,0.111,1.184,27,40.5,3.44,27.99,60
10/23/2020,7/8/2020,B3R1,1,1.623,0.117,1.506,27,38.5,3.13,28.45,60
10/23/2020,7/8/2020,B3R1,2,1.493,0.094,1.399,26,39,3.05,28.4,60
10/23/2020,7/8/2020,B3R1,3,1.948,0.154,1.794,28,34.5,3.78,28.27,60
10/23/2020,7/8/2020,B3R2,1,1.644,0.102,1.542,30,38.5,3.51,35.52,60
10/23/2020,7/8/2020,B3R2,2,1.492,0.11,1.382,30,41,3.25,35.54,60
10/23/2020,7/8/2020,B3R2,3,1.531,0.118,1.413,29,41,3.41,35.36,60
10/23/2020,7/8/2020,B3R3,1,1.627,0.161,1.466,23,35.5,2.79,29.23,60
10/23/2020,7/8/2020,B3R3,2,1.589,0.129,1.46,23,38.5,3.14,29.2,60
10/23/2020,7/8/2020,B3R3,3,1.582,0.172,1.41,23,38.5,2.74,28.88,60
10/23/2020,7/12/2020,B1R1,1,1.233,0.089,1.144,26,38,2.13,26.77,60
10/23/2020,7/12/2020,B1R1,2,1.274,0.105,1.169,26,36,2.04,26.79,60
10/23/2020,7/12/2020,B1R1,3,1.377,0.095,1.282,26,32.5,2.06,26.86,60
10/23/2020,7/12/2020,B1R3,1,1.59,0.13,1.46,29,39.5,NA,29.62,60
10/23/2020,7/12/2020,B1R3,2,1.961,0.123,1.838,29,34.5,3.01,29.77,60
10/23/2020,7/12/2020,B1R3,3,1.637,0.142,1.495,29,37,3.36,29.55,60
10/23/2020,7/12/2020,B1R4,1,1.459,0.095,1.364,27,39,3.19,28.16,60
10/23/2020,7/12/2020,B1R4,2,1.322,0.119,1.203,27,38,2.88,28.22,60
10/23/2020,7/12/2020,B1R4,3,1.474,0.129,1.345,27,34,2.77,28.03,60
10/23/2020,7/12/2020,B2R1,1,1.543,0.097,1.446,28,35,3.15,29.02,60
10/23/2020,7/12/2020,B2R1,2,1.539,0.091,1.448,28,36,3.83,29.23,60
10/23/2020,7/12/2020,B2R1,3,1.48,0.095,1.385,28,38,3.61,29.14,60
10/23/2020,7/12/2020,B2R2,1,1.492,0.134,1.358,29,37,3.25,30.12,60
10/23/2020,7/12/2020,B2R2,2,1.436,0.095,1.341,28,43,3.28,29.98,60
10/23/2020,7/12/2020,B2R2,3,1.47,0.107,1.363,29,36,3.39,29.99,60
10/23/2020,7/12/2020,B2R3,1,1.183,0.1,1.083,28,42,3.23,29.7,60
10/23/2020,7/12/2020,B2R3,2,1.593,0.104,1.489,28,34,3.44,29.5,60
10/23/2020,7/12/2020,B2R3,3,1.183,0.09,1.093,28,40,2.93,29.61,60
10/23/2020,7/12/2020,B3R1,1,1.52,0.096,1.424,30,32.5,3.88,31.8,60
10/23/2020,7/12/2020,B3R1,2,1.571,0.075,1.496,31,34.5,3.54,31.77,60
10/23/2020,7/12/2020,B3R1,3,1.602,0.111,1.491,31,36,3.47,31.94,60
10/23/2020,7/12/2020,B3R2,1,1.4,0.089,1.311,30,38,4.09,30.99,60
10/23/2020,7/12/2020,B3R2,2,1.582,0.108,1.474,30,39.5,4.73,31.31,60
10/23/2020,7/12/2020,B3R2,3,1.35,0.085,1.265,29,43,4.72,31.23,60
10/23/2020,7/12/2020,B3R3,1,1.458,0.098,1.36,27,44.5,3.77,27.02,60
10/23/2020,7/12/2020,B3R3,2,1.502,0.082,1.42,26,38.5,3.69,27.03,60
10/23/2020,7/12/2020,B3R3,3,1.583,0.147,1.436,26,35,4.05,27.14,60
11/18/2020,7/21/2020,B1R1,1,1.696,0.175,1.521,32,40,3.89,33.44,60
11/18/2020,7/21/2020,B1R1,2,1.545,0.133,1.412,32,41.5,3.55,33.22,60
