Date_analysis,Date_sampled,Block_id,Rep,Treatment_A_corrected_abs_420,Treatment_A_corrected_abs_520,Treatment_B_corrected_abs_520,Treatment_C_corrected_abs_420,Treatment_C_corrected_abs_520,Treatment_D_corrected_abs_520,Treatment_D_corrected_abs_280,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
,,,,,,,,,,,,,,,,
10/22/2020,8/13/2020,B1R1,1,0.41,0.983,0.053,0.412,0.984,0.947,1.522,56,52,0.93,5.27,61.59,60
10/22/2020,8/13/2020,B1R1,2,0.483,1.176,0.068,0.485,1.174,0.957,1.532,56,47,0.84,5.53,61.59,60
10/22/2020,8/13/2020,B1R1,3,0.502,1.219,0.07,0.52,1.259,0.99,1.621,56,46.5,0.83,5.87,61.66,60
10/22/2020,8/13/2020,B1R3,1,0.302,0.716,0.043,0.303,0.712,0.611,0.969,57,54,0.95,5.67,62.36,60
10/22/2020,8/13/2020,B1R3,2,0.497,1.193,0.071,0.52,1.239,0.975,1.681,57,45,0.79,5.72,62.31,60
10/22/2020,8/13/2020,B1R3,3,0.464,1.102,0.067,0.463,1.091,0.946,1.628,57,46.5,0.82,6.73,62.39,60
10/22/2020,8/13/2020,B1R4,1,0.5,1.219,0.07,0.501,1.209,0.984,1.47,56,48,0.86,5.62,63.11,60
10/22/2020,8/13/2020,B1R4,2,0.381,0.924,0.053,0.383,0.919,0.786,1.158,57,56.5,0.99,5.85,63.16,60
10/22/2020,8/13/2020,B1R4,3,0.453,1.102,0.063,0.451,1.089,0.923,1.38,58,50.5,0.87,6.14,63.08,60
10/22/2020,8/13/2020,B2R1,1,0.485,1.186,0.067,0.506,1.236,0.987,1.632,57,47.5,0.83,5.92,63.06,60
10/22/2020,8/13/2020,B2R1,2,0.432,1.038,0.059,0.435,1.041,0.885,1.453,58,49,0.84,6.5,63.04,60
10/22/2020,8/13/2020,B2R1,3,0.435,1.026,0.06,0.434,1.021,0.871,1.429,57,49,0.86,6.83,63.09,60
10/22/2020,8/13/2020,B2R2,1,0.493,1.219,0.063,0.493,1.213,0.946,1.526,59,52,0.88,6.01,65.13,60
10/22/2020,8/13/2020,B2R2,2,0.502,1.237,0.065,0.504,1.233,1.001,1.632,59,48,0.81,6.83,65.12,60
10/22/2020,8/13/2020,B2R2,3,0.506,1.25,0.067,0.507,1.242,0.994,1.664,60,52,0.87,6.59,65.13,60
10/22/2020,8/13/2020,B2R3,1,0.39,0.925,0.053,0.393,0.928,0.797,1.311,58,53,0.91,5.51,63.58,60
10/22/2020,8/13/2020,B2R3,2,0.392,0.935,0.053,0.396,0.942,0.804,1.278,58,51.5,0.89,5.69,63.64,60
10/22/2020,8/13/2020,B2R3,3,0.4,0.945,0.058,0.406,0.955,0.815,1.318,58,47.5,0.82,5.88,63.59,60
10/22/2020,8/13/2020,B3R1,1,0.428,1.043,0.059,0.431,1.046,0.914,1.403,60,53,0.88,5.68,65.6,60
10/22/2020,8/13/2020,B3R1,2,0.5,1.223,0.067,0.507,1.234,1.053,1.687,60,47,0.78,5.7,65.66,60
10/22/2020,8/13/2020,B3R1,3,0.447,1.084,0.06,0.447,1.081,0.943,1.44,60,50,0.83,5.64,65.73,60
10/22/2020,8/13/2020,B3R2,1,0.452,1.102,0.061,0.449,1.081,0.912,1.504,58,49.5,0.85,5.85,64.13,60
10/22/2020,8/13/2020,B3R2,2,0.496,1.217,0.064,0.494,1.205,1.001,1.659,59,48,0.81,6.35,64.18,60
