Date_analysis,Date_sampled,Block_id,Rep,Treatment_A_corrected_abs_420,Treatment_A_corrected_abs_520,Treatment_B_corrected_abs_520,Treatment_C_corrected_abs_420,Treatment_C_corrected_abs_520,Treatment_D_corrected_abs_520,Treatment_D_corrected_abs_280,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
11/18/2020,8/3/2020,B1R1,1,0.191,0.342,0.039,0.187,0.323,0.287,1.195,46,48,1.04,4.85,49.65,60
11/18/2020,8/3/2020,B1R1,2,0.173,0.313,0.033,0.171,0.3,0.278,1.088,45,52,1.16,3.75,49.58,60
11/18/2020,8/3/2020,B1R1,3,0.165,0.296,0.031,0.161,0.28,0.257,1.028,45,52,1.16,4.25,49.49,59
11/18/2020,8/3/2020,B1R3,1,0.158,0.284,0.034,0.152,0.266,0.241,0.98,44,56,1.27,4.37,47.24,60
11/18/2020,8/3/2020,B1R3,2,0.167,0.301,0.032,0.164,0.285,0.262,0.99,44,53,1.2,3.99,47.25,60
11/18/2020,8/3/2020,B1R3,3,0.152,0.256,0.029,0.143,0.232,0.208,0.916,44,55,1.25,3.85,47.09,60
11/18/2020,8/3/2020,B1R4,1,0.16,0.282,0.031,0.142,0.243,0.256,0.997,46,53,1.15,3.53,48.77,60
11/18/2020,8/3/2020,B1R4,2,0.158,0.302,0.028,0.151,0.279,0.27,0.913,45,56,1.24,3.95,48.72,60
11/18/2020,8/3/2020,B1R4,3,0.172,0.29,0.039,0.171,0.279,0.244,0.977,46,54.5,1.18,4.31,48.79,60
11/18/2020,8/3/2020,B2R1,1,0.212,0.398,0.043,0.209,0.377,0.316,1.115,46,53,1.15,5.25,50.01,60
11/18/2020,8/3/2020,B2R1,2,0.253,0.5,0.052,0.244,0.462,0.387,1.087,46,52,1.13,3.85,49.96,60
11/18/2020,8/3/2020,B2R1,3,0.287,0.444,0.098,0.286,0.424,0.318,1.101,46,58,1.26,4.67,49.98,60
11/18/2020,8/3/2020,B2R2,1,0.296,0.514,0.082,0.263,0.438,0.388,1.318,49,54,1.1,4.65,53.73,60
11/18/2020,8/3/2020,B2R2,2,0.235,0.443,0.054,0.223,0.405,0.302,0.938,49,55.5,1.13,3.76,53.77,60
11/18/2020,8/3/2020,B2R2,3,0.277,0.522,0.064,0.271,0.492,0.394,1.219,50,51,1.02,3.95,53.59,60
11/18/2020,8/3/2020,B2R3,1,0.281,0.437,0.093,0.279,0.414,0.311,0.993,46,56,1.22,4.01,50.3,60
11/18/2020,8/3/2020,B2R3,2,0.22,0.371,0.058,0.212,0.344,0.295,0.951,46,58,1.26,4.42,50.38,60
11/18/2020,8/3/2020,B2R3,3,0.25,0.419,0.071,0.244,0.395,0.257,0.728,46,54.5,1.18,3.43,50.37,60
11/18/2020,8/3/2020,B3R1,1,0.258,0.551,0.046,0.253,0.524,0.465,1.188,51,54,1.06,4.15,54.99,60
11/18/2020,8/3/2020,B3R1,2,0.277,0.547,0.065,0.271,0.518,0.418,1.086,52,56.5,1.09,3.94,54.87,60
11/18/2020,8/3/2020,B3R1,3,0.27,0.478,0.075,0.266,0.455,0.379,1.125,49,55,1.12,4.29,54.86,60
11/18/2020,8/3/2020,B3R2,1,0.453,0.629,0.177,0.453,0.604,0.403,1.269,48,55,1.15,4.91,51.74,60
11/18/2020,8/3/2020,B3R2,2,0.273,0.459,0.079,0.274,0.442,0.358,1.14,48,53,1.1,3.76,51.64,60
11/18/2020,8/3/2020,B3R2,3,0.308,0.505,0.093,0.307,0.485,0.379,1.111,48,57.5,1.2,3.89,51.75,60
11/18/2020,8/3/2020,B3R3,1,0.222,0.406,0.053,0.221,0.391,0.332,1.014,44,56,1.27,4.13,47.9,60
11/18/2020,8/3/2020,B3R3,2,0.36,0.508,0.133,0.366,0.496,0.351,1.183,44,53,1.2,3.87,47.99,60
11/18/2020,8/3/2020,B3R3,3,0.23,0.416,0.052,0.227,0.399,0.328,1.073,44,55,1.25,4.3,47.91,60
10/22/2020,8/13/2020,B1R1,1,0.41,0.983,0.053,0.412,0.984,0.947,1.522,56,52,0.93,5.27,61.59,60
