date,block,Rep,short_name_flavo,Mau,baseline   ,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
8/3/2020,B1R1,1,M3G,459.5,good,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,Q3Gluconoride,121.8,good,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,Q3G ,2390.3,good,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,K3G,49.4,good,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,2,M3G,501.5,good,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,Q3Gluconoride,155.3,good,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,Q3G ,2587.9,good,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,K3G,55.2,good,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,3,M3G,486.2,good,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,Q3Gluconoride,125.3,good,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,Q3G ,2445,good,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,K3G,60.4,good,45,52,1.16,4.25,49.49,59
8/3/2020,B1R3,1,M3G,447.7,good,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,Q3Gluconoride,104.1,baseline bad,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,Q3G ,2349.9,baseline bad,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,K3G,69.2,baseline bad,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,2,M3G,484.7,good,44,53,1.20,3.99,47.25,60
8/3/2020,B1R3,2,Q3Gluconoride,135.1,good,44,53,1.20,3.99,47.25,60
8/3/2020,B1R3,2,Q3G ,2335.9,good,44,53,1.20,3.99,47.25,60
8/3/2020,B1R3,2,K3G,53.1,good,44,53,1.20,3.99,47.25,60
8/3/2020,B1R3,3,M3G,410.2,good,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,Q3Gluconoride,139.5,good,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,Q3G ,2315.4,good,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,K3G,72.4,good,44,55,1.25,3.85,47.09,60
8/3/2020,B1R4,1,M3G,510.4,good,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,Q3Gluconoride,111.5,good,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,Q3G ,2203.7,good,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,K3G,53.8,good,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,2,M3G,198.3,good,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,Q3Gluconoride,55.6,good,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,Q3G ,937.7,good,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,K3G,20.8,good,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,3,M3G,450.9,good,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,Q3Gluconoride,123.8,good,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,Q3G ,2188.1,good,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,K3G,66.1,good,46,54.5,1.18,4.31,48.79,60
8/3/2020,B2R1,1,M3G,568,good,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,Q3Gluconoride,155,good,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,Q3G ,2831.9,good,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,K3G,70.2,good,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,2,M3G,590.7,good,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,Q3Gluconoride,125,good,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,Q3G ,2178.3,good,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,K3G,59.8,good,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,3,M3G,473.9,good,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,Q3Gluconoride,117.4,good,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,Q3G ,2292.2,good,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,K3G,50.2,good,46,58,1.26,4.67,49.98,60
8/3/2020,B2R2,1,M3G,633.7,baseline bad,49,54,1.10,4.65,53.73,60
8/3/2020,B2R2,1,Q3Gluconoride,176.4,good,49,54,1.10,4.65,53.73,60
8/3/2020,B2R2,1,Q3G ,2987.3,good,49,54,1.10,4.65,53.73,60
8/3/2020,B2R2,1,K3G,89.4,good,49,54,1.10,4.65,53.73,60
8/3/2020,B2R2,2,M3G,670.6,good,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,Q3Gluconoride,148.7,good,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,Q3G ,2663.1,good,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,K3G,78.9,good,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,3,M3G,733.6,good,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,Q3Gluconoride,162.5,good,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,Q3G ,2977.1,good,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,K3G,80.6,good,50,51,1.02,3.95,53.59,60
8/3/2020,B2R3,1,M3G,522.4,good,46,56,1.22,4.01,50.30,60
8/3/2020,B2R3,1,Q3Gluconoride,140.3,good,46,56,1.22,4.01,50.30,60
8/3/2020,B2R3,1,Q3G ,2624.3,good,46,56,1.22,4.01,50.30,60
8/3/2020,B2R3,1,K3G,64.6,good,46,56,1.22,4.01,50.30,60
8/3/2020,B2R3,2,M3G,468.6,good,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,Q3Gluconoride,97.5,good,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,Q3G ,2125.9,good,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,K3G,50,good,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,3,M3G,482.6,good,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,Q3Gluconoride,127.9,good,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,Q3G ,2297,good,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,K3G,46.4,good,46,54.5,1.18,3.43,50.37,60
8/3/2020,B3R1,1,M3G,712,good,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,Q3Gluconoride,118.6,good,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,Q3G ,2277.2,good,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,K3G,48.3,good,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,2,M3G,704.7,good,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,Q3Gluconoride,126.2,good,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,Q3G ,2390,good,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,K3G,56.6,good,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,3,M3G,529.9,good,49,55,1.12,4.29,54.86,60
