date,block,Rep,short_name_antho,mAU,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
8/3/2020,B1R1,1,D3G,1115.6,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,C3G,227.1,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,Pet3G,801.6,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,P3G,771,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,M3G,3699.2,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,D3AG,359.8,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,C3AG,81.5,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,Pet3Ag,409.3,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,P3AG,486.5,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,M3AG,2779.3,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,P3CG,176.1,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,1,M3CG,400.4,46,48,1.04,4.85,49.65,60
8/3/2020,B1R1,2,D3G,944.8,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,C3G,204.5,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,Pet3G,699.1,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,P3G,727.2,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,M3G,3467.2,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,D3AG,311.6,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,C3AG,75,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,Pet3Ag,359.2,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,P3AG,438.7,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,M3AG,2525.8,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,P3CG,155.8,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,2,M3CG,365,45,52,1.16,3.75,49.58,60
8/3/2020,B1R1,3,D3G,935,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,C3G,199.6,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,Pet3G,661.1,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,P3G,662.6,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,M3G,3266.5,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,D3AG,310,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,C3AG,69.4,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,Pet3Ag,349.4,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,P3AG,411.3,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,M3AG,2435.5,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,P3CG,171.6,45,52,1.16,4.25,49.49,59
8/3/2020,B1R1,3,M3CG,371.4,45,52,1.16,4.25,49.49,59
8/3/2020,B1R3,1,D3G,925.3,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,C3G,171.2,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,Pet3G,656.1,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,P3G,600.7,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,M3G,3129.1,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,D3AG,302.3,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,C3AG,71.8,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,Pet3Ag,332.7,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,P3AG,389.7,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,M3AG,2367.6,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,P3CG,163.6,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,1,M3CG,376.3,44,56,1.27,4.37,47.24,60
8/3/2020,B1R3,2,D3G,939.9,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,C3G,175.1,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,Pet3G,684.4,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,P3G,657,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,M3G,3369.1,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,D3AG,314.5,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,C3AG,63.6,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,Pet3Ag,356.8,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,P3AG,412.7,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,M3AG,2512.7,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,P3CG,165.7,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,2,M3CG,369.7,44,53,1.2,3.99,47.25,60
8/3/2020,B1R3,3,D3G,732.5,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,C3G,137.6,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,Pet3G,542.8,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,P3G,552.5,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,M3G,2800.6,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,D3AG,247.3,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,C3AG,53.6,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,Pet3Ag,305,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,P3AG,355.3,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,M3AG,2156.5,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,P3CG,134.8,44,55,1.25,3.85,47.09,60
8/3/2020,B1R3,3,M3CG,314.4,44,55,1.25,3.85,47.09,60
8/3/2020,B1R4,1,D3G,811.5,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,C3G,206.7,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,Pet3G,604.5,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,P3G,647.8,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,M3G,3024,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,D3AG,266.6,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,C3AG,68.1,46,53,1.15,3.53,48.77,60
