Date ,rain_mm
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0.01
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0.33
1/10/20,0
1/11/20,0.02
1/12/20,0
1/13/20,0
1/14/20,0.03
1/15/20,0
1/16/20,0.43
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0.03
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0.1
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
