date,block,sub-block,row,vine,vigor,total clusters,weight
9/16/20,B1R1,SE,3,"7,8",high,122,21.05
9/16/20,B1R1,SE,3,"10,11",high,102,20.3
9/16/20,B1R1,SE,3,"14,15",high,67,15.2
9/16/20,B1R1,SE,5,"2,3",high,114,14.4
9/16/20,B1R1,SE,5,"9,10",high,113,13
9/16/20,B1R1,SE,7,"4,5",high,93,10.3
9/16/20,B1R1,SE,7,"7,8",high,94,16.7
9/16/20,B1R1,SE,5,"5,6",high,131,23.1
9/16/20,B1R1,SE,7,"14,15",high,100,17.1
9/16/20,B2R1,NW,3,"5,6",high,79,22.56
9/16/20,B2R1,NW,3,"8,9",high,146,27.89
9/16/20,B2R1,NW,3,"11,12",high,114,20.09
9/16/20,B2R1,NW,5,"4,5",high,117,23.12
9/16/20,B2R1,NW,5,"9,10",high,97,15.23
9/16/20,B2R1,NW,7,"3,4",high,72,17.45
9/16/20,B2R1,NW,7,"10,11",high,113,17.09
9/16/20,B2R1,NW,5,"7,8",high,123,17.98
9/16/20,B2R1,NW,7,"14,15",high,88,13.56
9/16/20,B2R2,NW,3,"3,4",medium,115,19.64
9/16/20,B2R2,NW,3,"9,10",medium,134,24.1
9/16/20,B2R2,NW,5,"3,4",medium,55,17.31
9/16/20,B2R2,NW,5,"10,11",medium,86,23.23
9/16/20,B2R2,NW,7,"4,5",medium,140,29.52
9/16/20,B2R2,NW,7,"9,10",medium,113,25.27
9/16/20,B2R2,NW,7,"13,14",medium,86,20.58
9/16/20,B2R2,NW,5,"14,15",medium,110,16.77
9/16/20,B2R2,NW,3,"11,12",medium,121,19.64
9/16/20,B3R2,SE,3,"3,4",high,102,28.95
9/16/20,B3R2,SE,3,"10,11",high,74,15.8
9/16/20,B3R2,SE,5,"6,7",high,91,22.1
9/16/20,B3R2,SE,5,"9,10",high,111,18.3
9/16/20,B3R2,SE,5,"14,15",high,97,21.65
9/16/20,B3R2,SE,8,"4,5",high,109,16.7
9/16/20,B3R2,SE,8,"8,9",high,138,22.95
9/16/20,B3R2,SE,3,"13,14",high,117,22.25
9/16/20,B3R2,SE,8,"11,12",high,125,22.05
9/16/20,B1R3,SW,3,"5,6",medium,132,16.7
9/16/20,B1R3,SW,3,"9,10",medium,138,20.15
9/16/20,B1R3,SW,3,"11,12",medium,128,19.05
9/16/20,B1R3,SW,5,"3,4",medium,107,20.7
9/16/20,B1R3,SW,5,"14,15",medium,111,18.05
9/16/20,B1R3,SW,7,"6,7",medium,76,18.65
9/16/20,B1R3,SW,7,"14,15",medium,96,18.95
9/16/20,B1R3,SW,5,"9,10",medium,69,15.1
9/16/20,B1R3,SW,7,"4,5",medium,58,12.5
9/16/20,B3R3,SE,3,"6,7",medium,125,19.25
9/16/20,B3R3,SE,3,"11,12",medium,135,25.35
9/16/20,B3R3,SE,5,"2,3",medium,63,13.65
9/16/20,B3R3,SE,5,"8,9",medium,91,14.15
9/16/20,B3R3,SE,5,"14,15",medium,101,12.05
9/16/20,B3R3,SE,7,"4,5",medium,58,16.25
9/16/20,B3R3,SE,7,"12,13",medium,79,11.45
9/16/20,B3R3,SE,3,"3,4",medium,126,21.85
9/16/20,B3R3,SE,7,"8,9",medium,93,15.3
9/16/20,B1R4,SE,3,"3,4",low,115,17.51
9/16/20,B1R4,SE,3,"10,11",low,99,13.38
9/16/20,B1R4,SE,5,"5,6",low,70,17.94
9/16/20,B1R4,SE,5,"9,10",low,56,13.75
9/16/20,B1R4,SE,7,"4,5",low,76,19.36
9/16/20,B1R4,SE,7,"12,13",low,72,15.19
9/16/20,B1R4,SE,3,"8,9",low,114,18.11
9/16/20,B1R4,SE,7,"9,8",low,99,18.55
9/16/20,B1R4,SE,5,"14,15",low,94,16.73
9/16/20,B2R3,SE,3,"6,7",low,74,16.9
9/16/20,B2R3,SE,3,"13,14",low,78,23.78
9/16/20,B2R3,SE,5,"4,5",low,88,16.07
9/16/20,B2R3,SE,5,"8,9",low,96,19.92
9/16/20,B2R3,SE,5,"10,11",low,100,13.83
9/16/20,B2R3,SE,7,"4,5",low,75,13.23
9/16/20,B2R3,SE,7,"7,8",low,114,21.67
9/16/20,B2R3,SE,3,"10,11",low,81,19.27
9/16/20,B2R3,SE,7,"12,13",low,101,22.28
9/16/20,B3R1,SE,3,"4,5",low,120,19.38
9/16/20,B3R1,SE,3,"7,8",low,131,18.76
9/16/20,B3R1,SE,5,"3,4",low,105,19.34
9/16/20,B3R1,SE,5,"7,8",low,120,23.52
9/16/20,B3R1,SE,7,"6,7",low,119,23.86
9/16/20,B3R1,SE,7,"9,10",low,98,20.62
9/16/20,B3R1,SE,7,"14,15",low,158,29.42
9/16/20,B3R1,SE,3,"11,12",low,92,14.86
9/16/20,B3R1,SE,5,,low,118,21.82
