date,block,sub-block,row,vine,vigor,total clusters,weight,initials
9/17/20,B2R1,SW,3,"7,8",high,100,17.3,RD
9/17/20,B2R1,SW,3,"10,11",high,141,18.6,NC
9/17/20,B2R1,SW,5,"5,6",high,116,24.12,JRC
9/17/20,B2R1,SW,5,"9,10",high,97,24.4,AJM
9/17/20,B2R1,SW,5,"14,15",high,99,14.8,JRC
9/17/20,B2R1,SW,7,"7,8",high,95,16.82,JRC
9/17/20,B2R1,SW,7,"13,14",high,104,17.38,AJM
9/17/20,B2R1,SW,7,"3,4",high,74,13.36,RCS
9/17/20,B2R1,SW,3,"3,4",high,81,13.95,RD
9/17/20,B3R2,SW,3,"9,10",high,100,18.48,NC
9/17/20,B3R2,SW,3,"11,12",high,114,23.12,JRC
9/17/20,B3R2,SW,5,"8,9",high,118,12.48,CB
9/17/20,B3R2,SW,5,"11,12",high,128,16.18,RCS
9/17/20,B3R2,SW,7,"8,9",high,136,22.38,AJM
9/17/20,B3R2,SW,7,"11,12",high,96,19.38,RD
9/17/20,B3R2,SW,7,"14,15",high,134,19.22,CB
9/17/20,B3R2,SW,5,"3,4",high,95,14.84,RCS
9/17/20,B3R2,SW,3,"4,5",high,112,19.52,JRC
9/17/20,B1R3,NW,3,"6,7",low,88,16.38,RD
9/17/20,B1R3,NW,3,"9,10",low,104,14.38,CB
9/17/20,B1R3,NW,5,"5,6",low,100,10.2,CB
9/17/20,B1R3,NW,5,"8,9",low,81,14.84,JRC
9/17/20,B1R3,NW,5,"10,11",low,92,15.74,JRC
9/17/20,B1R3,NW,7,"4,5",low,105,15.3,RCS
9/17/20,B1R3,NW,7,"14,15",low,89,18.08,RD
9/17/20,B1R3,NW,3,"12,13",low,114,18.82,AJM
9/17/20,B1R3,NW,7,"10,11",low,107,15.42,SB
9/17/20,B3R3,NW,3,"7,8",low,83,11.86,JRC
9/17/20,B3R3,NW,3,"10,11",low,87,14.84,NC
9/17/20,B3R3,NW,3,"12,13",low,97,15.08,RCS
9/17/20,B3R3,NW,5,"4,5",low,90,16,JRC
9/17/20,B3R3,NW,5,"10,11",low,102,16.34,NC
9/17/20,B3R3,NW,7,"9,10",low,85,12.86,JRC
9/17/20,B3R3,NW,7,"12,13",low,146,24.74,AJM
9/17/20,B3R3,NW,7,"5,6",low,77,13.28,RD
9/17/20,B3R3,NW,5,"13,14",low,107,17.2,AJM
9/17/20,B3R3,SW,3,"7,8",medium,110,20.02,NC
9/17/20,B3R3,SW,3,"12,13",medium,81,16.68,RD
9/17/20,B3R3,SW,5,"4,5",medium,104,20.28,JRC
9/17/20,B3R3,SW,5,"6,7",medium,81,13.64,CB
9/17/20,B3R3,SW,5,"9,10",medium,61,11.3,JRC
9/17/20,B3R3,SW,7,"5,6",medium,89,14.12,AJM
9/17/20,B3R3,SW,7,"12,13",medium,87,12.68,RCS
9/17/20,B3R3,SW,7,"9,10",medium,91,13.2,AJM
9/17/20,B3R3,SW,3,"3,4",medium,73,13.92,RD
9/17/20,B1R4,NE,3,"8,9",medium,99,16.8,AJM
9/17/20,B1R4,NE,3,"12,13",medium,80,12.6,AJM
9/17/20,B1R4,NE,5,"6,7",medium,96,16.92,JRC
9/17/20,B1R4,NE,5,"13,14",medium,66,14.16,JRC
9/17/20,B1R4,NE,7,"4,5",medium,79,10.32,NC
9/17/20,B1R4,NE,7,"11,12",medium,118,10.12,RCS
9/17/20,B1R4,NE,7,"7,8",medium,133,22.52,NC
9/17/20,B1R4,NE,3,"5,6",medium,86,15.12,NC
9/17/20,B1R4,NE,5,"8,9",medium,79,9.73,NC
9/17/20,B1R4,NW,3,"5,6",high,90,18.01,RD
9/17/20,B1R4,NW,3,"11,12",high,106,16.91,RD
9/17/20,B1R4,NW,3,"14,15",high,84,13.13,RCS
9/17/20,B1R4,NW,5,"6,7",high,84,13.17,JRC
9/17/20,B1R4,NW,5,"13,14",high,94,12.62,RCS
9/17/20,B1R4,NW,7,"8,9",high,120,20.05,
9/17/20,B1R4,NW,7,"11,12",high,118,20.98,AJM
9/17/20,B1R4,NW,7,"5,6",high,87,17.03,JRC
9/17/20,B1R4,NW,5,"8,9",high,87,14.31,JRC
9/17/20,B2R3,NE,3,"6,7",medium,93,16.63,RD
9/17/20,B2R3,NE,3,"11,12",medium,118,22.14,RCS
9/17/20,B2R3,NE,5,"4,5",medium,115,14.63,AJM
9/17/20,B2R3,NE,5,"8,9",medium,104,19.02,JRC
9/17/20,B2R3,NE,7,"3,4",medium,115,18.27,AJM
9/17/20,B2R3,NE,7,"8,9",medium,135,19.99,NC
9/17/20,B2R3,NE,7,"12,13",medium,104,19.74,JRC
9/17/20,B2R3,NE,3,"13,14",medium,103,20.96,RD
9/17/20,B2R3,NE,5,"11,12",medium,107,22.06,RCS
9/17/20,B2R3,SW,3,"13,14",low,138,18.42,AJM
9/17/20,B2R3,SW,5,"5,6",low,87,14.26,NC
9/17/20,B2R3,SW,5,"9,10",low,129,19.99,"JC,CB"
9/17/20,B2R3,SW,5,"13,14",low,96,17.49,RCS
9/17/20,B2R3,SW,7,"5,6",low,83,9.33,BMC
9/17/20,B2R3,SW,7,"10,11",low,109,20.27,RD
9/17/20,B2R3,SW,3,"6,7",low,96,17.21,JRC
9/17/20,B2R3,SW,7,"14,15",low,90,18.68,AJM
9/17/20,B2R3,SW,3,"10,11",low,65,10.17,JRC
