PROJECT,Block,COLDATE,date,pH,Brix,treatment
VIT_UCD_B1R1_NE_HI,B1R1,13-Sep,Harvest,3.79,24.8,1
VIT_UCD_B1R1_SE_HI,B1R1,13-Sep,Harvest,3.78,25.5,1
VIT_UCD_B1R4_NW_HI,B1R4,14-Sep,Harvest,3.76,24.5,1
VIT_UCD_B1R3_SE_MD,B1R3,14-Sep,Harvest,3.72,25.4,1
VIT_UCD_B1R3_SW_MD,B1R3,15-Sep,Harvest,3.64,24.0,1
VIT_UCD_B1R4_NE_MD,B1R4,15-Sep,Harvest,3.74,23.9,1
VIT_UCD_B1R1_NW_LO,B1R1,16-Sep,Harvest,3.73,24.5,1
VIT_UCD_B1R4_SE_LO,B1R4,16-Sep,Harvest,3.81,24.6,1
VIT_UCD_B1R3_NW_LO,B1R3,16-Sep,Harvest,3.76,24.0,1
VIT_UCD_B2R1_NE_HI,B2R1,13-Sep,Harvest,3.74,24.6,2
VIT_UCD_B2R1_SE_HI,B2R1,14-Sep,Harvest,3.76,25.0,2
VIT_UCD_B2R1_SW_HI,B2R1,15-Sep,Harvest,3.74,25.2,2
VIT_UCD_B2R2_NE_MD,B2R2,15-Sep,Harvest,3.66,23.7,2
VIT_UCD_B2R2_NW_MD,B2R2,16-Sep,Harvest,3.69,24.2,2
VIT_UCD_B2R3_NE_MD,B2R3,16-Sep,Harvest,3.71,24.2,2
VIT_UCD_B2R2_SE_LO,B2R2,13-Sep,Harvest,3.68,24.8,2
VIT_UCD_B2R3_SE_LO,B2R3,14-Sep,Harvest,3.62,25.1,2
VIT_UCD_B2R3_SW_LO,B2R3,15-Sep,Harvest,3.59,24.0,2
VIT_UCD_B3R1_SE_HI,B3R1,16-Sep,Harvest,3.78,25.9,3
VIT_UCD_B3R2_SE_HI,B3R2,16-Sep,Harvest,3.73,24.1,3
VIT_UCD_B3R2_SW_HI,B3R2,15-Sep,Harvest,3.60,24.4,3
VIT_UCD_B3R2_NE_MD,B3R2,13-Sep,Harvest,3.73,23.9,3
VIT_UCD_B3R3_SE_MD,B3R3,14-Sep,Harvest,3.77,25.1,3
VIT_UCD_B3R3_SW_MD,B3R3,15-Sep,Harvest,3.63,24.4,3
VIT_UCD_B3R1_SE_LO,B3R1,15-Sep,Harvest,3.76,25.5,3
VIT_UCD_B3R1_SW_LO,B3R1,16-Sep,Harvest,3.77,24.9,3
VIT_UCD_B3R3_NW_LO,B3R3,16-Sep,Harvest,3.75,23.7,3
