Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
10/22/2020,8/13/2020,B1R1,1,1.5,0.734,56,52,5.27,61.59,60
10/22/2020,8/13/2020,B1R1,2,1.791,0.866,56,47,5.53,61.59,60
10/22/2020,8/13/2020,B1R1,3,1.898,0.875,56,46.5,5.87,61.66,60
10/22/2020,8/13/2020,B1R3,1,1.156,0.481,57,54,5.67,62.36,60
10/22/2020,8/13/2020,B1R3,2,1.997,0.844,57,45,5.72,62.31,60
10/22/2020,8/13/2020,B1R3,3,1.779,0.784,57,46.5,6.73,62.39,60
10/22/2020,8/13/2020,B1R4,1,1.723,0.699,56,48,5.62,63.11,60
10/22/2020,8/13/2020,B1R4,2,1.363,0.622,57,56.5,5.85,63.16,60
10/22/2020,8/13/2020,B1R4,3,1.603,0.658,58,50.5,6.14,63.08,60
10/22/2020,8/13/2020,B2R1,1,1.939,0.865,57,47.5,5.92,63.06,60
10/22/2020,8/13/2020,B2R1,2,1.809,0.712,58,49,6.5,63.04,60
10/22/2020,8/13/2020,B2R1,3,1.685,0.701,57,49,6.83,63.09,60
10/22/2020,8/13/2020,B2R2,1,1.858,0.789,59,52,6.01,65.13,60
10/22/2020,8/13/2020,B2R2,2,1.914,0.804,59,48,6.83,65.12,60
10/22/2020,8/13/2020,B2R2,3,1.954,0.824,60,52,6.59,65.13,60
10/22/2020,8/13/2020,B2R3,1,1.588,0.588,58,53,5.51,63.58,60
10/22/2020,8/13/2020,B2R3,2,1.449,0.602,58,51.5,5.69,63.64,60
10/22/2020,8/13/2020,B2R3,3,1.518,0.633,58,47.5,5.88,63.59,60
10/22/2020,8/13/2020,B3R1,1,1.617,0.67,60,53,5.68,65.6,60
10/22/2020,8/13/2020,B3R1,2,1.922,0.789,60,47,5.7,65.66,60
10/22/2020,8/13/2020,B3R1,3,1.655,0.669,60,50,5.64,65.73,60
10/22/2020,8/13/2020,B3R2,1,1.722,0.729,58,49.5,5.85,64.13,60
10/22/2020,8/13/2020,B3R2,2,1.904,0.853,59,48,6.35,64.18,60
10/22/2020,8/13/2020,B3R2,3,1.556,0.649,59,53,6.52,64.14,60
10/22/2020,8/13/2020,B3R3,1,1.705,0.657,52,49,5.58,57.53,60
10/22/2020,8/13/2020,B3R3,2,1.582,0.679,52,48,5.38,57.58,60
10/22/2020,8/13/2020,B3R3,3,1.653,0.743,52,49,6.25,57.49,60
10/23/2020,7/8/2020,B1R1,1,1.565,0.14,26,40,3,27.11,60
10/23/2020,7/8/2020,B1R1,2,1.668,0.156,27,38,2.96,26.08,60
10/23/2020,7/8/2020,B1R1,3,1.251,0.106,26,42,3.46,27.19,60
10/23/2020,7/8/2020,B1R3,1,1.62,0.119,25,37,2.99,27.08,60
10/23/2020,7/8/2020,B1R3,2,1.67,0.144,26,36.5,2.8,27.08,60
10/23/2020,7/8/2020,B1R3,3,1.309,0.135,27,38.5,2.94,27.13,60
10/23/2020,7/8/2020,B1R4,1,1.5,0.141,26,39.5,3.02,27.12,60
10/23/2020,7/8/2020,B1R4,2,1.604,0.12,26,39,3.1,26.72,60
10/23/2020,7/8/2020,B1R4,3,1.444,0.108,26,40,3.31,27.05,60
10/23/2020,7/8/2020,B2R1,1,1.425,0.104,28,41.5,2.93,28.67,60
10/23/2020,7/8/2020,B2R1,2,1.87,0.153,28,36,3.67,28.4,60
10/23/2020,7/8/2020,B2R1,3,1.94,0.197,28,35,3.21,28.59,60
