Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/13/2019,8/15/2019,B1R2,1,1.774,0.601,1.173,3572,62,53,0.85,3053,8.27,67.75,60,22.89,2.79,3.15,1
11/13/2019,8/15/2019,B1R2,2,1.894,0.672,1.222,3725,62,51,0.82,3064,8.22,67.69,60,23.11,2.81,3.17,1
11/14/2019,8/15/2019,B1R2,3,1.383,0.434,0.949,2872,62,53.5,0.86,2478,7.73,67.53,60,19.88,2.28,2.56,1
11/14/2019,8/20/2019,B1R2,1,1.469,0.487,0.982,2975,64,51,0.8,2371,8.07,69.82,60,18.8,2.17,2.53,1
11/14/2019,8/20/2019,B1R2,2,2.03,0.519,1.511,4627,64,51.5,0.8,3723,8.92,69.55,60,26.71,3.43,3.97,1
11/14/2019,8/20/2019,B1R2,3,1.856,0.591,1.265,3859,64,51.5,0.8,3105,7.41,69.71,60,26.82,2.85,3.31,1
11/12/2019,9/19/2019,B1R2,1,2.032,0.845,1.187,3615,69,54.5,0.79,2856,10.67,75.33,60,18.47,2.62,3.28,1
11/12/2019,9/19/2019,B1R2,2,1.955,0.738,1.217,3709,69,57,0.83,3064,11.24,75.67,60,18.81,2.79,3.52,1
11/12/2019,9/19/2019,B1R2,3,2.096,0.807,1.289,3934,69,51.5,0.75,2936,10.58,75.98,60,19.15,2.67,3.38,1
11/13/2019,8/15/2019,B1R3,1,1.283,0.606,0.677,2023,46,51.5,1.12,2265,5.89,50.8,60,17.69,2.05,1.74,1
11/13/2019,8/15/2019,B1R3,2,1.377,0.545,0.832,2507,46,50,1.09,2725,5.83,50.69,60,21.5,2.47,2.09,1
11/13/2019,8/15/2019,B1R3,3,1.431,0.593,0.838,2526,46,50.91,1.11,2795,5.53,50.91,60,23.25,2.53,2.14,1
11/14/2019,8/20/2019,B1R3,1,1.366,0.515,0.851,2566,45,50.5,1.12,2880,5.78,49.24,60,22.42,2.63,2.16,1
11/14/2019,8/20/2019,B1R3,2,1.093,0.442,0.651,1942,45,52.5,1.17,2266,5.58,49.26,60,18.27,2.07,1.7,1
11/14/2019,8/20/2019,B1R3,3,1.125,0.446,0.679,2029,45,53,1.18,2390,6.35,49.23,60,16.94,2.18,1.79,1
11/12/2019,9/19/2019,B1R3,1,1.272,0.565,0.707,2117,47,52,1.11,2342,8.71,52.66,60,12.64,2.09,1.83,1
11/12/2019,9/19/2019,B1R3,2,1.034,0.457,0.577,1711,47,57,1.21,2075,8.71,52.89,60,11.2,1.84,1.63,1
11/12/2019,9/19/2019,B1R3,3,1.095,0.514,0.581,1723,47,57,1.21,2090,8.76,52.14,60,11.21,1.88,1.64,1
11/13/2019,8/15/2019,B1R4,1,1.141,0.488,0.653,1948,44,53,1.2,2347,6.44,49.34,60,16.03,2.09,1.72,1
11/13/2019,8/15/2019,B1R4,2,1.194,0.517,0.677,2023,45,53,1.18,2383,5.64,49.45,60,19.01,2.17,1.79,1
11/13/2019,8/15/2019,B1R4,3,1.408,0.555,0.853,2573,44,51,1.16,2982,4.67,49.23,60,28.09,2.67,2.19,1
11/12/2019,9/19/2019,B1R4,1,1.315,0.625,0.69,2064,47,53,1.13,2327,8.05,51.76,60,13.59,2.11,1.82,1
11/12/2019,9/19/2019,B1R4,2,1.208,0.609,0.599,1780,47,52,1.11,1969,7.04,51.59,60,13.14,1.79,1.54,1
11/12/2019,9/19/2019,B1R4,3,1.351,0.592,0.759,2279,47,54.5,1.16,2643,8.19,51.77,60,15.17,2.4,2.07,1
11/14/2019,8/15/2019,B2R1,1,1.547,0.517,1.03,3125,55,52,0.95,2955,6.17,59.84,60,26.34,2.72,2.71,2
11/14/2019,8/15/2019,B2R1,2,1.744,0.512,1.232,3756,55,54,0.98,3687,6.91,59.99,60,29.35,3.38,3.38,2
11/14/2019,8/15/2019,B2R1,3,1.324,0.492,0.832,2507,55,51,0.93,2325,6.58,59.87,60,19.43,2.14,2.13,2
11/13/2019,9/19/2019,B2R1,1,2.029,1.048,0.981,2972,60,50.5,0.84,2502,9.79,67.05,60,15.33,2.24,2.5,2
11/13/2019,9/19/2019,B2R1,2,1.746,1.006,0.74,2220,60,53.5,0.89,1979,10.54,67.21,60,11.27,1.77,1.98,2
11/14/2019,9/19/2019,B2R1,3,1.932,0.761,1.171,3565,61,50.5,0.83,2952,10.56,67.11,60,17.05,2.68,3,2
11/13/2019,8/15/2019,B2R2,3,2.462,0.936,1.526,4674,59,51,0.86,4040,7.75,65.07,60,30.76,3.66,3.97,2
11/14/2019,8/15/2019,B2R2,1,2.078,0.644,1.434,4386,59,49.5,0.84,3680,6.98,65.26,60,31.11,3.33,3.62,2
11/14/2019,8/15/2019,B2R2,2,1.286,0.582,0.704,2107,59,53,0.9,1893,7.93,65.03,60,14.08,1.72,1.86,2
11/13/2019,9/19/2019,B2R2,1,2.061,0.984,1.077,3272,58,51,0.88,2877,10.42,64.16,60,16.01,2.6,2.78,2
11/13/2019,9/19/2019,B2R2,3,1.776,0.883,0.893,2697,58,54.5,0.94,2535,10.71,64.23,60,13.73,2.29,2.45,2
11/14/2019,9/19/2019,B2R2,2,2.013,0.666,1.347,4115,58,53,0.91,3760,10.23,64.18,60,21.32,3.4,3.63,2
11/14/2019,8/15/2019,B2R3,1,1.396,0.471,0.925,2797,48,49,1.02,2856,6.39,52.96,60,21.45,2.59,2.28,2
11/14/2019,8/15/2019,B2R3,2,1.048,0.387,0.661,1973,48,52,1.08,2138,6,53.1,60,17.1,1.93,1.71,2
11/14/2019,8/15/2019,B2R3,3,1.098,0.432,0.666,1989,48,51,1.06,2113,6.23,53.24,60,16.28,1.91,1.69,2
11/13/2019,9/19/2019,B2R3,1,1.525,0.79,0.735,2204,52,53.5,1.03,2268,7.54,57.23,60,15.64,2.06,1.97,2
11/13/2019,9/19/2019,B2R3,3,1.414,0.68,0.734,2201,52,54,1.04,2286,7.31,57.06,60,16.26,2.08,1.98,2
11/14/2019,9/19/2019,B2R3,2,1.201,0.57,0.631,1879,52,59,1.13,2132,7.01,56.82,60,15.82,1.95,1.85,2
11/14/2019,8/15/2019,B3R1,1,1.438,0.501,0.937,2835,54,51.5,0.95,2704,6.38,58.98,60,22.88,2.48,2.43,3
11/14/2019,8/15/2019,B3R1,2,1.25,0.576,0.674,2014,54,51,0.94,1902,8.56,59.2,60,12,1.73,1.71,3
11/14/2019,8/15/2019,B3R1,3,1.525,0.522,1.003,3041,54,51.5,0.95,2900,6.22,59.22,60,25.18,2.64,2.61,3
11/13/2019,9/19/2019,B3R1,1,1.373,0.725,0.648,1933,56,57.5,1.03,1984,8.93,62.67,60,12.44,1.77,1.85,3
11/13/2019,9/19/2019,B3R1,3,1.16,0.65,0.51,1502,56,52.5,0.94,1408,8.9,62.95,60,8.86,1.25,1.31,3
