Block,Rep,Date,short_name_flavo,mAU,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R2,1,8/8/19,MYR3G,328.2,56,55.5,6.57,60.8,60
B1R2,2,8/8/19,MYR3G,250.8,56,54.5,6.69,60.8,60
B1R2,3,8/8/19,MYR3G,204.5,56,55,5.95,60.5,60
B1R3,1,8/8/19,MYR3G,260.2,34,52.5,4.94,42,60
B1R3,2,8/8/19,MYR3G,228.2,34,53,5.25,42,60
B1R3,3,8/8/19,MYR3G,260.6,34,54.5,5.1,42.3,60
B1R4,1,8/8/19,MYR3G,363.4,36,51.5,5.8,44.8,60
B1R4,2,8/8/19,MYR3G,316.6,36,50,5.66,44.7,60
B1R4,3,8/8/19,MYR3G,266.7,36,54,6.27,45,60
B2R1,1,8/8/19,MYR3G,330.7,50,50,6.32,54.9,60
B2R1,2,8/8/19,MYR3G,232.3,50,53,5.99,54.9,60
B2R1,3,8/8/19,MYR3G,231.5,50,52,5.92,55.1,60
B2R2,1,8/8/19,MYR3G,360.6,54,52.5,6.6,59.6,60
B2R2,2,8/8/19,MYR3G,388.8,54,52,7.08,59.2,60
B2R2,3,8/8/19,MYR3G,313.3,54,54,6.92,59.3,60
B2R3,1,8/8/19,MYR3G,236.3,44,52,5.74,47,60
B2R3,2,8/8/19,MYR3G,174.7,44,51,5.77,47,60
B2R3,3,8/8/19,MYR3G,152.1,44,51.5,6.3,46.9,60
B3R1,1,8/8/19,MYR3G,315.6,48,57,6.38,51.9,60
B3R1,2,8/8/19,MYR3G,318.3,48,56,6.52,51.9,60
B3R1,3,8/8/19,MYR3G,319.9,48,57,5.99,51.9,60
B3R2,1,8/8/19,MYR3G,375.1,44,56,6.03,49.4,60
B3R2,2,8/8/19,MYR3G,296.7,44,52.5,5.42,49.4,60
B3R2,3,8/8/19,MYR3G,260.7,45,54,6.38,49.7,60
B3R3,1,8/8/19,MYR3G,280.9,46,52.5,6.39,51.1,60
B3R3,2,8/8/19,MYR3G,328.6,46,53.5,6.05,51.4,60
B3R3,3,8/8/19,MYR3G,375.7,46,54,6.25,51.3,60
B1R2,1,8/15/19,MYR3G,622.3,62,53,8.27,67.75,60
B1R2,2,8/15/19,MYR3G,753,62,51,8.22,67.69,60
B1R2,3,8/15/19,MYR3G,595.4,62,53.5,7.73,67.53,60
B1R3,1,8/15/19,MYR3G,802.8,46,51.5,5.89,50.8,60
B1R3,2,8/15/19,MYR3G,662.3,46,50,5.83,50.69,60
B1R3,3,8/15/19,MYR3G,719.8,46,50.91,5.53,50.91,60
B1R4,1,8/15/19,MYR3G,686.5,44,53,6.44,49.34,60
B1R4,2,8/15/19,MYR3G,603.2,45,53,5.64,49.45,60
B1R4,3,8/15/19,MYR3G,608.3,44,51,4.67,49.23,60
B2R1,1,8/15/19,MYR3G,605,55,52,6.17,59.84,60
B2R1,2,8/15/19,MYR3G,605.7,55,54,6.91,59.99,60
B2R1,3,8/15/19,MYR3G,554.7,55,51,6.58,59.87,60
B2R2,1,8/15/19,MYR3G,849.2,59,49.5,6.98,65.26,60
B2R2,2,8/15/19,MYR3G,685.3,59,53,7.93,65.03,60
B2R2,3,8/15/19,MYR3G,820.3,59,51,7.75,65.07,60
B2R3,1,8/15/19,MYR3G,600,48,49,6.39,52.96,60
B2R3,2,8/15/19,MYR3G,419,48,52,6,53.1,60
B2R3,3,8/15/19,MYR3G,487.3,48,51,6.23,53.24,60
B3R1,1,8/15/19,MYR3G,764.8,54,51.5,6.38,58.98,60
B3R1,2,8/15/19,MYR3G,652.3,54,51,8.56,59.2,60
B3R1,3,8/15/19,MYR3G,673.1,54,51.5,6.22,59.22,60
B3R2,1,8/15/19,MYR3G,591.8,50,50.5,5.15,54.25,60
B3R2,2,8/15/19,MYR3G,469,50,55,6.95,54.51,60
B3R2,3,8/15/19,MYR3G,600.1,50,50.5,5.41,54.1,60
B3R3,1,8/15/19,MYR3G,530.2,48,52,7.31,52.78,60
B3R3,2,8/15/19,MYR3G,635.8,48,50,6.61,52.95,60
B3R3,3,8/15/19,MYR3G,618.8,48,50,6.21,52.85,60
B1R2,1,8/20/19,MYR3G,668.6,64,51,8.07,69.82,60
B1R2,2,8/20/19,MYR3G,675,64,51.5,8.92,69.55,60
B1R2,3,8/20/19,MYR3G,655.1,64,51.5,7.41,69.71,60
B1R3,1,8/20/19,MYR3G,571.3,45,50.5,5.78,49.24,60
B1R3,2,8/20/19,MYR3G,582.3,45,52.5,5.58,49.26,60
B1R3,3,8/20/19,MYR3G,495.3,45,53,6.35,49.23,60
B1R4,1,8/20/19,MYR3G,505.1,44,52.5,7.02,48.1,60
B1R4,2,8/20/19,MYR3G,385.1,44,58,5.85,47.95,60
B1R4,3,8/20/19,MYR3G,429.5,44,50.5,6.55,47.79,60
B2R1,1,8/20/19,MYR3G,883.5,59,52,7.33,64.78,60
B2R1,2,8/20/19,MYR3G,887.9,59,55.5,9.18,65.09,60
B2R1,3,8/20/19,MYR3G,899.4,59,51,8.31,65.02,60
B2R2,1,8/20/19,MYR3G,805,59,51.5,9.69,64.57,60
B2R2,2,8/20/19,MYR3G,756.1,58,50.5,8.69,64.03,60
B2R2,3,8/20/19,MYR3G,749.6,59,52,7.37,64.48,60
B2R3,1,8/20/19,MYR3G,638.7,52,52.5,7.74,57.54,60
B2R3,2,8/20/19,MYR3G,645.1,52,52,7.67,57.29,60
B2R3,3,8/20/19,MYR3G,700.5,52,50.5,6.23,57.14,60
B3R1,1,8/20/19,MYR3G,614.1,52,52,8.68,57.45,60
B3R1,2,8/20/19,MYR3G,554.9,52,55.5,8.47,57.16,60
B3R1,3,8/20/19,MYR3G,699.3,52,51,9.02,57.34,60
B3R2,1,8/20/19,MYR3G,805.8,56,52.5,6.99,61.17,60
B3R2,2,8/20/19,MYR3G,594.5,56,54,6.19,61,60
B3R2,3,8/20/19,MYR3G,569.1,56,54.5,7.97,61.05,60
B3R3,1,8/20/19,MYR3G,621.3,49,53,6.92,54.38,60
B3R3,2,8/20/19,MYR3G,648.2,49,51.5,6.89,54.31,60
B3R3,3,8/20/19,MYR3G,541.4,50,53.5,7.3,54.5,60
B1R2,1,9/3/19,MYR3G,1325.8,66,51,9.76,73.14,60
B1R2,2,9/3/19,MYR3G,1345.8,67,50,7.91,73.97,60
B1R2,3,9/3/19,MYR3G,1061.6,67,52,9.47,73.34,60
B1R3,1,9/3/19,MYR3G,902.1,49,55,7.58,54.86,60
B1R3,2,9/3/19,MYR3G,1060.3,49,52,6.73,54.64,60
B1R3,3,9/3/09,MYR3G,NA,,,,,
B1R4,1,9/3/19,MYR3G,865.4,47,51.5,6.09,52.9,60
B1R4,2,9/3/19,MYR3G,750.2,47,50.5,5.8,52.58,60
B1R4,3,9/3/19,MYR3G,680.7,47,52,8.66,52.04,60
B2R1,1,9/3/19,MYR3G,1647.9,62,51,10.66,69.09,60
B2R1,2,9/3/19,MYR3G,837.5,62,52.5,9.33,69.1,60
B2R1,3,9/3/19,MYR3G,1049.7,62,53.5,10.6,69.07,60
B2R2,1,9/3/19,MYR3G,1116.4,60,55,10.5,67.11,60
B2R2,2,9/3/19,MYR3G,1023.6,60,58,11.08,67.33,60
B2R2,3,9/3/19,MYR3G,1321.6,60,53,10.78,67.23,60
B2R3,1,9/3/19,MYR3G,1216.4,54,50.5,9.45,60.4,60
B2R3,2,9/3/19,MYR3G,1053.7,54,51,9.83,60.1,60
B2R3,3,9/3/19,MYR3G,1252.9,54,50,8.16,60.11,60
B3R1,1,9/3/19,MYR3G,1050.3,54,52.5,9.59,59.93,60
B3R1,2,9/3/19,MYR3G,1247.2,54,50.5,9.21,59.81,60
B3R1,3,9/3/19,MYR3G,1082.6,54,52,9.45,59.06,60
B3R2,1,9/3/19,MYR3G,1414.1,54,52,9.23,61.06,60
B3R2,2,9/3/19,MYR3G,1325.9,54,50,9.73,60.77,60
B3R2,3,9/3/19,MYR3G,1248.8,54,51,9.12,60.82,60
B3R3,1,9/3/19,MYR3G,1078.2,52,51,8.77,57.2,60
B3R3,2,9/3/19,MYR3G,1052.6,52,52.5,10.8,56.84,60
B3R3,3,9/3/19,MYR3G,1110.5,52,52,9.59,57.13,60
B1R2,1,9/12/19,MYR3G,1519,69,54.5,10.67,75.33,60
B1R2,2,9/12/19,MYR3G,1074.3,69,57,11.24,75.67,60
B1R2,3,9/12/19,MYR3G,1333.4,69,51.5,10.58,75.98,60
B1R3,1,9/12/19,MYR3G,981.2,47,52,8.71,52.66,60
B1R3,2,9/12/19,MYR3G,769.6,47,57,8.71,52.89,60
B1R3,3,9/12/19,MYR3G,783.4,47,57,8.76,52.14,60
B1R4,1,9/12/19,MYR3G,1154.2,47,53,8.05,51.76,60
B1R4,2,9/12/19,MYR3G,950.8,47,52,7.04,51.59,60
B1R4,3,9/12/19,MYR3G,990.8,47,54.5,8.19,51.77,60
B2R1,1,9/19/19,MYR3G,1464.2,60,50.5,9.79,67.05,60
B2R1,2,9/19/19,MYR3G,1411.5,60,53.5,10.54,67.21,60
B2R1,3,9/19/19,MYR3G,1529.9,61,50.5,10.56,67.11,60
B2R2,1,9/19/19,MYR3G,1390.5,58,51,10.42,64.16,60
B2R2,2,9/19/19,MYR3G,1411.7,58,53,10.23,64.18,60
B2R2,3,9/19/19,MYR3G,1218.1,58,54.5,10.71,64.23,60
B2R3,1,9/19/19,MYR3G,1285,52,53.5,7.54,57.23,60
B2R3,2,9/19/19,MYR3G,1100.8,52,59,7.01,56.82,60
B2R3,3,9/19/19,MYR3G,1001.8,52,54,7.31,57.06,60
B3R1,1,9/19/19,MYR3G,1039.3,56,57.5,8.93,62.67,60
B3R1,2,9/19/19,MYR3G,1032.2,56,55.5,9.59,62.56,60
B3R1,3,9/19/19,MYR3G,937.4,56,52.5,8.9,62.95,60
B3R2,1,9/19/19,MYR3G,1167,55,56.5,9.17,61.52,60
B3R2,2,9/19/19,MYR3G,1301.3,55,52.5,9.66,61.82,60
B3R2,3,9/19/19,MYR3G,1053.5,55,59,8.45,61.45,60
B3R3,1,9/19/19,MYR3G,1278.1,54,54,8.69,60.68,60
B3R3,2,9/19/19,MYR3G,1477,54,51,8.82,60.48,60
B3R3,3,9/19/19,MYR3G,1138.7,54,54,8.45,60.31,60
B1R2,1,8/8/19,Q3G,2021.1,56,55.5,6.57,60.8,60
B1R2,2,8/8/19,Q3G,1517.8,56,54.5,6.69,60.8,60
B1R2,3,8/8/19,Q3G,1385.6,56,55,5.95,60.5,60
B1R3,1,8/8/19,Q3G,1625.4,34,52.5,4.94,42,60
B1R3,2,8/8/19,Q3G,1639.1,34,53,5.25,42,60
B1R3,3,8/8/19,Q3G,1769.8,34,54.5,5.1,42.3,60
B1R4,1,8/8/19,Q3G,2561.3,36,51.5,5.8,44.8,60
B1R4,2,8/8/19,Q3G,1957.1,36,50,5.66,44.7,60
B1R4,3,8/8/19,Q3G,2178.2,36,54,6.27,45,60
B2R1,1,8/8/19,Q3G,2227.2,50,50,6.32,54.9,60
B2R1,2,8/8/19,Q3G,1646.2,50,53,5.99,54.9,60
B2R1,3,8/8/19,Q3G,1457.5,50,52,5.92,55.1,60
B2R2,1,8/8/19,Q3G,2089.4,54,52.5,6.6,59.6,60
B2R2,2,8/8/19,Q3G,2408.7,54,52,7.08,59.2,60
B2R2,3,8/8/19,Q3G,1810.4,54,54,6.92,59.3,60
B2R3,1,8/8/19,Q3G,1796.9,44,52,5.74,47,60
B2R3,2,8/8/19,Q3G,1432.7,44,51,5.77,47,60
B2R3,3,8/8/19,Q3G,1498.5,44,51.5,6.3,46.9,60
B3R1,1,8/8/19,Q3G,2078.3,48,57,6.38,51.9,60
