Block,Rep,Date,mAU,short_name_flavo,Extract_ini_vol,Extract_final_vol,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb
B1R1,1,7/8/20,0,MYR3G,26,40,67723.077,3,27.11,60
B1R1,2,7/8/20,0,MYR3G,27,38,61954.074,2.96,26.08,60
B1R1,3,7/8/20,0,MYR3G,26,42,71109.231,3.46,27.19,60
B1R3,1,7/8/20,0,MYR3G,25,37,65149.6,2.99,27.08,60
B1R3,2,7/8/20,0,MYR3G,26,36.5,61797.308,2.8,27.08,60
B1R3,3,7/8/20,0,MYR3G,27,38.5,62769.259,2.94,27.13,60
B1R4,1,7/8/20,0,MYR3G,26,39.5,66876.538,3.02,27.12,60
B1R4,2,7/8/20,0,MYR3G,26,39,66030,3.1,26.72,60
B1R4,3,7/8/20,0,MYR3G,26,40,67723.077,3.31,27.05,60
B2R1,1,7/8/20,0,MYR3G,28,41.5,65243.929,2.93,28.67,60
B2R1,2,7/8/20,0,MYR3G,28,36,56597.143,3.67,28.4,60
B2R1,3,7/8/20,0,MYR3G,28,35,55025,3.21,28.59,60
B2R2,1,7/8/20,0,MYR3G,30,40,58693.333,3.65,30.71,60
B2R2,2,7/8/20,0,MYR3G,30,39.5,57959.667,3.51,30.69,60
B2R2,3,7/8/20,0,MYR3G,30,41.5,60894.333,3.51,30.65,60
B2R3,1,7/8/20,0,MYR3G,27,39,63584.444,3.09,27.88,60
B2R3,2,7/8/20,0,MYR3G,27,40,65214.815,2.73,28.01,60
B2R3,3,7/8/20,0,MYR3G,27,40.5,66030,3.44,27.99,60
B3R1,1,7/8/20,0,MYR3G,27,38.5,62769.259,3.13,28.45,60
B3R1,2,7/8/20,0,MYR3G,26,39,66030,3.05,28.4,60
B3R1,3,7/8/20,0,MYR3G,28,34.5,54238.929,3.78,28.27,60
B3R2,1,7/8/20,0,MYR3G,30,38.5,56492.333,3.51,35.52,60
B3R2,2,7/8/20,0,MYR3G,30,41,60160.667,3.25,35.54,60
B3R2,3,7/8/20,0,MYR3G,29,41,62235.172,3.41,35.36,60
B3R3,1,7/8/20,0,MYR3G,23,35.5,67943.913,2.79,29.23,60
B3R3,2,7/8/20,0,MYR3G,23,38.5,73685.652,3.14,29.2,60
B3R3,3,7/8/20,0,MYR3G,23,38.5,73685.652,2.74,28.88,60
B1R1,1,7/12/20,0,MYR3G,26,38,64342.769,2.13,26.77,60
B1R1,2,7/12/20,0,MYR3G,26,36,60956.308,2.04,26.79,60
B1R1,3,7/12/20,0,MYR3G,26,32.5,55030,2.06,26.86,60
B1R3,1,7/12/20,0,MYR3G,29,39.5,59963.724,NA,29.62,60
B1R3,2,7/12/20,0,MYR3G,29,34.5,52373.379,3.01,29.77,60
B1R3,3,7/12/20,0,MYR3G,29,37,56168.552,3.36,29.55,60
B1R4,1,7/12/20,0,MYR3G,27,39,63590.222,3.19,28.16,60
B1R4,2,7/12/20,0,MYR3G,27,38,61959.704,2.88,28.22,60
B1R4,3,7/12/20,0,MYR3G,27,34,55437.63,2.77,28.03,60
B2R1,1,7/12/20,0,MYR3G,28,35,55030,3.15,29.02,60
B2R1,2,7/12/20,0,MYR3G,28,36,56602.286,3.83,29.23,60
B2R1,3,7/12/20,0,MYR3G,28,38,59746.857,3.61,29.14,60
B2R2,1,7/12/20,0,MYR3G,29,37,56168.552,3.25,30.12,60
B2R2,2,7/12/20,0,MYR3G,28,43,67608.286,3.28,29.98,60
B2R2,3,7/12/20,0,MYR3G,29,36,54650.483,3.39,29.99,60
B2R3,1,7/12/20,0,MYR3G,28,42,66036,3.23,29.7,60
B2R3,2,7/12/20,0,MYR3G,28,34,53457.714,3.44,29.5,60
B2R3,3,7/12/20,0,MYR3G,28,40,62891.429,2.93,29.61,60
B3R1,1,7/12/20,0,MYR3G,30,32.5,47692.667,3.88,31.8,60
B3R1,2,7/12/20,0,MYR3G,31,34.5,48994.452,3.54,31.77,60
B3R1,3,7/12/20,0,MYR3G,31,36,51124.645,3.47,31.94,60
B3R2,1,7/12/20,0,MYR3G,30,38,55763.733,4.09,30.99,60
B3R2,2,7/12/20,0,MYR3G,30,39.5,57964.933,4.73,31.31,60
B3R2,3,7/12/20,0,MYR3G,29,43,65276.966,4.72,31.23,60
