Sample,Rep,Date,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R2,1,8/8/2019,728.7,D3G,56,55.5,6.57,60.8,60
B1R2,2,8/8/2019,674.6,D3G,56,54.5,6.69,60.8,60
B1R2,3,8/8/2019,514.1,D3G,56,55,5.95,60.5,60
B1R3,1,8/8/2019,421.4,D3G,34,52.5,4.94,42,60
B1R3,2,8/8/2019,823.2,D3G,34,53,5.25,42,60
B1R3,3,8/8/2019,789.7,D3G,34,54.5,5.1,42.3,60
B1R4,1,8/8/2019,967.7,D3G,36,51.5,5.8,44.8,60
B1R4,2,8/8/2019,614.4,D3G,36,50,5.66,44.7,60
B1R4,3,8/8/2019,737.2,D3G,36,54,6.27,45,60
B2R1,1,8/8/2019,818.1,D3G,50,50,6.32,54.9,60
B2R1,2,8/8/2019,696.1,D3G,50,53,5.99,54.9,60
B2R1,3,8/8/2019,783.7,D3G,50,52,5.92,55.1,60
B2R2,1,8/8/2019,901.3,D3G,54,52.5,6.6,59.6,60
B2R2,2,8/8/2019,1292.1,D3G,54,52,7.08,59.2,60
B2R2,3,8/8/2019,1115.1,D3G,54,54,6.92,59.3,60
B2R3,1,8/8/2019,667.7,D3G,44,52,5.74,47,60
B2R3,2,8/8/2019,482,D3G,44,51,5.77,47,60
B2R3,3,8/8/2019,431.4,D3G,44,51.5,6.3,46.9,60
B3R1,1,8/8/2019,934.9,D3G,48,57,6.38,51.9,60
B3R1,2,8/8/2019,720,D3G,48,56,6.52,51.9,60
B3R1,3,8/8/2019,646.5,D3G,48,57,5.99,51.9,60
B3R2,1,8/8/2019,839.8,D3G,44,56,6.03,49.4,60
B3R2,2,8/8/2019,825.4,D3G,44,52.5,5.42,49.4,60
B3R2,3,8/8/2019,504,D3G,45,54,6.38,49.7,60
B3R3,1,8/8/2019,611,D3G,46,52.5,6.39,51.1,60
B3R3,2,8/8/2019,1158,D3G,46,53.5,6.05,51.4,60
B3R3,3,8/8/2019,1329.8,D3G,46,54,6.25,51.3,60
B1R2,1,8/15/2019,1374.6,D3G,62,53,8.27,67.75,60
B1R2,2,8/15/2019,1891.1,D3G,62,51,8.22,67.69,60
B1R2,3,8/15/2019,1446.3,D3G,62,53.5,7.73,67.53,60
B1R3,1,8/15/2019,2301.3,D3G,46,51.5,5.89,50.8,60
B1R3,2,8/15/2019,2090.1,D3G,46,50,5.83,50.69,60
B1R3,3,8/15/2019,2057.7,D3G,46,50.91,5.53,50.91,60
B1R4,1,8/15/2019,1884.3,D3G,44,53,6.44,49.34,60
B1R4,2,8/15/2019,1640.7,D3G,45,53,5.64,49.45,60
B1R4,3,8/15/2019,1625.2,D3G,44,51,4.67,49.23,60
B2R1,1,8/15/2019,2187.9,D3G,55,52,6.17,59.84,60
B2R1,2,8/15/2019,1759.2,D3G,55,54,6.91,59.99,60
B2R1,3,8/15/2019,2077.2,D3G,55,51,6.58,59.87,60
B2R2,1,8/15/2019,2727.9,D3G,59,49.5,6.98,65.26,60
