Date_analysis,Date_sampled,Block_id,Rep,Treatment_A,Treatment_A,Treatment_A,Treatment_A,Treat_B,Treat_B,Treat_C,Treat_C,Treat_C,Treat_C,Treat_D,Treat_D,Treat_D,Treat_D,degree_ionization_%,total_antho_mg_l,color_density,color_density_so2corrrected,Hue,so2_resistant_phenolics,Total_phenolics,total_Antho_mg_g_Skin,total_antho_mg_g_berry_weight,total_Antho_mg_berry,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
11/13/2019,8/15/2019,B1R2,1,0.336,0.305,0.605,0.576,0.097,0.068,0.566,0.537,0.328,0.297,0.494,0.468,1.271,1.218,22.81,445,8.81,8.34,0.53,0.68,56.9,2.85,0.35,0.39,62,53,0.85,381,8.27,67.75,60,1
11/13/2019,8/15/2019,B1R2,2,0.372,0.341,0.715,0.686,0.098,0.069,0.651,0.622,0.357,0.326,0.632,0.606,1.599,1.546,21.17,583,10.27,9.48,0.5,0.69,73.3,3.62,0.44,0.5,62,51,0.82,480,8.22,67.69,60,1
11/14/2019,8/15/2019,B1R2,3,,0.254,,0.498,,0.054,,0.382,,0.217,,0.45,,1.17,20.56,432,7.52,5.99,0.51,0.54,54.5,2.99,0.34,0.39,62,53.5,0.86,373,7.73,67.53,60,1
11/14/2019,8/20/2019,B1R2,1,,0.299,,0.603,,0.063,,0.43,,0.242,,0.526,,1.187,21.39,505,9.02,6.72,0.5,0.63,55.4,3.19,0.37,0.43,64,51,0.8,402,8.07,69.82,60,1
11/14/2019,8/20/2019,B1R2,2,,0.307,,0.616,,0.065,,0.464,,0.254,,0.513,,1.257,22.43,491,9.23,7.18,0.5,0.65,58.9,2.84,0.36,0.42,64,51.5,0.8,395,8.92,69.55,60,1
11/14/2019,8/20/2019,B1R2,3,,0.298,,0.584,,0.067,,0.45,,0.26,,0.463,,1.162,23.46,441,8.82,7.1,0.51,0.67,54.1,3.06,0.33,0.38,64,51.5,0.8,355,7.41,69.71,60,1
11/12/2019,9/19/2019,B1R2,1,0.437,0.408,0.866,0.839,0.121,0.094,0.722,0.695,0.392,0.363,0.909,0.882,1.793,1.711,17.52,851,12.47,10.58,0.49,0.94,81.6,4.35,0.62,0.77,69,54.5,0.79,672,10.67,75.33,60,1
11/12/2019,9/19/2019,B1R2,2,0.386,0.357,0.755,0.728,0.106,0.079,0.6,0.573,0.332,0.303,0.844,0.817,1.662,1.58,16.42,791,10.85,8.76,0.49,0.79,75,4.01,0.6,0.75,69,57,0.83,653,11.24,75.67,60,1
11/12/2019,9/19/2019,B1R2,3,0.427,0.398,0.834,0.807,0.124,0.097,0.68,0.653,0.385,0.356,0.937,0.91,1.819,1.737,16.18,878,12.05,10.09,0.49,0.97,82.9,4.27,0.59,0.75,69,51.5,0.75,655,10.58,75.98,60,1
11/13/2019,8/15/2019,B1R3,1,0.301,0.27,0.607,0.578,0.066,0.037,0.523,0.494,0.279,0.248,0.508,0.482,0.995,0.942,23.04,470,8.48,7.42,0.47,0.37,43.1,4.11,0.48,0.4,46,51.5,1.12,526,5.89,50.8,60,1
11/13/2019,8/15/2019,B1R3,2,0.281,0.25,0.558,0.529,0.065,0.036,0.475,0.446,0.255,0.224,0.484,0.458,0.931,0.878,22.11,446,7.79,6.7,0.47,0.36,39.9,3.83,0.44,0.37,46,50,1.09,485,5.83,50.69,60,1
11/13/2019,8/15/2019,B1R3,3,0.272,0.241,0.536,0.507,0.063,0.034,0.516,0.487,0.276,0.245,0.514,0.488,1.038,0.985,19.85,477,7.48,7.32,0.48,0.34,45.3,4.39,0.48,0.4,46,50.91,1.11,528,5.53,50.91,60,1
11/14/2019,8/20/2019,B1R3,1,,0.246,,0.509,,0.053,,0.378,,0.199,,0.482,,0.923,19.64,464,7.55,5.77,0.48,0.53,42.2,4.06,0.48,0.39,45,50.5,1.12,521,5.78,49.24,60,1
11/14/2019,8/20/2019,B1R3,2,,0.231,,0.463,,0.047,,0.391,,0.214,,0.439,,0.875,19.65,423,6.94,6.05,0.5,0.47,39.8,3.98,0.45,0.37,45,52.5,1.17,494,5.58,49.26,60,1
11/14/2019,8/20/2019,B1R3,3,,0.229,,0.449,,0.047,,0.362,,0.202,,0.418,,0.863,19.98,402,6.78,5.64,0.51,0.47,39.2,3.36,0.43,0.36,45,53,1.18,474,6.35,49.23,60,1
11/12/2019,9/19/2019,B1R3,1,0.281,0.252,0.511,0.484,0.082,0.055,0.436,0.409,0.256,0.227,0.561,0.534,0.907,0.825,16.64,516,7.36,6.36,0.52,0.55,37.3,3.08,0.51,0.45,47,52,1.11,571,8.71,52.66,60,1
11/12/2019,9/19/2019,B1R3,2,0.279,0.25,0.462,0.435,0.095,0.068,0.487,0.46,0.263,0.234,0.523,0.496,0.873,0.791,15.51,473,6.85,6.94,0.57,0.68,35.6,3.1,0.51,0.45,47,57,1.21,574,8.71,52.89,60,1
11/12/2019,9/19/2019,B1R3,3,0.256,0.227,0.445,0.418,0.088,0.061,0.424,0.397,0.252,0.223,0.564,0.537,0.985,0.903,13.82,517,6.45,6.2,0.54,0.61,41.2,3.36,0.56,0.49,47,57,1.21,627,8.76,52.14,60,1
11/13/2019,8/15/2019,B1R4,1,0.26,0.229,0.501,0.472,0.062,0.033,0.432,0.403,0.238,0.207,0.47,0.444,0.978,0.925,20.28,433,7.01,6.1,0.49,0.33,42.3,3.56,0.47,0.38,44,53,1.2,522,6.44,49.34,60,1
11/13/2019,8/15/2019,B1R4,2,0.277,0.246,0.54,0.511,0.066,0.037,0.516,0.487,0.272,0.241,0.48,0.454,1.015,0.962,21.46,442,7.57,7.28,0.48,0.37,44.1,4.15,0.47,0.39,45,53,1.18,520,5.64,49.45,60,1
11/13/2019,8/15/2019,B1R4,3,0.269,0.238,0.519,0.49,0.066,0.037,0.483,0.454,0.262,0.231,0.449,0.423,0.955,0.902,22.06,411,7.28,6.85,0.49,0.37,41.1,4.48,0.43,0.35,44,51,1.16,476,4.67,49.23,60,1
11/12/2019,9/19/2019,B1R4,1,0.313,0.284,0.586,0.559,0.09,0.063,0.497,0.47,0.287,0.258,0.688,0.661,1.157,1.075,15.5,640,8.43,7.28,0.51,0.63,49.8,4.21,0.66,0.57,47,53,1.13,722,8.05,51.76,60,1
