date,day,year,block_id,vine,round,stem_wp_bar,leaf_wp_bar,leaf_temp,Leak,wrong_vine,pixel_number,treatment
6/17/21,168,2021,B1R1_NW,5.14,1,NA,3.9,NA,no,no,4,1
6/17/21,168,2021,B1R1_SE,5.3,1,NA,8,NA,no,no,6,1
6/17/21,168,2021,B1R1_SE,5.1,1,NA,7,NA,no,no,15,1
6/17/21,168,2021,B1R3_NE,5.14,1,NA,2.7,NA,no,no,53,1
6/17/21,168,2021,B1R3_SE,5.6,1,NA,6,NA,no,no,46,1
6/17/21,168,2021,B1R3_SE,5.1,1,NA,6.2,NA,no,no,55,1
6/17/21,168,2021,B1R4_NW,5.14,1,NA,4,NA,no,no,67,1
6/17/21,168,2021,B1R4_SE,5.1,1,NA,6.4,NA,no,no,60,1
6/17/21,168,2021,B1R4_SE,5.6,1,NA,7.2,NA,no,no,69,1
6/17/21,168,2021,B2R1_NW,5.5,1,NA,1.1,NA,no,no,14,2
6/17/21,168,2021,B2R1_NW,5.1,1,NA,2.4,NA,no,no,23,2
6/17/21,168,2021,B2R1_SW,5.3,1,NA,5.2,NA,no,no,16,2
6/17/21,168,2021,B2R2_NW,5.4,1,NA,2.3,NA,no,no,24,2
6/17/21,168,2021,B2R2_SW,5.1,1,NA,3.2,NA,no,no,26,2
6/17/21,168,2021,B2R2_SW,5.13,1,NA,4,NA,no,no,35,2
6/17/21,168,2021,B2R3_NW,5.7,1,NA,2.4,NA,no,no,47,2
6/17/21,168,2021,B2R3_NW,5.14,1,NA,2.6,NA,no,no,48,2
6/17/21,168,2021,B2R3_SE,5.5,1,NA,4.6,NA,no,no,50,2
6/17/21,168,2021,B3R1_NW,5.6,1,NA,6.8,NA,no,no,18,3
6/17/21,168,2021,B3R1_SW,5.9,1,NA,6,NA,no,no,20,3
6/17/21,168,2021,B3R1_SW,5.14,1,NA,4.8,NA,no,no,29,3
6/17/21,168,2021,B3R2_NE,5.15,1,NA,3,NA,no,no,34,3
6/17/21,168,2021,B3R2_NE,5.7,1,NA,1.9,NA,no,no,43,3
6/17/21,168,2021,B3R2_SE,5.7,1,NA,3.8,NA,no,no,45,3
6/17/21,168,2021,B3R3_NE,5.9,1,NA,3.3,NA,no,no,54,3
6/17/21,168,2021,B3R3_NE,5.12,1,NA,2.7,NA,no,no,63,3
6/17/21,168,2021,B3R3_SE,5.3,1,NA,6.8,NA,no,no,65,3
