date,day,year,block_id,vine,round,stem_wp_bar,leaf_wp_bar,leaf_temp,Leak,wrong_vine,pixel_number,treatment
8/11/21,223,2021,B1R1_NW,5.14,4,6.8,14.2,28.9,no,no,4,1
8/11/21,223,2021,B1R1_SE,5.3,4,9,11.5,33.6,no,no,6,1
8/11/21,223,2021,B1R1_SE,5.1,4,7.5,11.5,33.7,no,no,15,1
8/11/21,223,2021,B1R3_NE,5.14,4,6.8,13.5,29.5,no,no,53,1
8/11/21,223,2021,B1R3_SE,5.6,4,3,13.5,35.7,no,no,46,1
8/11/21,223,2021,B1R3_SE,5.1,4,5.5,12,36.9,no,no,55,1
8/11/21,223,2021,B1R4_NW,5.14,4,6.8,13.5,32.7,no,no,67,1
8/11/21,223,2021,B1R4_SE,5.1,4,6.5,11,38.2,no,no,60,1
8/11/21,223,2021,B1R4_SE,5.6,4,1,10.5,35,no,no,69,1
8/11/21,223,2021,B2R1_NW,5.5,4,8.8,16.1,29.2,no,no,14,2
8/11/21,223,2021,B2R1_NW,5.1,4,9,15.5,29.2,no,no,23,2
8/11/21,223,2021,B2R1_SW,5.3,4,7.5,14.5,34.7,no,no,16,2
8/11/21,223,2021,B2R2_NW,5.4,4,6,12.1,32.6,no,no,24,2
8/11/21,223,2021,B2R2_SW,5.1,4,6.7,11.5,39.8,no,no,26,2
8/11/21,223,2021,B2R2_SW,5.13,4,7,11.5,34,no,no,35,2
8/11/21,223,2021,B2R3_NW,5.7,4,6.2,16.2,31.6,no,no,47,2
8/11/21,223,2021,B2R3_NW,5.14,4,7.9,16.6,27.8,no,no,48,2
8/11/21,223,2021,B2R3_SE,5.5,4,5.5,11.2,34.5,no,no,50,2
8/11/21,223,2021,B3R1_NW,5.6,4,5.1,17.8,32.3,no,no,18,3
8/11/21,223,2021,B3R1_SW,5.9,4,6,11,32.4,no,no,20,3
8/11/21,223,2021,B3R1_SW,5.14,4,7.5,11.5,35.2,no,no,29,3
8/11/21,223,2021,B3R2_NE,5.14,4,6.5,16.1,29.7,no,no,34,3
8/11/21,223,2021,B3R2_NE,5.7,4,7.9,13.8,29.3,no,no,43,3
8/11/21,223,2021,B3R2_SE,5.7,4,5.5,11.5,33.8,no,no,45,3
8/11/21,223,2021,B3R3_NE,5.9,4,4.4,14.3,31.5,no,no,54,3
8/11/21,223,2021,B3R3_NE,5.12,4,8.4,14.1,29.9,no,no,63,3
8/11/21,223,2021,B3R3_SE,5.3,4,5.5,11,36.6,no,no,65,3
