date,day,year,block_id,vine,round,leaf_wp_bar,leaf_temp,stem_wp_bar,Leak,wrong_vine,pixel_number,treatment
5/27/2020,148,2020,B1R1_NW,5.14,1,2.2,NA,NA,no,yes,4,1
5/27/2020,148,2020,B1R1_NE,5.3,1,NA,NA,NA,no,no,13,1
5/27/2020,148,2020,B1R1_SW,5.8,1,1.3,NA,NA,no,no,6,1
5/27/2020,148,2020,B1R1_SE,5.10,1,2.1,NA,NA,no,no,15,1
5/27/2020,148,2020,B1R3_NW,5.6,1,NA,NA,NA,no,yes,44,1
5/27/2020,148,2020,B1R3_NE,5.14,1,1.8,NA,NA,no,no,53,1
5/27/2020,148,2020,B1R3_SW,5.4,1,0.6,NA,NA,yes,no,46,1
5/27/2020,148,2020,B1R3_SE,5.6,1,0.5,NA,NA,no,no,55,1
5/27/2020,148,2020,B1R4_NW,5.14,1,1.2,NA,NA,no,no,58,1
5/27/2020,148,2020,B1R4_NE,5.14,1,1.3,NA,NA,no,no,67,1
5/27/2020,148,2020,B1R4_SW,5.7,1,1.9,NA,NA,no,no,60,1
5/27/2020,148,2020,B1R4_SE,5.6,1,NA,NA,NA,no,no,69,1
5/27/2020,148,2020,B2R1_NW,5.10,1,1.4,NA,NA,no,no,14,2
5/27/2020,148,2020,B2R1_NE,5.7,1,1.1,NA,NA,no,no,23,2
5/27/2020,148,2020,B2R1_SW,5.3,1,NA,NA,NA,no,no,16,2
5/27/2020,148,2020,B2R1_SE,5.7,1,1.6,NA,NA,no,no,25,2
5/27/2020,148,2020,B2R2_NW,5.4,1,2.8,NA,NA,no,no,24,2
5/27/2020,148,2020,B2R2_NE,5.12,1,NA,NA,NA,no,yes,33,2
5/27/2020,148,2020,B2R2_SW,5.13,1,1.0,NA,NA,no,no,26,2
5/27/2020,148,2020,B2R2_SE,5.3,1,2.4,NA,NA,no,no,35,2
5/27/2020,148,2020,B2R3_NW,5.7,1,NA,NA,NA,no,no,47,2
5/27/2020,148,2020,B2R3_NE,5.9,1,2.4,NA,NA,no,no,48,2
5/27/2020,148,2020,B2R3_SW,5.3,1,1.3,NA,NA,no,no,49,2
5/27/2020,148,2020,B2R3_SE,5.5,1,1.6,NA,NA,no,no,50,2
5/27/2020,148,2020,B3R1_NW,5.6,1,1.6,NA,NA,no,no,18,3
5/27/2020,148,2020,B3R1_NE,5.5,1,1.0,NA,NA,no,no,27,3
5/27/2020,148,2020,B3R1_SW,5.14,1,NA,NA,NA,no,no,20,3
5/27/2020,148,2020,B3R1_SE,5.8,1,2.4,NA,NA,no,no,29,3
5/27/2020,148,2020,B3R2_NW,5.13,1,1.6,NA,NA,no,no,34,3
5/27/2020,148,2020,B3R2_NE,5.7,1,1.9,NA,NA,no,no,43,3
5/27/2020,148,2020,B3R2_SW,5.9,1,NA,NA,NA,no,no,36,3
5/27/2020,148,2020,B3R2_SE,5.7,1,1.3,NA,NA,no,no,45,3
5/27/2020,148,2020,B3R3_NW,5.5,1,2.0,NA,NA,no,no,54,3
5/27/2020,148,2020,B3R3_NE,5.9,1,2.0,NA,NA,no,no,63,3
5/27/2020,148,2020,B3R3_SW,5.7,1,NA,NA,NA,no,no,56,3
5/27/2020,148,2020,B3R3_SE,5.3,1,1.3,NA,NA,no,no,65,3
5/27/2020,148,2020,B1R1_NW,5.14,2,NA,NA,NA,no,no,4,1
5/27/2020,148,2020,B1R1_NE,5.3,2,6.5,31.1,NA,no,no,13,1
5/27/2020,148,2020,B1R1_SW,5.8,2,6.5,34.7,NA,no,no,6,1
5/27/2020,148,2020,B1R1_SE,5.10,2,7.2,31.6,NA,no,no,15,1
5/27/2020,148,2020,B1R3_NW,5.6,2,NA,NA,NA,no,no,44,1
5/27/2020,148,2020,B1R3_NE,5.14,2,4.1,32.1,NA,no,no,53,1
5/27/2020,148,2020,B1R3_SW,5.4,2,8.0,30.8,NA,yes,no,46,1
5/27/2020,148,2020,B1R3_SE,5.6,2,7.5,30.8,NA,no,no,55,1
5/27/2020,148,2020,B1R4_NW,5.14,2,11.4,32.5,NA,no,no,58,1
