date,day,year,block_id,vine,round,stem_wp_bar,leaf_wp_bar,leaf_temp,Leak,wrong_vine,pixel_number,treatment
7/31/20,213,2020,B1R1_NW,5.14,4,8.9,13,37.8,no,no,4,1
7/31/20,213,2020,B1R1_NE,5.3,4,NA,NA,NA,no,no,13,1
7/31/20,213,2020,B1R1_NE,5.12,4,NA,NA,NA,no,no,13,1
7/31/20,213,2020,B1R1_SW,5.8,4,NA,NA,NA,no,no,6,1
7/31/20,213,2020,B1R1_SE,5.3,4,8.3,13.2,30.5,no,no,15,1
7/31/20,213,2020,B1R1_SE,5.1,4,7.9,12.9,32.2,no,no,15,1
7/31/20,213,2020,B1R3_NW,5.6,4,NA,NA,NA,no,no,44,1
7/31/20,213,2020,B1R3_NW,5.11,4,NA,NA,NA,no,no,44,1
7/31/20,213,2020,B1R3_NE,5.14,4,11,16.9,35.8,no,no,53,1
7/31/20,213,2020,B1R3_SW,5.4,4,NA,NA,NA,no,no,46,1
7/31/20,213,2020,B1R3_SE,5.6,4,10.3,14.4,28.9,no,no,55,1
7/31/20,213,2020,B1R3_SE,5.1,4,10.4,14.1,30.1,no,no,55,1
7/31/20,213,2020,B1R4_NW,5.14,4,9.6,15.1,35.5,no,no,58,1
7/31/20,213,2020,B1R4_NE,5.1,4,NA,NA,NA,no,no,67,1
7/31/20,213,2020,B1R4_NE,5.14,4,NA,NA,NA,no,no,67,1
7/31/20,213,2020,B1R4_SW,5.7,4,NA,NA,NA,no,no,60,1
7/31/20,213,2020,B1R4_SE,5.6,4,8.5,12.5,36.2,no,no,69,1
7/31/20,213,2020,B1R4_SE,5.1,4,9.8,15,38.1,no,no,69,1
7/31/20,213,2020,B2R1_NW,5.5,4,10,14.7,36.3,no,no,14,2
7/31/20,213,2020,B2R1_NW,5.1,4,9.9,14.1,35.8,no,no,14,2
7/31/20,213,2020,B2R1_NE,5.7,4,NA,NA,NA,no,no,23,2
7/31/20,213,2020,B2R1_SW,5.3,4,11.7,15,28.9,no,no,16,2
7/31/20,213,2020,B2R1_SE,5.7,4,NA,NA,NA,no,no,25,2
7/31/20,213,2020,B2R1_SE,5.11,4,NA,NA,NA,no,no,25,2
7/31/20,213,2020,B2R2_NW,5.4,4,8.4,14.1,34.7,no,no,24,2
7/31/20,213,2020,B2R2_NE,5.4,4,NA,NA,NA,no,no,33,2
7/31/20,213,2020,B2R2_NE,5.12,4,NA,NA,NA,no,no,33,2
7/31/20,213,2020,B2R2_SW,5.1,4,9.7,15.1,29.6,no,no,26,2
7/31/20,213,2020,B2R2_SW,5.13,4,9.8,13.3,28.4,no,no,26,2
7/31/20,213,2020,B2R2_SE,5.3,4,NA,NA,NA,no,no,35,2
7/31/20,213,2020,B2R3_NW,5.7,4,9.3,13.3,31.3,no,no,47,2
7/31/20,213,2020,B2R3_NW,5.14,4,9.7,14.1,31.2,no,no,47,2
7/31/20,213,2020,B2R3_NE,5.9,4,NA,NA,NA,no,no,48,2
7/31/20,213,2020,B2R3_SW,5.3,4,NA,NA,NA,no,no,49,2
7/31/20,213,2020,B2R3_SW,5.14,4,NA,NA,NA,no,no,49,2
7/31/20,213,2020,B2R3_SE,5.5,4,10.5,14,38.5,no,no,50,2
7/31/20,213,2020,B3R1_NW,5.6,4,9.7,15.1,33.6,no,no,18,3
7/31/20,213,2020,B3R1_NE,5.5,4,NA,NA,NA,no,no,27,3
7/31/20,213,2020,B3R1_NE,5.5,4,NA,NA,NA,no,no,27,3
7/31/20,213,2020,B3R1_SW,5.9,4,9.1,14.2,38.5,no,no,20,3
7/31/20,213,2020,B3R1_SW,5.14,4,9.4,13.5,37.1,no,no,20,3
7/31/20,213,2020,B3R1_SE,5.8,4,NA,NA,NA,no,no,29,3
7/31/20,213,2020,B3R2_NW,5.13,4,NA,NA,NA,no,no,34,3
7/31/20,213,2020,B3R2_NE,5.7,4,7.2,11.9,32.1,no,no,43,3
7/31/20,213,2020,B3R2_NE,5.14,4,9.2,11.6,36.1,no,no,43,3
7/31/20,213,2020,B3R2_SW,5.9,4,NA,NA,NA,no,no,36,3
7/31/20,213,2020,B3R2_SW,5.12,4,NA,NA,NA,no,no,36,3
7/31/20,213,2020,B3R2_SE,5.7,4,9.7,13.8,29.3,no,no,45,3
7/31/20,213,2020,B3R3_NW,5.5,4,NA,NA,NA,no,no,54,3
7/31/20,213,2020,B3R3_NE,5.9,4,8,13.6,35.1,no,no,63,3
7/31/20,213,2020,B3R3_NE,5.12,4,10.4,12.1,34.1,no,no,63,3
7/31/20,213,2020,B3R3_SW,5.7,4,NA,NA,NA,no,no,56,3
7/31/20,213,2020,B3R3_SW,5.1,4,NA,NA,NA,no,no,56,3
7/31/20,213,2020,B3R3_SE,5.3,4,8.3,13.6,33.1,no,no,65,3
