date,day,year,block_id,VINE,round,stem_wp_bar,leaf_wp_bar,leaf_temp,Leak,wrong_vine,pixel_number,treatment,SUB_BLOCK,BLOCK
8/16/20,229,2020,B1R1_NW,5.14,1,NA,5.4,NA,no,no,4,1,_NW,B1R1
8/16/20,229,2020,B1R1_NE,5.3,1,NA,NA,NA,no,no,13,1,_NE,B1R1
8/16/20,229,2020,B1R1_NE,5.12,1,NA,NA,NA,no,no,13,1,_NE,B1R1
8/16/20,229,2020,B1R1_SW,5.8,1,NA,NA,NA,no,no,6,1,_SW,B1R1
8/16/20,229,2020,B1R1_SE,5.3,1,NA,5.5,NA,no,no,15,1,_SE,B1R1
8/16/20,229,2020,B1R1_SE,5.1,1,NA,3.3,NA,no,no,15,1,_SE,B1R1
8/16/20,229,2020,B1R3_NW,5.6,1,NA,NA,NA,no,no,44,1,_NW,B1R3
8/16/20,229,2020,B1R3_NW,5.11,1,NA,NA,NA,no,no,44,1,_NW,B1R3
8/16/20,229,2020,B1R3_NE,5.14,1,NA,4.9,NA,no,no,53,1,_NE,B1R3
8/16/20,229,2020,B1R3_SW,5.4,1,NA,NA,NA,no,no,46,1,_SW,B1R3
8/16/20,229,2020,B1R3_SE,5.6,1,NA,4.6,NA,no,no,55,1,_SE,B1R3
8/16/20,229,2020,B1R3_SE,5.1,1,NA,4.1,NA,no,no,55,1,_SE,B1R3
8/16/20,229,2020,B1R4_NW,5.14,1,NA,6,NA,no,no,58,1,_NW,B1R4
8/16/20,229,2020,B1R4_NE,5.1,1,NA,NA,NA,no,no,67,1,_NE,B1R4
8/16/20,229,2020,B1R4_NE,5.14,1,NA,NA,NA,no,no,67,1,_NE,B1R4
8/16/20,229,2020,B1R4_SW,5.7,1,NA,NA,NA,no,no,60,1,_SW,B1R4
8/16/20,229,2020,B1R4_SE,5.6,1,NA,5,NA,no,no,69,1,_SE,B1R4
8/16/20,229,2020,B1R4_SE,5.1,1,NA,4.9,NA,no,no,69,1,_SE,B1R4
8/16/20,229,2020,B2R1_NW,5.5,1,NA,4.4,NA,no,no,14,2,_NW,B2R1
8/16/20,229,2020,B2R1_NW,5.1,1,NA,4.8,NA,no,no,14,2,_NW,B2R1
8/16/20,229,2020,B2R1_NE,5.7,1,NA,NA,NA,no,no,23,2,_NE,B2R1
8/16/20,229,2020,B2R1_SW,5.3,1,NA,4.3,NA,no,no,16,2,_SW,B2R1
8/16/20,229,2020,B2R1_SE,5.7,1,NA,NA,NA,no,no,25,2,_SE,B2R1
8/16/20,229,2020,B2R1_SE,5.11,1,NA,NA,NA,no,no,25,2,_SE,B2R1
8/16/20,229,2020,B2R2_NW,5.4,1,NA,5.3,NA,no,no,24,2,_NW,B2R2
8/16/20,229,2020,B2R2_NE,5.4,1,NA,NA,NA,no,no,33,2,_NE,B2R2
8/16/20,229,2020,B2R2_NE,5.12,1,NA,NA,NA,no,no,33,2,_NE,B2R2
8/16/20,229,2020,B2R2_SW,5.1,1,NA,4.2,NA,no,no,26,2,_SW,B2R2
8/16/20,229,2020,B2R2_SW,5.13,1,NA,4.1,NA,no,no,26,2,_SW,B2R2
8/16/20,229,2020,B2R2_SE,5.3,1,NA,NA,NA,no,no,35,2,_SE,B2R2
8/16/20,229,2020,B2R3_NW,5.7,1,NA,4.8,NA,no,no,47,2,_NW,B2R3
8/16/20,229,2020,B2R3_NW,5.14,1,NA,3.3,NA,no,no,47,2,_NW,B2R3
8/16/20,229,2020,B2R3_NE,5.9,1,NA,NA,NA,no,no,48,2,_NE,B2R3
8/16/20,229,2020,B2R3_SW,5.3,1,NA,NA,NA,no,no,49,2,_SW,B2R3
8/16/20,229,2020,B2R3_SW,5.14,1,NA,NA,NA,no,no,49,2,_SW,B2R3
8/16/20,229,2020,B2R3_SE,5.5,1,NA,4.1,NA,no,no,50,2,_SE,B2R3
8/16/20,229,2020,B3R1_NW,5.6,1,NA,1.2,NA,no,no,18,3,_NW,B3R1
8/16/20,229,2020,B3R1_NE,5.5,1,NA,NA,NA,no,no,27,3,_NE,B3R1
8/16/20,229,2020,B3R1_NE,5.8,1,NA,NA,NA,no,no,27,3,_NE,B3R1
8/16/20,229,2020,B3R1_SW,5.9,1,NA,4.2,NA,no,no,20,3,_SW,B3R1
8/16/20,229,2020,B3R1_SW,5.14,1,NA,3.6,NA,no,no,20,3,_SW,B3R1
8/16/20,229,2020,B3R1_SE,5.8,1,NA,NA,NA,no,no,29,3,_SE,B3R1
8/16/20,229,2020,B3R2_NW,5.13,1,NA,NA,NA,no,no,34,3,_NW,B3R2
8/16/20,229,2020,B3R2_NE,5.7,1,NA,3.7,NA,no,no,43,3,_NE,B3R2
