date,day,year,block_id,vine,round,stem_wp_bar,leaf_wp_bar,leaf_temp,Leak,wrong_vine,pixel_number,treatment
5/27/20,148,2020,B1R1_NW,5.14,1,NA,NA,NA,no,yes,4,1
5/27/20,148,2020,B1R1_NE,5.3,1,NA,2.2,NA,no,no,13,1
5/27/20,148,2020,B1R1_SW,5.8,1,NA,1.3,NA,no,no,6,1
5/27/20,148,2020,B1R1_SE,5.1,1,NA,2.1,NA,no,no,15,1
5/27/20,148,2020,B1R3_NW,5.6,1,NA,1.2,NA,no,yes,44,1
5/27/20,148,2020,B1R3_NE,5.14,1,NA,1.8,NA,no,no,53,1
5/27/20,148,2020,B1R3_SW,5.4,1,NA,0.6,NA,yes,no,46,1
5/27/20,148,2020,B1R3_SE,5.6,1,NA,0.5,NA,no,no,55,1
5/27/20,148,2020,B1R4_NW,5.14,1,NA,1.2,NA,no,no,58,1
5/27/20,148,2020,B1R4_NE,5.14,1,NA,1.3,NA,no,no,67,1
5/27/20,148,2020,B1R4_SW,5.7,1,NA,1.9,NA,no,no,60,1
5/27/20,148,2020,B1R4_SE,5.6,1,NA,NA,NA,no,no,69,1
5/27/20,148,2020,B2R1_NW,5.1,1,NA,1.4,NA,no,no,14,2
5/27/20,148,2020,B2R1_NE,5.7,1,NA,1.1,NA,no,no,23,2
5/27/20,148,2020,B2R1_SW,5.3,1,NA,NA,NA,no,no,16,2
5/27/20,148,2020,B2R1_SE,5.7,1,NA,1.6,NA,no,no,25,2
5/27/20,148,2020,B2R2_NW,5.4,1,NA,2.8,NA,no,no,24,2
5/27/20,148,2020,B2R2_NE,5.12,1,NA,NA,NA,no,yes,33,2
5/27/20,148,2020,B2R2_SW,5.13,1,NA,1,NA,no,no,26,2
5/27/20,148,2020,B2R2_SE,5.3,1,NA,2.4,NA,no,no,35,2
5/27/20,148,2020,B2R3_NW,5.7,1,NA,NA,NA,no,no,47,2
5/27/20,148,2020,B2R3_NE,5.9,1,NA,2.4,NA,no,no,48,2
5/27/20,148,2020,B2R3_SW,5.3,1,NA,1.3,NA,no,no,49,2
5/27/20,148,2020,B2R3_SE,5.5,1,NA,1.6,NA,no,no,50,2
5/27/20,148,2020,B3R1_NW,5.6,1,NA,1.6,NA,no,no,18,3
5/27/20,148,2020,B3R1_NE,5.5,1,NA,1,NA,no,no,27,3
5/27/20,148,2020,B3R1_SW,5.14,1,NA,NA,NA,no,no,20,3
5/27/20,148,2020,B3R1_SE,5.8,1,NA,2.4,NA,no,no,29,3
5/27/20,148,2020,B3R2_NW,5.13,1,NA,1.6,NA,no,no,34,3
5/27/20,148,2020,B3R2_NE,5.7,1,NA,1.9,NA,no,no,43,3
5/27/20,148,2020,B3R2_SW,5.9,1,NA,NA,NA,no,no,36,3
5/27/20,148,2020,B3R2_SE,5.7,1,NA,1.3,NA,no,no,45,3
5/27/20,148,2020,B3R3_NW,5.5,1,NA,2,NA,no,no,54,3
5/27/20,148,2020,B3R3_NE,5.9,1,NA,2,NA,no,no,63,3
5/27/20,148,2020,B3R3_SW,5.7,1,NA,NA,NA,no,no,56,3
5/27/20,148,2020,B3R3_SE,5.3,1,NA,1.3,NA,no,no,65,3
