"","Date","hours","treatment","gal_acre_day_irrigation","DOY","tair_max"
"1",2021-04-06,3.54166666666667,"1",2031.45927083333,96,22.8
"2",2021-04-06,3.45833333333333,"2",1983.66022916667,96,22.8
"3",2021-04-06,3.41666666666667,"3",1959.76070833333,96,22.8
"4",2021-04-07,1.5,"3",860.38275,97,22.15
"5",2021-04-07,1.5,"1",860.38275,97,22.15
"6",2021-04-07,1.5,"2",860.38275,97,22.15
"7",2021-04-08,0,"3",0,98,23.06
"8",2021-04-08,0,"2",0,98,23.06
"9",2021-04-08,0,"1",0,98,23.06
"10",2021-04-09,0,"2",0,99,22.45
"11",2021-04-09,0,"3",0,99,22.45
"12",2021-04-09,0,"1",0,99,22.45
"13",2021-04-10,0,"1",0,100,24.37
"14",2021-04-10,0,"2",0,100,24.37
"15",2021-04-10,0,"3",0,100,24.37
"16",2021-04-11,0,"3",0,101,26.04
"17",2021-04-11,0,"2",0,101,26.04
"18",2021-04-11,0,"1",0,101,26.04
"19",2021-04-12,0,"2",0,102,27.18
"20",2021-04-12,0,"3",0,102,27.18
"21",2021-04-12,0,"1",0,102,27.18
"22",2021-04-13,0,"2",0,103,22.42
"23",2021-04-13,0,"3",0,103,22.42
"24",2021-04-13,0,"1",0,103,22.42
"25",2021-04-14,0,"3",0,104,20.6
"26",2021-04-14,0,"2",0,104,20.6
"27",2021-04-14,0,"1",0,104,20.6
"28",2021-04-15,0,"1",0,105,22.95
"29",2021-04-15,0,"2",0,105,22.95
"30",2021-04-15,0,"3",0,105,22.95
"31",2021-04-16,0,"2",0,106,25.06
"32",2021-04-16,0,"1",0,106,25.06
"33",2021-04-16,0,"3",0,106,25.06
"34",2021-04-17,0,"1",0,107,29.22
"35",2021-04-17,0,"2",0,107,29.22
"36",2021-04-17,0,"3",0,107,29.22
"37",2021-04-18,0,"2",0,108,30.09
"38",2021-04-18,0,"1",0,108,30.09
"39",2021-04-18,0,"3",0,108,30.09
"40",2021-04-19,0,"1",0,109,27.78
"41",2021-04-19,0,"3",0,109,27.78
"42",2021-04-19,0,"2",0,109,27.78
"43",2021-04-20,0,"1",0,110,23.32
"44",2021-04-20,0,"3",0,110,23.32
"45",2021-04-20,0,"2",0,110,23.32
"46",2021-04-21,0,"1",0,111,24.24
"47",2021-04-21,0,"2",0,111,24.24
"48",2021-04-21,0,"3",0,111,24.24
"49",2021-04-22,4,"1",2294.354,112,22.09
"50",2021-04-22,4,"2",2294.354,112,22.09
"51",2021-04-22,4,"3",2294.354,112,22.09
"52",2021-04-23,4,"2",2294.354,113,23.02
"53",2021-04-23,4,"1",2294.354,113,23.02
"54",2021-04-23,4,"3",2294.354,113,23.02
"55",2021-04-24,4,"2",2294.354,114,19.9
"56",2021-04-24,4,"1",2294.354,114,19.9
"57",2021-04-24,4,"3",2294.354,114,19.9
"58",2021-04-25,0,"1",0,115,16.62
"59",2021-04-25,0,"3",0,115,16.62
"60",2021-04-25,0,"2",0,115,16.62
"61",2021-04-26,0,"1",0,116,17.7
"62",2021-04-26,0,"2",0,116,17.7
"63",2021-04-26,0,"3",0,116,17.7
"64",2021-04-27,0,"1",0,117,24.7
"65",2021-04-27,0,"3",0,117,24.7
"66",2021-04-27,0,"2",0,117,24.7
"67",2021-04-28,0,"1",0,118,28.39
"68",2021-04-28,0,"2",0,118,28.39
"69",2021-04-28,0,"3",0,118,28.39
"70",2021-04-29,0,"2",0,119,30.45
"71",2021-04-29,0,"1",0,119,30.45
"72",2021-04-29,0,"3",0,119,30.45
"73",2021-04-30,0,"1",0,120,29.66
"74",2021-04-30,0,"2",0,120,29.66
"75",2021-04-30,0,"3",0,120,29.66
"76",2021-05-01,3.16666666666667,"2",1816.36358333333,121,26.23
"77",2021-05-01,4.08333333333333,"1",2342.15304166667,121,26.23
"78",2021-05-01,2.83333333333333,"3",1625.16741666667,121,26.23
"79",2021-05-02,0,"1",0,122,27.9
"80",2021-05-02,0,"3",0,122,27.9
"81",2021-05-02,0,"2",0,122,27.9
"82",2021-05-03,4.08333333333333,"1",2342.15304166667,123,30.27
"83",2021-05-03,2.83333333333333,"3",1625.16741666667,123,30.27
