"","date","BLOCK","SUB_BLOCK","VINE","LEAF","treatment","hhmmss","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","DarkAdaptedID","Fo","Fm","Fv","Adark","LightAdaptedID","Fs","Fm.","PhiPS2","PS2.1","Qabs_fs","Afs","ETR","Fv..Fm.","PhiCO2","NPQ","DarkPulseID","Fo.","Fv.","qP","qN","qP_Fo","qN_Fo","day","year","block_id","round","leaf_temp","Leak","wrong_vine","pixel_number","stem_wp_MPa","leaf_wp_MPa"
"1",2021-06-04,"B1R1","_NW","_5.14","_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,2021,"B1R1_NW",4,37.2,"no","no",4,-1.02,-1.23
"2",2021-06-04,"B1R1","_SE","_5.10","_1",1,"14:12:26","0.001237376","18.02305513","-36.73389746","0.071180933","0.801830668","38.27806333","39.27043667","1.672044082","71.33998038","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1907-20210604-14_12_26",773.5124231,1109.08,"0.302563906",0.5,"1643.81454","18.02305513","248.679474","0.475871894","0.011211497","2.270133805","DARK-1908-20210604-14_12_28","581.3",527.78,"0.635809574","0.826703967","0.859654808","0.865771469",155,2021,"B1R1_SE",4,31.4,"no","no",15,-0.69,-1.16
"3",2021-06-04,"B1R1","_SE","_5.10","_2",1,"14:14:22","0.004250879","19.6938776","238.0529583","0.255967046","0.801830668","38.80353871","39.30915484","1.648339242","74.24538587","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1909-20210604-14_14_21",796.36196,1151.18,"0.308221164",0.5,"1643.846139","19.6938776","253.3340856","0.491791032","0.012227692","2.150541184","DARK-1910-20210604-14_14_23","585.04",566.14,"0.626731974","0.81387994","0.820480466","0.851294721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2021-06-04,"B1R1","_SE","_5.10","_3",1,"14:15:29","0.001355703","19.23056682","-39.90223295","0.075700344","0.801830668","38.37880333","39.34224667","1.72354987","70.86152223","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1911-20210604-14_15_29",976.9816,1299.41,"0.248134461",0.5,"1643.828201","19.23056682","203.9452123","0.462956265","0.011945977","1.791143673","DARK-1912-20210604-14_15_31","697.84",601.57,"0.53597819","0.79461591","0.555258569","0.800323498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-06-04,"B1R1","_SE","_5.3","_1",1,"14:08:02","0.001375811","15.33813913","-1.780633653","0.065903251","0.801830668","39.13990968","39.23472258","2.003098742","71.34210876","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1901-20210604-14_08_02",786.27856,1061.34,"0.259164302",0.5,"1643.830907","15.33813913","213.0111446","0.424802608","0.009578057","2.417227279","DARK-1902-20210604-14_08_04","610.48",450.86,"0.610081711","0.850528452","0.802837643","0.882187621",155,2021,"B1R1_SE",4,38.6,"no","no",6,-0.8,-1.35
"6",2021-06-04,"B1R1","_SE","_5.3","_2",1,"14:09:14","-0.000531413","11.07889346","1159.253864","-0.022023492","0.801830668","39.29459677","39.13303226","2.278994606","68.66936421","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1903-20210604-14_09_14",1334.340385,1494.14,"0.106950898",0.5,"1643.769572","11.07889346","87.90131625","0.43526711","0.006987269","1.427376283","DARK-1904-20210604-14_09_16","843.79",650.35,"0.245713255","0.766317529","0.206083618","0.733362518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-06-04,"B1R1","_SE","_5.3","_3",1,"14:10:23","-3.44814E-05","15.79143243","16757.73521","-0.001513584","0.801830668","39.11723548","39.1065871","2.160228153","69.48962344","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1905-20210604-14_10_22",740.49492,1030.95,"0.28173537",0.5,"1643.871426","15.79143243","231.5683625","0.449701731","0.009853568","2.517959164","DARK-1906-20210604-14_10_24","567.33",463.62,"0.626493853","0.848465931","0.930285212","0.892637702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021-06-04,"B1R3","_NE","_5.14","_1",1,"15:17:30","0.000433441","8.833827211","-343.8484893","0.019362951","0.801830668","40.73459333","40.96278333","2.11536179","71.6880004","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-9682-20210604-15_17_31",944.11896,616.49,"-0.531442456",0.5,"1601.656061","8.833827211","-425.5940157","0.999918896","0.005769275","4.883047576","DARK-9683-20210604-15_17_33","0.05",616.44,"-0.531485562","0.830031515","3.204556828","1.035156307",155,2021,"B1R3_NE",4,32.3,"no","no",53,-1.03,-1.23
"9",2021-06-04,"B1R3","_NE","_5.14","_2",1,"15:19:20","0.000503213","9.948034702","-412.8814685","0.019929557","0.801830668","41.32849355","40.98003226","2.383399171","71.34910815","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-9684-20210604-15_19_21",912.8308,0.64,"-1425.298125",0.5,"1601.700968","9.948034702","-1141450.694","-3.953125","0.006464753","5665.9375","DARK-9685-20210604-15_19_23","3.17",-2.53,"360.5497233","1.000698187","1.270304216","1.246926038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2021-06-04,"B1R3","_NE","_5.14","_3",1,"15:20:51","0.001126199","10.55252601","42.44256123","0.050553932","0.801830668","40.70993871","40.77245484","2.117740606","72.25463141","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-9686-20210604-15_20_53",833.90476,992.59,"0.159869876",0.5,"1601.661069","10.55252601","128.0286781","0.998176488","0.006842329","2.653915514","DARK-9687-20210604-15_20_55","1.81",990.78,"0.160161933","0.726683641","0.57943602","0.905828392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2021-06-04,"B1R3","_SE","_5.10","_1",1,"14:54:35","0.001636884","12.77972956","73.59444572","0.068572641","0.801830668","40.44512903","40.48860968","2.28068052","69.79677235","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1943-20210604-14_54_35",704.29508,957.5,"0.264443781",0.5,"1643.843755","12.77972956","217.3521287","0.417430809","0.008021624","2.787822454","DARK-1944-20210604-14_54_37","557.81",399.69,"0.633503265","0.869766669","1.060448501","0.917894642",155,2021,"B1R3_SE",4,34.4,"no","no",55,-0.84,-1.29
"12",2021-06-04,"B1R3","_SE","_5.10","_2",1,"14:56:34","0.002183444","11.1324283","174.3201332","0.090215029","0.801830668","40.72642258","40.76889032","2.319077994","69.74893241","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1945-20210604-14_56_34",798.8712,1050.58,"0.239590322",0.5,"1643.838997","11.1324283","196.923957","0.393097146","0.007019541","2.452226389","DARK-1946-20210604-14_56_36","637.6",412.98,"0.609493922","0.861844482","0.758498216","0.885887617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2021-06-04,"B1R3","_SE","_5.10","_3",1,"14:58:11","0.001985447","11.95593077","129.2883406","0.079080448","0.801830668","40.93178333","40.93858667","2.399711326","69.17298256","RECT-527-20200527-06_29_39",718.7284615,3626.84,2908.111538,"-0.406566687","RECT-1947-20210604-14_58_11",680.0088846,922.28,"0.262687162",0.5,"1643.811991","11.95593077","215.904153","0.412922323","0.007520627","2.932471701","DARK-1948-20210604-14_58_13","541.45",380.83,"0.636166046","0.876569899","1.190220016","0.930005594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
