"","date","BLOCK","SUB_BLOCK","VINE","LEAF","treatment","hhmmss","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","DarkAdaptedID","Fo","Fm","Fv","Adark","LightAdaptedID","Fs","Fm.","PhiPS2","PS2.1","Qabs_fs","Afs","ETR","Fv..Fm.","PhiCO2","NPQ","DarkPulseID","Fo.","Fv.","qP","qN","qP_Fo","qN_Fo","day","year","block_id","round","leaf_temp","Leak","wrong_vine","pixel_number","stem_wp_MPa","leaf_wp_MPa"
"1",2021-06-15,"B1R1","_NW","_5.14","_1",1,"05:32:43","0.000237746","-0.210433863","405.4383388","0.034279614",0.815745968,"16.55168387","17.63036452","0.697595228","58.92419611","RECT-15-20210615-05_32_36",455.616,2472.76,NA,NA,"-",0,0,"#DIV/0!",0.5,"0.020994792",NA,"#DIV/0!","#DIV/0!","2.70724E-11","#DIV/0!","-","#DIV/0!",NA,"#DIV/0!","#DIV/0!",0,1.225871827,166,2021,"B1R1_NW",1,NA,"no","no",4,NA,-0.85
"2",2021-06-15,"B1R1","_NW","_5.14","_2",1,"05:35:03","0.001896719","-0.023840023","389.4241486","0.121794872",0.799889404,"16.4724871","17.61087419","1.59933074","13.91139538","RECT-16-20210615-05_34_56",450.2588462,2250.05,NA,NA,"-",0,0,"#DIV/0!",0.5,"0.020994792",NA,"#DIV/0!","#DIV/0!","-6.77107E-12","#DIV/0!","-","#DIV/0!",NA,"#DIV/0!","#DIV/0!",0,1.25017283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-06-15,"B1R1","_SE","_5.10","_1",1,"05:43:39","0.010725391","-0.588372954","392.7123413","2.942670048",0.768097475,"16.67571935","19.60594839","0.559721021","58.74494168","RECT-9914-20210615-05_43_40",775.2084,3342.82,2567.6116,"-0.588372954","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.588372954","#DIV/0!","#DIV/0!","4.47835E-12","#DIV/0!","-","0",0,"#DIV/0!","1",0,1.301918094,166,2021,"B1R1_SE",1,NA,"no","no",15,NA,-0.57
"4",2021-06-15,"B1R1","_SE","_5.10","_2",1,"05:44:49","0.011634482","-0.931091809","393.8913648","7.213680278",0.766955827,"15.96896","19.48314333","0.368480727","63.91956114","RECT-9915-20210615-05_44_51",837.7984615,3595.02,2757.221538,"-0.931091809","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.931091809","#DIV/0!","#DIV/0!","2.4845E-11","#DIV/0!","-","0",0,"#DIV/0!","1",0,1.303856056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-06-15,"B1R1","_SE","_5.3","_1",1,"05:32:25","0.000746189","-0.225469787","397.0184921","0.040066619",0.668651399,"19.81935789","21.13165789","1.880092445","17.50255501","RECT-9909-20210615-05_32_26",1093.450385,3300,2206.549615,"-0.225469787","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.225469787","#DIV/0!","#DIV/0!","1.58038E-11","#DIV/0!","-","0",0,"#DIV/0!","1",0,1.495547608,166,2021,"B1R1_SE",1,NA,"no","no",6,NA,-0.45
"6",2021-06-15,"B1R1","_SE","_5.3","_2",1,"05:34:39","0.005957836","-0.431808645","391.1111546","0.504840079",0.765358597,"18.01431667","20.77559333","1.293341163","31.67713308","RECT-9911-20210615-05_34_40",717.5076,3057.89,2340.3824,"-0.431808645","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.431808645","#DIV/0!","#DIV/0!","-4.52065E-12","#DIV/0!","-","0",0,"#DIV/0!","1",0,1.306577079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-06-15,"B1R3","_NE","_5.14","_1",1,"06:21:18","0.001426338","-0.213961293","392.8903642","0.084885844",0.794458465,"16.78600645","17.47494516","1.7138009","10.20749131","RECT-30-20210615-06_21_11",492.2432,2394.86,NA,NA,"-",0,0,"#DIV/0!",0.5,"0.020994792",NA,"#DIV/0!","#DIV/0!","7.93213E-15","#DIV/0!","-","#DIV/0!",NA,"#DIV/0!","#DIV/0!",0,1.258719044,166,2021,"B1R3_NE",1,NA,"no","no",53,NA,-0.95
"8",2021-06-15,"B1R3","_NE","_5.14","_2",1,"06:23:51","0.000703466","-0.132629578","393.9496677","0.040209582",0.804350189,"17.15552903","17.7635","1.769373593","9.528077919","RECT-31-20210615-06_23_45",472.1303846,2413.14,NA,NA,"-",0,0,"#DIV/0!",0.5,"0.020994792",NA,"#DIV/0!","#DIV/0!","-6.75024E-12","#DIV/0!","-","#DIV/0!",NA,"#DIV/0!","#DIV/0!",0,1.243239591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2021-06-15,"B1R3","_SE","_5.10","_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,2021,"B1R3_SE",1,NA,"no","no",55,NA,-0.55
"10",2021-06-15,"B1R3","_SE","_5.6","_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,2021,"B1R3_SE",1,NA,"no","no",46,NA,-0.73
"11",2021-06-15,"B1R3","_SW","_5.10","_1",1,"06:20:20","0.001197653","-0.059987399","390.7728779","0.076711423",0.776187531,"16.15579","17.95417333","1.589645259","12.26396639","RECT-9928-20210615-06_20_21",746.1661538,3333.89,2587.723846,"-0.059987399","-",0,0,"#DIV/0!",0.5,"0.0209979","-0.059987399","#DIV/0!","#DIV/0!","1.12534E-11","#DIV/0!","-","0",0,"#DIV/0!","1",0,1.288348448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
