"","interval","treatment","round","avg_A","sev"
"1",2019-08-01 06:00:00,1,1,-0.457029110166667,0.33383598550712
"2",2019-08-01 06:00:00,2,1,-0.595008323666667,0.114435386780412
"3",2019-08-01 06:00:00,3,1,-0.858996609777778,0.458719512000092
"4",2019-08-01 08:30:00,1,2,12.4085142477778,0.358119818309801
"5",2019-08-01 08:30:00,2,2,11.6191601052593,0.551088017691747
"6",2019-08-01 08:30:00,3,2,11.6542658777407,0.545437826572796
"7",2019-08-01 10:40:00,1,3,14.5405209238889,0.61124931561714
"8",2019-08-01 10:40:00,2,3,16.5766228196667,0.56624812638262
"9",2019-08-01 10:40:00,3,3,17.0153176025926,0.457857908253768
"10",2019-08-01 13:30:00,1,4,13.5023401661667,0.455994841429262
"11",2019-08-01 13:30:00,2,4,18.9156127688889,0.420082402140699
"12",2019-08-01 13:30:00,3,4,16.5489284164444,0.519613323104281
"13",2019-08-01 17:00:00,1,5,13.637316965,0.395612890344803
"14",2019-08-01 17:00:00,2,5,16.5429358196296,0.552994970072127
"15",2019-08-01 17:00:00,3,5,14.7346731263333,0.544967640266616
