"","date","time","day","BH_Vine","BH_Block","pixel_number","Tleaf","leaf_temp_C","round","treatment"
"1","2019-07-25","8:28:13",206,1,"B1_R3",55,30.19665806,24.1,"2",1
"2","2019-07-25","10:48:16",206,1,"B1_R3",55,38.41374839,30,"3",1
"3","2019-07-25","13:28:14",206,1,"B1_R3",55,44.32584194,37,"4",1
"4","2019-07-25","16:47:27",206,1,"B1_R3",55,45.58912857,36.3,"5",1
"5","2019-07-25","8:34:12",206,4,"B1_R3",55,31.01459677,25.1,"2",1
"6","2019-07-25","10:41:46",206,4,"B1_R3",55,38.90450645,34.5,"3",1
"7","2019-07-25","13:24:49",206,4,"B1_R3",55,44.94462581,41,"4",1
"8","2019-07-25","16:43:43",206,4,"B1_R3",55,44.82161429,35.6,"5",1
"9","2019-07-25","8:38:32",206,5,"B1_R3",55,31.46872258,26.7,"2",1
"10","2019-07-25","10:34:43",206,5,"B1_R3",55,37.61325806,34.1,"3",1
"11","2019-07-25","13:20:08",206,5,"B1_R3",55,44.04851613,40,"4",1
"12","2019-07-25","16:40:04",206,5,"B1_R3",55,44.01701905,37.5,"5",1
"13","2019-07-25","08:46:27",206,2,"B1_R4",67,32.50283226,26.6,"2",1
"14","2019-07-25","10:21:21",206,2,"B1_R4",67,37.11215484,30.4,"3",1
"15","2019-07-25","13:12:45",206,2,"B1_R4",67,45.48400645,38.2,"4",1
"16","2019-07-25","16:41:22",206,2,"B1_R4",67,47.19995938,39.3,"5",1
"17","2019-07-25","08:52:34",206,3,"B1_R4",67,32.57186774,27.5,"2",1
"18","2019-07-25","10:26:15",206,3,"B1_R4",67,36.83619032,31.2,"3",1
"19","2019-07-25","13:07:19",206,3,"B1_R4",67,45.40156452,37.6,"4",1
"20","2019-07-25","16:49:44",206,3,"B1_R4",67,46.69209688,33.5,"5",1
"21","2019-07-25","08:59:40",206,5,"B1_R4",67,33.04023871,26.2,"2",1
"22","2019-07-25","10:34:43",206,5,"B1_R4",67,38.01179355,29.6,"3",1
"23","2019-07-25","13:01:05",206,5,"B1_R4",67,44.95684839,38.2,"4",1
"24","2019-07-25","16:59:14",206,5,"B1_R4",67,46.31019375,39,"5",1
"25","2019-07-25","08:57:03",206,1,"B2_R1",23,32.20020323,28.4,"2",2
"26","2019-07-25","10:15:14",206,1,"B2_R1",23,39.09802258,30.2,"3",2
"27","2019-07-25","13:17:05",206,1,"B2_R1",23,42.47636129,41.4,"4",2
"28","2019-07-25","16:11:50",206,1,"B2_R1",23,44.61140968,38,"5",2
"29","2019-07-25","08:51:50",206,3,"B2_R1",23,32.44718387,26.8,"2",2
"30","2019-07-25","10:21:51",206,3,"B2_R1",23,38.15782903,29.8,"3",2
"31","2019-07-25","13:11:11",206,3,"B2_R1",23,41.80526452,35.6,"4",2
"32","2019-07-25","16:09:31",206,3,"B2_R1",23,42.25949355,35,"5",2
"33","2019-07-25","08:46:37",206,5,"B2_R1",23,31.78311613,25.5,"2",2
"34","2019-07-25","10:27:35",206,5,"B2_R1",23,37.72543871,30,"3",2
"35","2019-07-25","13:05:36",206,5,"B2_R1",23,40.95744839,33.4,"4",2
"36","2019-07-25","16:05:43",206,5,"B2_R1",23,41.9046129,32.4,"5",2
"37","2019-07-25","8:56:37",206,2,"B2_R2",35,32.57675806,27,"2",2
"38","2019-07-25","11:09:13",206,2,"B2_R2",35,39.57841613,32.8,"3",2
"39","2019-07-25","12:17:43",206,2,"B2_R2",35,39.65698387,32.5,"4",2
"40","2019-07-25","17:12:27",206,2,"B2_R2",35,43.51803333,37.5,"5",2
"41","2019-07-25","8:51:31",206,3,"B2_R2",35,30.00824194,26.6,"2",2
"42","2019-07-25","11:02:58",206,3,"B2_R2",35,38.80735806,30.5,"3",2
"43","2019-07-25","12:27:05",206,3,"B2_R2",35,41.66129032,33.5,"4",2
"44","2019-07-25","17:09:01",206,3,"B2_R2",35,43.56543333,33.7,"5",2
"45","2019-07-25","8:46:00",206,5,"B2_R2",35,30.18622903,25.4,"2",2
"46","2019-07-25","10:56:34",206,5,"B2_R2",35,37.61793548,30.6,"3",2
"47","2019-07-25","12:35:20",206,5,"B2_R2",35,41.60347419,35.8,"4",2
"48","2019-07-25","17:05:56",206,5,"B2_R2",35,42.9102,32.1,"5",2
"49","2019-07-25","08:25:09",206,2,"B2_R3",48,31.73148387,24.9,"2",2
"50","2019-07-25","10:57:38",206,2,"B2_R3",48,38.80572581,33.4,"3",2
"51","2019-07-25","12:52:36",206,2,"B2_R3",48,44.49312258,35.3,"4",2
"52","2019-07-25","16:14:12",206,2,"B2_R3",48,45.64555625,35.7,"5",2
"53","2019-07-25","08:32:46",206,4,"B2_R3",48,31.67611935,25,"2",2
"54","2019-07-25","10:51:45",206,4,"B2_R3",48,39.1369,30,"3",2
"55","2019-07-25","12:46:04",206,4,"B2_R3",48,44.21747097,35.5,"4",2
"56","2019-07-25","16:17:22",206,4,"B2_R3",48,46.22613438,34.5,"5",2
"57","2019-07-25","08:38:42",206,5,"B2_R3",48,32.15086452,27.7,"2",2
"58","2019-07-25","10:43:24",206,5,"B2_R3",48,38.7168129,34.2,"3",2
"59","2019-07-25","12:40:19",206,5,"B2_R3",48,44.19992581,37.7,"4",2
"60","2019-07-25","16:20:27",206,5,"B2_R3",48,46.671875,34.7,"5",2
"61","2019-07-25","07:59:42",206,1,"B3_R1",27,28.02504839,27.5,"2",3
"62","2019-07-25","11:10:16",206,1,"B3_R1",27,38.11450645,31.9,"3",3
"63","2019-07-25","12:30:13",206,1,"B3_R1",27,43.04725484,36.4,"4",3
"64","2019-07-25","17:14:26",206,1,"B3_R1",27,44.2670625,32.9,"5",3
"65","2019-07-25","08:08:09",206,3,"B3_R1",27,30.13062258,25.9,"2",3
"66","2019-07-25","11:17:07",206,3,"B3_R1",27,39.34634194,30.4,"3",3
"67","2019-07-25","12:23:22",206,3,"B3_R1",27,41.63013871,33.1,"4",3
"68","2019-07-25","17:18:42",206,3,"B3_R1",27,44.05540313,32.1,"5",3
"69","2019-07-25","08:14:33",206,6,"B3_R1",27,30.62782581,26.7,"2",3
"70","2019-07-25","11:24:01",206,6,"B3_R1",27,40.22460645,32.6,"3",3
"71","2019-07-25","12:16:32",206,6,"B3_R1",27,40.73697742,34.6,"4",3
"72","2019-07-25","17:22:29",206,6,"B3_R1",27,43.62106563,32.5,"5",3
"73","2019-07-25","8:21:11",206,2,"B3_R2",45,29.86918387,23.4,"2",3
"74","2019-07-25","10:27:36",206,2,"B3_R2",45,36.64920968,31.3,"3",3
"75","2019-07-25","12:43:10",206,2,"B3_R2",45,43.12393226,34,"4",3
"76","2019-07-25","16:20:25",206,2,"B3_R2",45,46.04580476,36.2,"5",3
"77","2019-07-25","8:14:36",206,3,"B3_R2",45,29.29177419,26.2,"2",3
"78","2019-07-25","10:20:50",206,3,"B3_R2",45,36.00816452,28.4,"3",3
"79","2019-07-25","12:50:32",206,3,"B3_R2",45,43.32566774,32.8,"4",3
"80","2019-07-25","16:15:54",206,3,"B3_R2",45,43.96910476,33.2,"5",3
"81","2019-07-25","8:07:39",206,5,"B3_R2",45,28.39798065,27.8,"2",3
