"","X","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","Stem_wp_bar","Leak","wrong_vine","treatment","Rep","leaf_temp_C"
"1",1,"2019-07-01",2019,182,"7:08:14",35,"B1_R1",1,1,"1",0.008770115,4.390281078,375.4884936,1.571590021,0.776368784,16.80074839,18.65527419,0.764145788,53.56326326,-5.2,NA,"No","No",2,2,NA
"2",1,"2019-07-25",2019,206,NA,34,"B1_R2",1,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"3",2,"2019-07-01",2019,182,NA,35,"B1_R1",1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"4",2,"2019-07-25",2019,206,NA,34,"B1_R2",1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"5",3,"2019-07-01",2019,182,NA,35,"B1_R1",1,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"6",3,"2019-07-25",2019,206,NA,34,"B1_R2",1,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"7",4,"2019-07-01",2019,182,NA,35,"B1_R1",1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"8",4,"2019-07-25",2019,206,NA,34,"B1_R2",1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"9",5,"2019-07-01",2019,182,NA,35,"B1_R1",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"10",5,"2019-07-25",2019,206,NA,34,"B1_R2",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"11",6,"2019-07-01",2019,182,"7:11:04",35,"B1_R1",2,1,"1",0.000783007,-0.302088193,399.5692232,0.072674873,0.764236832,18.22478065,19.06177742,1.092182482,45.55981003,-6.1,NA,"No","No",2,2,NA
"12",6,"2019-07-25",2019,206,"5:17:02",34,"B1_R2",2,1,"1",0.000199771,-0.262614593,417.1829779,0.016461742,0.832194713,21.8271129,23.24041935,1.205259693,49.64662833,-2.9,NA,"No","No",1,2,NA
"13",7,"2019-07-01",2019,182,"10:31:43",35,"B1_R1",2,1,"2",0.002974969,11.5645607,216.1306376,0.121010509,0.774975295,33.25763548,33.30953871,2.454628696,51.95994197,-9.4,NA,"No","No",2,2,NA
"14",7,"2019-07-25",2019,206,"08:38:33",34,"B1_R2",2,1,"2",0.004002394,13.11042598,277.8092027,0.207177932,0.780944786,30.77128065,32.35966452,1.978561663,50.77441829,-6.2,NA,"No","No",1,2,"28.8"
"15",8,"2019-07-01",2019,182,"14:11:24",35,"B1_R1",2,1,"3",0.007681423,16.5734528,247.8090811,0.247904213,0.774975295,37.86582903,38.78810323,3.144571386,49.87031612,NA,NA,"No","No",2,2,NA
"16",8,"2019-07-25",2019,206,"10:36:14",34,"B1_R2",2,1,"3",0.007025581,19.0314419,237.3472563,0.21968797,0.828194567,38.35060323,39.09402903,3.226980031,50.37802878,-13.6,NA,"No","No",1,2,"28.8"
"17",9,"2019-07-01",2019,182,"16:51:20",35,"B1_R1",2,1,"4",0.003221454,7.769997806,250.1302625,0.103348806,0.774975295,36.95686552,36.9451069,3.063366099,51.33116736,NA,NA,"No","No",2,2,NA
"18",9,"2019-07-25",2019,206,"12:59:28",34,"B1_R2",2,1,"4",0.004851051,13.97867104,179.8966891,0.116251505,0.8031225,42.61117742,42.53367419,4.053597466,52.59408885,-16.4,-10.1,"No","No",1,2,"35.2"
"19",10,"2019-07-01",2019,182,NA,35,"B1_R1",2,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"20",10,"2019-07-25",2019,206,"16:27:54",34,"B1_R2",2,1,"5",0.006215869,9.967190642,179.4745887,0.087926459,0.780944786,43.09847742,44.27208387,6.89547551,19.78985173,-16.5,NA,"No","No",1,2,"37.9"
