"","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","leaf_temp_C","Stem_wp_bar","Leak","wrong_vine","treatment","Rep"
"1",2019-07-25,2019,206,NA,34,"B1_R2",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"2",2019-07-25,2019,206,NA,34,"B1_R2",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"3",2019-07-25,2019,206,NA,34,"B1_R2",1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"4",2019-07-25,2019,206,NA,34,"B1_R2",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"5",2019-07-25,2019,206,NA,34,"B1_R2",1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"6",2019-07-25,2019,206,"5:17:02",34,"B1_R2",2,1,1,0.000199771,-0.262614593,417.1829779,0.016461742,0.832194713,21.8271129,23.24041935,1.205259693,49.64662833,-2.9,NA,NA,"No","No",1,2
"7",2019-07-25,2019,206,"08:38:33",34,"B1_R2",2,1,2,0.004002394,13.11042598,277.8092027,0.207177932,0.780944786,30.77128065,32.35966452,1.978561663,50.77441829,-6.2,"28.8",NA,"No","No",1,2
"8",2019-07-25,2019,206,"10:36:14",34,"B1_R2",2,1,3,0.007025581,19.0314419,237.3472563,0.21968797,0.828194567,38.35060323,39.09402903,3.226980031,50.37802878,-13.6,"28.8",NA,"No","No",1,2
"9",2019-07-25,2019,206,"12:59:28",34,"B1_R2",2,1,4,0.004851051,13.97867104,179.8966891,0.116251505,0.8031225,42.61117742,42.53367419,4.053597466,52.59408885,-16.4,"35.2",-10.1,"No","No",1,2
"10",2019-07-25,2019,206,"16:27:54",34,"B1_R2",2,1,5,0.006215869,9.967190642,179.4745887,0.087926459,0.780944786,43.09847742,44.27208387,6.89547551,19.78985173,-16.5,"37.9",NA,"No","No",1,2
"11",2019-07-25,2019,206,"5:20:06",34,"B1_R2",3,1,1,0.000249141,-0.13846087,401.9758775,0.019984336,0.814767182,21.85899032,22.97553548,1.239370695,49.4185044,-4.2,NA,NA,"No","No",1,2
"12",2019-07-25,2019,206,"08:32:43",34,"B1_R2",3,1,2,0.002445839,18.37813637,97.02986899,0.115085704,0.780944786,30.94025484,31.81957097,2.130759731,50.04244147,-5.1,"27.6",NA,"No","No",1,2
"13",2019-07-25,2019,206,"10:42:02",34,"B1_R2",3,1,3,0.007738278,18.38134343,249.874291,0.234327862,0.828194567,38.87350968,39.46611613,3.338909319,50.52262574,-13.5,"30.8",NA,"No","No",1,2
"14",2019-07-25,2019,206,"12:55:58",34,"B1_R2",3,1,4,0.003529045,11.89342912,151.9367411,0.083598636,0.8031225,41.6468129,42.02121613,4.08776944,48.51211655,-14.5,"36.6",-9.9,"No","No",1,2
"15",2019-07-25,2019,206,"16:25:32",34,"B1_R2",3,1,5,0.005621361,8.559498761,191.7809483,0.08063049,0.780944786,42.67794516,44.13120645,6.798348904,18.92587596,-16,"37.2",NA,"No","No",1,2
"16",2019-07-25,2019,206,NA,34,"B1_R2",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"17",2019-07-25,2019,206,NA,34,"B1_R2",4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"18",2019-07-25,2019,206,NA,34,"B1_R2",4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"19",2019-07-25,2019,206,NA,34,"B1_R2",4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"20",2019-07-25,2019,206,NA,34,"B1_R2",4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"21",2019-07-25,2019,206,NA,34,"B1_R2",5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"22",2019-07-25,2019,206,NA,34,"B1_R2",5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"23",2019-07-25,2019,206,NA,34,"B1_R2",5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"24",2019-07-25,2019,206,NA,34,"B1_R2",5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"25",2019-07-25,2019,206,NA,34,"B1_R2",5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"26",2019-07-25,2019,206,"5:23:42",34,"B1_R2",6,1,1,0.00025281,-0.374043637,421.0426376,0.020037676,0.768451822,21.99337097,23.01824839,1.254104818,49.53630464,-2.4,NA,NA,"Yes","No",1,2
