"","Date","hours","treatment","gal_acre_day_irrigation","DOY","tair_max"
"1",2020-05-19,0,"1",0,140,21.43
"2",2020-05-19,0,"2",0,140,21.43
"3",2020-05-19,0,"3",0,140,21.43
"4",2020-05-20,4.98,"1",2856.47073,141,24.06
"5",2020-05-20,4.42,"2",2535.26117,141,24.06
"6",2020-05-20,4.69,"3",2690.130065,141,24.06
"7",2020-05-21,0,"1",0,142,27.61
"8",2020-05-21,0,"2",0,142,27.61
"9",2020-05-21,0,"3",0,142,27.61
"10",2020-05-22,4.98,"1",2856.47073,143,25.21
"11",2020-05-22,4.42,"2",2535.26117,143,25.21
"12",2020-05-22,4.69,"3",2690.130065,143,25.21
"13",2020-05-23,0,"1",0,144,28.52
"14",2020-05-23,0,"2",0,144,28.52
"15",2020-05-23,0,"3",0,144,28.52
"16",2020-05-24,0,"1",0,145,31.74
"17",2020-05-24,0,"2",0,145,31.74
"18",2020-05-24,0,"3",0,145,31.74
"19",2020-05-25,9,"3",5162.2965,146,35.3
"20",2020-05-25,6,"2",3441.531,146,35.3
"21",2020-05-25,3.5,"1",2007.55975,146,35.3
"22",2020-05-26,6,"2",3441.531,147,37.52
"23",2020-05-26,3,"1",1720.7655,147,37.52
"24",2020-05-26,9,"3",5162.2965,147,37.52
"25",2020-05-27,9,"3",5162.2965,148,37.71
"26",2020-05-27,6,"2",3441.531,148,37.71
"27",2020-05-27,3,"1",1720.7655,148,37.71
"28",2020-05-28,4,"2",2294.354,149,36.76
"29",2020-05-28,2,"1",1147.177,149,36.76
"30",2020-05-28,6,"3",3441.531,149,36.76
"31",2020-05-29,0,"1",0,150,28.66
"32",2020-05-29,0,"2",0,150,28.66
"33",2020-05-29,0,"3",0,150,28.66
"34",2020-05-30,0,"2",0,151,25.54
"35",2020-05-30,0,"1",0,151,25.54
"36",2020-05-30,0,"3",0,151,25.54
"37",2020-05-31,0,"2",0,152,25.02
"38",2020-05-31,0,"3",0,152,25.02
"39",2020-05-31,0,"1",0,152,25.02
"40",2020-06-01,0,"1",0,153,29.32
"41",2020-06-01,0,"3",0,153,29.32
"42",2020-06-01,0,"2",0,153,29.32
"43",2020-06-02,0,"1",0,154,34.88
"44",2020-06-02,0,"2",0,154,34.88
"45",2020-06-02,0,"3",0,154,34.88
"46",2020-06-03,4.67,"1",2678.658295,155,37.53
"47",2020-06-03,5.67,"2",3252.246795,155,37.53
"48",2020-06-03,5.33,"3",3057.226705,155,37.53
"49",2020-06-04,0,"1",0,156,37.62
"50",2020-06-04,0,"3",0,156,37.62
"51",2020-06-04,0,"2",0,156,37.62
"52",2020-06-05,4,"2",2294.354,157,26.98
"53",2020-06-05,3.25,"1",1864.162625,157,26.98
"54",2020-06-05,3.75,"3",2150.956875,157,26.98
"55",2020-06-06,0,"1",0,158,23.34
"56",2020-06-06,0,"2",0,158,23.34
"57",2020-06-06,0,"3",0,158,23.34
"58",2020-06-07,0,"1",0,159,22.65
"59",2020-06-07,0,"2",0,159,22.65
"60",2020-06-07,0,"3",0,159,22.65
"61",2020-06-08,3.98,"2",2282.88223,160,26.84
"62",2020-06-08,3.81,"1",2185.372185,160,26.84
"63",2020-06-08,3.81,"3",2185.372185,160,26.84
"64",2020-06-09,3.81,"3",2185.372185,161,31.93
"65",2020-06-09,3.81,"1",2185.372185,161,31.93
"66",2020-06-09,3.98,"2",2282.88223,161,31.93
"67",2020-06-10,3.81,"1",2185.372185,162,34.37
"68",2020-06-10,3.98,"2",2282.88223,162,34.37
"69",2020-06-10,3.81,"3",2185.372185,162,34.37
"70",2020-06-11,3.81,"1",2185.372185,163,34.16
"71",2020-06-11,3.98,"2",2282.88223,163,34.16
"72",2020-06-11,3.81,"3",2185.372185,163,34.16
"73",2020-06-12,3.81,"1",2185.372185,164,22.83
"74",2020-06-12,3.98,"2",2282.88223,164,22.83
"75",2020-06-12,3.81,"3",2185.372185,164,22.83
"76",2020-06-13,3.98,"2",2282.88223,165,23.51
"77",2020-06-13,3.81,"3",2185.372185,165,23.51
"78",2020-06-13,3.81,"1",2185.372185,165,23.51
"79",2020-06-14,0,"1",0,166,28.58
"80",2020-06-14,0,"3",0,166,28.58
"81",2020-06-14,0,"2",0,166,28.58
"82",2020-06-15,5.92,"1",3395.64392,167,27.68
"83",2020-06-15,6.48,"2",3716.85348,167,27.68
"84",2020-06-15,6,"3",3441.531,167,27.68
"85",2020-06-16,0,"1",0,168,26.85
"86",2020-06-16,0,"2",0,168,26.85
"87",2020-06-16,0,"3",0,168,26.85
"88",2020-06-17,5.92,"1",3395.64392,169,30.5
"89",2020-06-17,6,"3",3441.531,169,30.5
"90",2020-06-17,6.48,"2",3716.85348,169,30.5
"91",2020-06-18,6,"2",3441.531,170,34.27
"92",2020-06-18,6,"1",3441.531,170,34.27
"93",2020-06-18,6,"3",3441.531,170,34.27
"94",2020-06-19,5.92,"1",3395.64392,171,34.58
"95",2020-06-19,6.48,"2",3716.85348,171,34.58
"96",2020-06-19,6,"3",3441.531,171,34.58
"97",2020-06-20,0,"1",0,172,32.16
"98",2020-06-20,0,"2",0,172,32.16
"99",2020-06-20,0,"3",0,172,32.16
"100",2020-06-21,0,"2",0,173,34.63
"101",2020-06-21,0,"1",0,173,34.63
"102",2020-06-21,0,"3",0,173,34.63
"103",2020-06-22,4.1,"3",2351.71285,174,36.55
"104",2020-06-22,3.98,"1",2282.88223,174,36.55
"105",2020-06-22,4.1,"2",2351.71285,174,36.55
"106",2020-06-23,0,"1",0,175,35.46
"107",2020-06-23,0,"3",0,175,35.46
"108",2020-06-23,0,"2",0,175,35.46
"109",2020-06-24,4.1,"3",2351.71285,176,35.15
"110",2020-06-24,3.98,"1",2282.88223,176,35.15
"111",2020-06-24,4.1,"2",2351.71285,176,35.15
"112",2020-06-25,0,"1",0,177,36.16
"113",2020-06-25,0,"3",0,177,36.16
"114",2020-06-25,0,"2",0,177,36.16
"115",2020-06-26,5,"3",2867.9425,178,36.45
"116",2020-06-26,5,"2",2867.9425,178,36.45
"117",2020-06-26,5,"1",2867.9425,178,36.45
"118",2020-06-27,0,"3",0,179,32.93
"119",2020-06-27,0,"2",0,179,32.93
"120",2020-06-27,0,"1",0,179,32.93
"121",2020-06-28,0,"3",0,180,27.07
"122",2020-06-28,0,"2",0,180,27.07
"123",2020-06-28,0,"1",0,180,27.07
"124",2020-06-29,4.54,"3",2604.09179,181,30.21
"125",2020-06-29,4.56,"2",2615.56356,181,30.21
"126",2020-06-29,4.44,"1",2546.73294,181,30.21
"127",2020-06-30,0,"2",0,182,33.31
"128",2020-06-30,0,"3",0,182,33.31
"129",2020-06-30,0,"1",0,182,33.31
"130",2020-07-01,4.44,"1",2546.73294,183,33.55
"131",2020-07-01,4.56,"2",2615.56356,183,33.55
"132",2020-07-01,4.54,"3",2604.09179,183,33.55
"133",2020-07-02,0,"3",0,184,30.2
"134",2020-07-02,0,"1",0,184,30.2
"135",2020-07-02,0,"2",0,184,30.2
"136",2020-07-03,4.54,"3",2604.09179,185,31.03
"137",2020-07-03,4.56,"2",2615.56356,185,31.03
"138",2020-07-03,4.44,"1",2546.73294,185,31.03
"139",2020-07-04,0,"3",0,186,34.96
"140",2020-07-04,0,"2",0,186,34.96
"141",2020-07-04,0,"1",0,186,34.96
"142",2020-07-05,0,"3",0,187,35.11
"143",2020-07-05,0,"2",0,187,35.11
"144",2020-07-05,0,"1",0,187,35.11
"145",2020-07-06,2.85,"3",1634.727225,188,31.38
"146",2020-07-06,2.71,"2",1554.424835,188,31.38
"147",2020-07-06,3,"1",1720.7655,188,31.38
"148",2020-07-07,2.71,"2",1554.424835,189,32
"149",2020-07-07,3,"1",1720.7655,189,32
"150",2020-07-07,2.85,"3",1634.727225,189,32
"151",2020-07-08,2.71,"2",1554.424835,190,34.42
"152",2020-07-08,2.85,"3",1634.727225,190,34.42
"153",2020-07-08,3,"1",1720.7655,190,34.42
"154",2020-07-09,2.71,"2",1554.424835,191,35.25
"155",2020-07-09,3,"1",1720.7655,191,35.25
"156",2020-07-09,2.85,"3",1634.727225,191,35.25
"157",2020-07-10,5,"2",2867.9425,192,36
"158",2020-07-10,5,"3",2867.9425,192,36
"159",2020-07-10,5,"1",2867.9425,192,36
"160",2020-07-11,2.5,"1",1433.97125,193,37.96
"161",2020-07-11,7.5,"3",4301.91375,193,37.96
"162",2020-07-11,5,"2",2867.9425,193,37.96
"163",2020-07-12,2.5,"1",1433.97125,194,38.42
"164",2020-07-12,5,"2",2867.9425,194,38.42
"165",2020-07-12,7.5,"3",4301.91375,194,38.42
"166",2020-07-13,4,"1",2294.354,195,33.94
"167",2020-07-13,8,"2",4588.708,195,33.94
"168",2020-07-13,12,"3",6883.062,195,33.94
"169",2020-07-14,3.38,"1",1938.72913,196,32.48
"170",2020-07-14,3.25,"3",1864.162625,196,32.48
"171",2020-07-14,3.08,"2",1766.65258,196,32.48
"172",2020-07-15,3.08,"2",1766.65258,197,33.73
"173",2020-07-15,3.38,"1",1938.72913,197,33.73
"174",2020-07-15,3.25,"3",1864.162625,197,33.73
"175",2020-07-16,10.44,"1",5988.26394,198,31.27
"176",2020-07-16,9.81,"2",5626.903185,198,31.27
"177",2020-07-16,10.38,"3",5953.84863,198,31.27
"178",2020-07-17,10.44,"1",5988.26394,199,32.27
"179",2020-07-17,9.81,"2",5626.903185,199,32.27
"180",2020-07-17,10.38,"3",5953.84863,199,32.27
"181",2020-07-18,16,"2",9177.416,200,35.14
"182",2020-07-18,16,"1",9177.416,200,35.14
"183",2020-07-18,16,"3",9177.416,200,35.14
"184",2020-07-19,0,"3",0,201,32.07
"185",2020-07-19,0,"1",0,201,32.07
"186",2020-07-19,0,"2",0,201,32.07
"187",2020-07-20,4.94,"1",2833.52719,202,30.04
"188",2020-07-20,4.63,"2",2655.714755,202,30.04
"189",2020-07-20,4.88,"3",2799.11188,202,30.04
"190",2020-07-21,4.94,"1",2833.52719,203,30.27
"191",2020-07-21,4.63,"2",2655.714755,203,30.27
"192",2020-07-21,4.88,"3",2799.11188,203,30.27
"193",2020-07-22,4.94,"1",2833.52719,204,30.03
"194",2020-07-22,4.63,"2",2655.714755,204,30.03
"195",2020-07-22,4.88,"3",2799.11188,204,30.03
"196",2020-07-23,4.63,"2",2655.714755,205,31.98
"197",2020-07-23,4.88,"3",2799.11188,205,31.98
"198",2020-07-23,4.94,"1",2833.52719,205,31.98
"199",2020-07-24,4.94,"1",2833.52719,206,31.74
"200",2020-07-24,4.88,"3",2799.11188,206,31.74
"201",2020-07-24,4.63,"2",2655.714755,206,31.74
"202",2020-07-25,4.94,"1",2833.52719,207,34.3
"203",2020-07-25,4.63,"2",2655.714755,207,34.3
"204",2020-07-25,4.88,"3",2799.11188,207,34.3
"205",2020-07-26,4.94,"1",2833.52719,208,35.1
"206",2020-07-26,4.63,"2",2655.714755,208,35.1
"207",2020-07-26,4.88,"3",2799.11188,208,35.1
"208",2020-07-27,5.94,"1",3407.11569,209,35.1
"209",2020-07-27,5.88,"3",3372.70038,209,35.1
"210",2020-07-27,5.63,"2",3229.303255,209,35.1
"211",2020-07-28,5.63,"2",3229.303255,210,35.6
"212",2020-07-28,5.94,"1",3407.11569,210,35.6
"213",2020-07-28,5.88,"3",3372.70038,210,35.6
"214",2020-07-29,11.08,"1",6355.36058,211,35.4
"215",2020-07-29,10.67,"2",6120.189295,211,35.4
"216",2020-07-29,11.08,"3",6355.36058,211,35.4
"217",2020-07-30,11.08,"1",6355.36058,212,34.5
"218",2020-07-30,10.67,"2",6120.189295,212,34.5
"219",2020-07-30,11.08,"3",6355.36058,212,34.5
"220",2020-07-31,10.67,"2",6120.189295,213,34.29
"221",2020-07-31,11.08,"1",6355.36058,213,34.29
"222",2020-07-31,11.08,"3",6355.36058,213,34.29
"223",2020-08-01,11.08,"3",6355.36058,214,33.9
"224",2020-08-01,11.08,"1",6355.36058,214,33.9
"225",2020-08-01,0,"2",0,214,33.9
"226",2020-08-01,10.67,"2",6120.189295,214,33.9
"227",2020-08-02,0,"3",0,215,34.45
"228",2020-08-02,0,"1",0,215,34.45
"229",2020-08-03,8.83,"3",5064.786455,216,35.12
"230",2020-08-03,9.17,"1",5259.806545,216,35.12
"231",2020-08-03,9.17,"2",5259.806545,216,35.12
"232",2020-08-04,9.17,"1",5259.806545,217,32.62
"233",2020-08-04,8.83,"3",5064.786455,217,32.62
"234",2020-08-04,9.17,"2",5259.806545,217,32.62
"235",2020-08-05,8.83,"3",5064.786455,218,27.01
"236",2020-08-05,9.17,"2",5259.806545,218,27.01
"237",2020-08-05,9.17,"1",5259.806545,218,27.01
"238",2020-08-06,8.83,"3",5064.786455,219,29.4
"239",2020-08-06,9.17,"2",5259.806545,219,29.4
"240",2020-08-06,9.17,"1",5259.806545,219,29.4
"241",2020-08-07,8.83,"3",5064.786455,220,31.92
"242",2020-08-07,9.17,"2",5259.806545,220,31.92
"243",2020-08-07,9.17,"1",5259.806545,220,31.92
"244",2020-08-08,8.83,"3",5064.786455,221,34.45
"245",2020-08-08,9.17,"2",5259.806545,221,34.45
"246",2020-08-08,9.17,"1",5259.806545,221,34.45
"247",2020-08-09,0,"2",0,222,36.53
"248",2020-08-09,0,"3",0,222,36.53
"249",2020-08-09,0,"1",0,222,36.53
"250",2020-08-10,8.13,"1",4663.274505,223,35.15
"251",2020-08-10,8.13,"2",4663.274505,223,35.15
"252",2020-08-10,8.38,"3",4806.67163,223,35.15
"253",2020-08-11,8.38,"3",4806.67163,224,30.81
"254",2020-08-11,8.13,"1",4663.274505,224,30.81
"255",2020-08-11,8.13,"2",4663.274505,224,30.81
"256",2020-08-12,8.38,"3",4806.67163,225,35.5
"257",2020-08-12,8.13,"2",4663.274505,225,35.5
"258",2020-08-12,8.13,"1",4663.274505,225,35.5
"259",2020-08-13,14,"3",8030.239,226,37.03
"260",2020-08-13,10,"2",5735.885,226,37.03
"261",2020-08-13,6,"1",3441.531,226,37.03
"262",2020-08-14,14,"3",8030.239,227,39.41
"263",2020-08-14,10,"2",5735.885,227,39.41
"264",2020-08-14,6,"1",3441.531,227,39.41
"265",2020-08-15,14,"3",8030.239,228,39.32
"266",2020-08-15,10,"2",5735.885,228,39.32
"267",2020-08-15,6,"1",3441.531,228,39.32
"268",2020-08-16,0,"2",0,229,41.91
"269",2020-08-16,0,"1",0,229,41.91
"270",2020-08-16,0,"3",0,229,41.91
"271",2020-08-17,10,"2",5735.885,230,39.65
