"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2020-07-10 17:00:00,"1",0.261080134472394,5.50294327637037,0.420727526657507,5.50294327637037,"a","5.5 ± 0.42 a"
"2",2020-07-10 17:00:00,"2",0.261080134472394,6.62825271711111,0.457778221718673,6.62825271711111,"a","6.63 ± 0.46 a"
"3",2020-07-10 17:00:00,"3",0.261080134472394,5.70457270711111,0.63555680281327,5.70457270711111,"a","5.7 ± 0.64 a"
"14",2020-07-10 14:00:00,"1",0.21859732938265,7.27928691637037,0.486384315629372,7.27928691637037,"a","7.28 ± 0.49 a"
"24",2020-07-10 14:00:00,"2",0.21859732938265,8.33045783611111,0.689864598497562,8.33045783611111,"a","8.33 ± 0.69 a"
"34",2020-07-10 14:00:00,"3",0.21859732938265,8.77084746914815,0.650979582221458,8.77084746914815,"a","8.77 ± 0.65 a"
"13",2020-07-10 11:30:00,"1",0.510142020761874,9.688763723,0.507169794585264,9.688763723,"a","9.69 ± 0.51 a"
"23",2020-07-10 11:30:00,"2",0.510142020761874,10.5458669336538,0.471420793117797,10.5458669336538,"a","10.55 ± 0.47 a"
"33",2020-07-10 11:30:00,"3",0.510142020761874,10.5884185788148,0.80914159690521,10.5884185788148,"a","10.59 ± 0.81 a"
"12",2020-07-10 09:00:00,"1",0.261491781305784,9.7132839267037,0.521452538788252,9.7132839267037,"a","9.71 ± 0.52 a"
"22",2020-07-10 09:00:00,"2",0.261491781305784,10.3578438723333,0.570264543093104,10.3578438723333,"a","10.36 ± 0.57 a"
"32",2020-07-10 09:00:00,"3",0.261491781305784,11.0007140924444,0.560175765354595,11.0007140924444,"a","11 ± 0.56 a"
"11",2020-07-10 06:00:00,"1",0.188153911464891,0.203782685222222,0.189454385253669,0.203782685222222,"a","0.2 ± 0.19 a"
"21",2020-07-10 06:00:00,"2",0.188153911464891,-0.0692927877777778,0.081693641228059,-0.0692927877777778,"a","-0.07 ± 0.08 a"
"31",2020-07-10 06:00:00,"3",0.188153911464891,-0.116282049333333,0.0861900082768684,-0.116282049333333,"a","-0.12 ± 0.09 a"
