"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2020-05-27 09:00:00,"1",0.505303122477086,16.699270382963,0.609512365244797,16.699270382963,"a","16.7 ± 0.61 a"
"2",2020-05-27 09:00:00,"2",0.505303122477086,17.5875347385185,0.512596762859477,17.5875347385185,"a","17.59 ± 0.51 a"
"3",2020-05-27 09:00:00,"3",0.505303122477086,16.9026066355556,0.55614987991729,16.9026066355556,"a","16.9 ± 0.56 a"
"14",2020-05-27 17:30:00,"1",0.370735677976696,13.6378070856,0.973137505365452,13.6378070856,"a","13.64 ± 0.97 a"
"24",2020-05-27 17:30:00,"2",0.370735677976696,11.6279217657778,1.07154382884832,11.6279217657778,"a","11.63 ± 1.07 a"
"34",2020-05-27 17:30:00,"3",0.370735677976696,11.97326360825,1.20480311138002,11.97326360825,"a","11.97 ± 1.2 a"
"13",2020-05-27 15:00:00,"1",0.10888124159335,13.3771145934074,0.636064751675765,13.3771145934074,"a","13.38 ± 0.64 a"
"23",2020-05-27 15:00:00,"2",0.10888124159335,14.5716996733704,0.630847210285322,14.5716996733704,"a","14.57 ± 0.63 a"
"33",2020-05-27 15:00:00,"3",0.10888124159335,12.6150752744074,0.69016008814998,12.6150752744074,"a","12.62 ± 0.69 a"
"12",2020-05-27 12:00:00,"1",0.0553126737247231,18.9750350641852,0.548824675715992,18.9750350641852,"a","18.98 ± 0.55 a"
"22",2020-05-27 12:00:00,"2",0.0553126737247231,18.3445925,0.439074585151006,18.3445925,"ab","18.34 ± 0.44 ab"
"32",2020-05-27 12:00:00,"3",0.0553126737247231,17.3423633088889,0.427579651448099,17.3423633088889,"b","17.34 ± 0.43 b"
"11",2020-05-27 06:00:00,"1",0.798592779949433,0.176177545888889,0.303708776430061,0.176177545888889,"a","0.18 ± 0.3 a"
"21",2020-05-27 06:00:00,"2",0.798592779949433,0.340501036444444,0.226390493904932,0.340501036444444,"a","0.34 ± 0.23 a"
"31",2020-05-27 06:00:00,"3",0.798592779949433,0.429395607111111,0.273127364057929,0.429395607111111,"a","0.43 ± 0.27 a"
