"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2019-09-05 17:00:00,"1",0.0112595141108285,11.3201226612222,0.568176718275782,11.3201226612222,"b","11.32 ± 0.57 b"
"2",2019-09-05 17:00:00,"2",0.0112595141108285,12.8878949318148,0.521066493264483,12.8878949318148,"ab","12.89 ± 0.52 ab"
"3",2019-09-05 17:00:00,"3",0.0112595141108285,13.8465269738519,0.543411217290758,13.8465269738519,"a","13.85 ± 0.54 a"
"14",2019-09-05 13:30:00,"1",0.0593140318668831,12.7252895107778,0.599103164024548,12.7252895107778,"b","12.73 ± 0.6 b"
"24",2019-09-05 13:30:00,"2",0.0593140318668831,14.764235762963,0.466334172329063,14.764235762963,"a","14.76 ± 0.47 a"
"34",2019-09-05 13:30:00,"3",0.0593140318668831,14.1610454641111,0.623180855954144,14.1610454641111,"ab","14.16 ± 0.62 ab"
"13",2019-09-05 11:15:00,"1",0.0286274250352674,13.6893374294444,0.560608645079183,13.6893374294444,"b","13.69 ± 0.56 b"
"23",2019-09-05 11:15:00,"2",0.0286274250352674,15.4969956196296,0.475351314316661,15.4969956196296,"a","15.5 ± 0.48 a"
"33",2019-09-05 11:15:00,"3",0.0286274250352674,15.519806317037,0.472966081614691,15.519806317037,"a","15.52 ± 0.47 a"
"12",2019-09-05 09:00:00,"1",0.00514764626709572,11.8232720899444,0.60152652693279,11.8232720899444,"ab","11.82 ± 0.6 ab"
"22",2019-09-05 09:00:00,"2",0.00514764626709572,10.9228113273333,0.523852110928208,10.9228113273333,"b","10.92 ± 0.52 b"
"32",2019-09-05 09:00:00,"3",0.00514764626709572,13.1390299117407,0.381172214360228,13.1390299117407,"a","13.14 ± 0.38 a"
"11",2019-09-05 06:00:00,"1",0.385797773523815,-0.556326878166667,0.0707193489091676,-0.556326878166667,"a","-0.56 ± 0.07 a"
"21",2019-09-05 06:00:00,"2",0.385797773523815,-0.644282576333333,0.062874149431758,-0.644282576333333,"a","-0.64 ± 0.06 a"
"31",2019-09-05 06:00:00,"3",0.385797773523815,-0.690507476333333,0.0590731160083569,-0.690507476333333,"a","-0.69 ± 0.06 a"
