"","date","treatment","p_value","mean","standard_error","letters_ordered.TA","letters_ordered.groups","significance","Mean_sem"
"1",2020-09-12,"1",5.99984799248281e-05,4.02111111111111,0.0814528569249389,4.02111111111111,"b","***","4.02 ± 0.08 b"
"2",2020-09-12,"2",5.99984799248281e-05,4.54222222222222,0.1251307957674,4.54222222222222,"a","***","4.54 ± 0.13 a"
"3",2020-09-12,"3",5.99984799248281e-05,4.85666666666667,0.115674351329738,4.85666666666667,"a","***","4.86 ± 0.12 a"
"111",2020-09-08,"1",0.146810520630601,4.14666666666667,0.0340750805004348,4.14666666666667,"a","ns","4.15 ± 0.03 a"
"211",2020-09-08,"2",0.146810520630601,4.45333333333333,0.218752777760141,4.45333333333333,"a","ns","4.45 ± 0.22 a"
"311",2020-09-08,"3",0.146810520630601,4.01,0.159094660850423,4.01,"a","ns","4.01 ± 0.16 a"
"110",2020-09-04,"1",5.42822490005401e-07,3.89888888888889,0.0596621144549417,3.89888888888889,"c","***","3.9 ± 0.06 c"
"210",2020-09-04,"2",5.42822490005401e-07,4.40555555555556,0.0951331101245792,4.40555555555556,"b","***","4.41 ± 0.1 b"
"310",2020-09-04,"3",5.42822490005401e-07,4.79777777777778,0.0959423695329906,4.79777777777778,"a","***","4.8 ± 0.1 a"
"19",2020-08-27,"1",5.18556186361457e-06,4.56111111111111,0.043411610212414,4.56111111111111,"b","***","4.56 ± 0.04 b"
"29",2020-08-27,"2",5.18556186361457e-06,5.16555555555556,0.0828336873082831,5.16555555555556,"a","***","5.17 ± 0.08 a"
"39",2020-08-27,"3",5.18556186361457e-06,5.25777777777778,0.107842191518927,5.25777777777778,"a","***","5.26 ± 0.11 a"
"18",2020-08-22,"1",0.476912494600324,5.61111111111111,0.0809740089377869,5.61111111111111,"a","ns","5.61 ± 0.08 a"
"28",2020-08-22,"2",0.476912494600324,5.36333333333333,0.168110413452323,5.36333333333333,"a","ns","5.36 ± 0.17 a"
"38",2020-08-22,"3",0.476912494600324,5.59333333333333,0.200534009307371,5.59333333333333,"a","ns","5.59 ± 0.2 a"
"17",2020-08-16,"1",0.99582701411134,6.30666666666667,0.0821583836257749,6.30666666666667,"a","ns","6.31 ± 0.08 a"
"27",2020-08-16,"2",0.99582701411134,6.31111111111111,0.110823238192433,6.31111111111111,"a","ns","6.31 ± 0.11 a"
"37",2020-08-16,"3",0.99582701411134,6.32222222222222,0.164365596712682,6.32222222222222,"a","ns","6.32 ± 0.16 a"
"16",2020-08-13,"1",0.192280033813411,7.72,0.106405931330082,7.72,"a","ns","7.72 ± 0.11 a"
"26",2020-08-13,"2",0.192280033813411,8.06666666666667,0.0654471797202395,8.06666666666667,"a","ns","8.07 ± 0.07 a"
"36",2020-08-13,"3",0.192280033813411,7.98666666666667,0.200797022996967,7.98666666666667,"a","ns","7.99 ± 0.2 a"
"15",2020-08-03,"1",0.193405634595493,13.9622222222222,0.295013077759924,13.9622222222222,"a","ns","13.96 ± 0.3 a"
"25",2020-08-03,"2",0.193405634595493,14.55,0.147196014438797,14.55,"a","ns","14.55 ± 0.15 a"
"35",2020-08-03,"3",0.193405634595493,14.6422222222222,0.350898757865577,14.6422222222222,"a","ns","14.64 ± 0.35 a"
"14",2020-07-21,"1",0.921752789364196,34.1888888888889,0.371088655341896,34.1888888888889,"a","ns","34.19 ± 0.37 a"
"24",2020-07-21,"2",0.921752789364196,34.43,0.688551216524797,34.43,"a","ns","34.43 ± 0.69 a"
"34",2020-07-21,"3",0.921752789364196,34.5155555555556,0.66416846739846,34.5155555555556,"a","ns","34.52 ± 0.66 a"
"13",2020-07-12,"1",5.98702354273679e-07,42.8266666666667,0.322757218698858,42.8266666666667,"a","***","42.83 ± 0.32 a"
"23",2020-07-12,"2",5.98702354273679e-07,40.8044444444444,0.217422470927449,40.8044444444444,"b","***","40.8 ± 0.22 b"
"33",2020-07-12,"3",5.98702354273679e-07,40.6177777777778,0.107855069650818,40.6177777777778,"b","***","40.62 ± 0.11 b"
"12",2020-07-08,"1",0.133568767078637,44.3111111111111,0.293600467588016,44.3111111111111,"a","ns","44.31 ± 0.29 a"
"22",2020-07-08,"2",0.133568767078637,43.5688888888889,0.194089358318136,43.5688888888889,"a","ns","43.57 ± 0.19 a"
"32",2020-07-08,"3",0.133568767078637,44.23,0.320936130717624,44.23,"a","ns","44.23 ± 0.32 a"
"11",2020-06-24,"1",0.0978632046923749,41.3666666666667,0.363199516641871,41.3666666666667,"a","ns","41.37 ± 0.36 a"
"21",2020-06-24,"2",0.0978632046923749,40.2711111111111,0.369163635971173,40.2711111111111,"a","ns","40.27 ± 0.37 a"
"31",2020-06-24,"3",0.0978632046923749,40.39,0.393121411836655,40.39,"a","ns","40.39 ± 0.39 a"
