"","date","treatment","p_value","mean","standard_error","letters_ordered.brix","letters_ordered.groups","significance","Mean_sem"
"1",2019-09-12,"1",0.402125016093502,25.6166666666667,0.0980362744656846,25.6166666666667,"a","ns","25.62 ± 0.1 a"
"2",2019-09-19,"2",0.402125016093502,25.7888888888889,0.173561103909037,25.7888888888889,"a","ns","25.79 ± 0.17 a"
"3",2019-09-19,"3",0.402125016093502,25.5111111111111,0.140874692590066,25.5111111111111,"a","ns","25.51 ± 0.14 a"
"15",2019-09-03,"1",0.000683412674802331,24.7333333333333,0.120185042515467,24.7333333333333,"a","***","24.73 ± 0.12 a"
"25",2019-09-03,"2",0.000683412674802331,23.5555555555556,0.217377750516821,23.5555555555556,"b","***","23.56 ± 0.22 b"
"35",2019-09-03,"3",0.000683412674802331,23.6888888888889,0.157625121767901,23.6888888888889,"b","***","23.69 ± 0.16 b"
"14",2019-08-20,"1",0.000256050843992233,21.5333333333333,0.206020495204833,21.5333333333333,"a","***","21.53 ± 0.21 a"
"24",2019-08-20,"2",0.000256050843992233,20.7888888888889,0.0633430791721741,20.7888888888889,"b","***","20.79 ± 0.06 b"
"34",2019-08-20,"3",0.000256050843992233,20.6222222222222,0.124474202791156,20.6222222222222,"b","***","20.62 ± 0.12 b"
"13",2019-08-15,"1",1.4327000419078e-05,20.7333333333333,0.0333333333333333,20.7333333333333,"a","***","20.73 ± 0.03 a"
"23",2019-08-15,"2",1.4327000419078e-05,19.4444444444444,0.187165339199145,19.4444444444444,"c","***","19.44 ± 0.19 c"
"33",2019-08-15,"3",1.4327000419078e-05,20.0333333333333,0.0927960727138335,20.0333333333333,"b","***","20.03 ± 0.09 b"
"12",2019-08-08,"1",0.0700560374371473,17.2333333333333,0.149814700361628,17.2333333333333,"a","ns","17.23 ± 0.15 a"
"22",2019-08-08,"2",0.0700560374371473,16.7333333333333,0.158989866902824,16.7333333333333,"b","ns","16.73 ± 0.16 b"
"32",2019-08-08,"3",0.0700560374371473,16.8888888888889,0.0963852865160969,16.8888888888889,"ab","ns","16.89 ± 0.1 ab"
"11",2019-08-02,"1",0.617384744756097,14.0666666666667,0.190904280843685,14.0666666666667,"a","ns","14.07 ± 0.19 a"
"21",2019-08-02,"2",0.617384744756097,13.6888888888889,0.210452188054176,13.6888888888889,"a","ns","13.69 ± 0.21 a"
"31",2019-08-02,"3",0.617384744756097,13.8111111111111,0.306161016298997,13.8111111111111,"a","ns","13.81 ± 0.31 a"
