"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-08-26 17:00:00,"1",0.0262415021106166,0.167750414666667,0.00974371476875437,0.167750414666667,"b","0.17 ± 0.01 b"
"2",2020-08-26 17:00:00,"2",0.0262415021106166,0.172838288444444,0.0109262183774151,0.172838288444444,"ab","0.17 ± 0.01 ab"
"3",2020-08-26 17:00:00,"3",0.0262415021106166,0.205326430148148,0.0106016073061461,0.205326430148148,"a","0.21 ± 0.01 a"
"14",2020-08-26 14:00:00,"1",0.0119842708858907,0.234504455296296,0.014342692417238,0.234504455296296,"b","0.23 ± 0.01 b"
"24",2020-08-26 14:00:00,"2",0.0119842708858907,0.271393539777778,0.0102347191453321,0.271393539777778,"ab","0.27 ± 0.01 ab"
"34",2020-08-26 14:00:00,"3",0.0119842708858907,0.286006153555556,0.0118594130336307,0.286006153555556,"a","0.29 ± 0.01 a"
"13",2020-08-26 11:15:00,"1",0.0233125906046117,0.318405279666667,0.0116808597230846,0.318405279666667,"ab","0.32 ± 0.01 ab"
"23",2020-08-26 11:15:00,"2",0.0233125906046117,0.313475653148148,0.0142512537936587,0.313475653148148,"b","0.31 ± 0.01 b"
"33",2020-08-26 11:15:00,"3",0.0233125906046117,0.359603281296296,0.012174916838463,0.359603281296296,"a","0.36 ± 0.01 a"
"12",2020-08-26 08:45:00,"1",0.00149761232359842,0.244114104333333,0.0132514490509129,0.244114104333333,"b","0.24 ± 0.01 b"
"22",2020-08-26 08:45:00,"2",0.00149761232359842,0.291419901074074,0.0116925966005769,0.291419901074074,"a","0.29 ± 0.01 a"
"32",2020-08-26 08:45:00,"3",0.00149761232359842,0.301074793333333,0.00903153883323969,0.301074793333333,"a","0.3 ± 0.01 a"
"11",2020-08-26 06:00:00,"1",0.00299619034807764,0.0294677214444444,0.00444676677621569,0.0294677214444444,"b","0.03 ± 0 b"
"21",2020-08-26 06:00:00,"2",0.00299619034807764,0.035022835,0.00524229102194904,0.035022835,"b","0.04 ± 0.01 b"
"31",2020-08-26 06:00:00,"3",0.00299619034807764,0.0610373698888889,0.00817000069097152,0.0610373698888889,"a","0.06 ± 0.01 a"
