"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-07-12 17:00:00,"1",0.000476554382556838,0.052385313037037,0.00370271113728081,0.052385313037037,"b","0.05 ± 0 b"
"2",2020-07-12 17:00:00,"2",0.000476554382556838,0.0723795336666667,0.00580182150189516,0.0723795336666667,"a","0.07 ± 0.01 a"
"3",2020-07-12 17:00:00,"3",0.000476554382556838,0.0791195775185185,0.00461070106087238,0.0791195775185185,"a","0.08 ± 0 a"
"14",2020-07-12 13:30:00,"1",0.00439657457865546,0.0737108167407407,0.00421004911635042,0.0737108167407407,"b","0.07 ± 0 b"
"24",2020-07-12 13:30:00,"2",0.00439657457865546,0.0987558401851852,0.00661639891553008,0.0987558401851852,"a","0.1 ± 0.01 a"
"34",2020-07-12 13:30:00,"3",0.00439657457865546,0.0922895816296296,0.00505892550214393,0.0922895816296296,"a","0.09 ± 0.01 a"
"13",2020-07-12 11:00:00,"1",0.00505628558574293,0.0987837815925926,0.00508132518599408,0.0987837815925926,"b","0.1 ± 0.01 b"
"23",2020-07-12 11:00:00,"2",0.00505628558574293,0.133064840555556,0.0100460103624343,0.133064840555556,"a","0.13 ± 0.01 a"
"33",2020-07-12 11:00:00,"3",0.00505628558574293,0.123222611925926,0.00619078569698791,0.123222611925926,"ab","0.12 ± 0.01 ab"
"12",2020-07-12 09:00:00,"1",0.695190588710666,0.119273076296296,0.00891966153902189,0.119273076296296,"a","0.12 ± 0.01 a"
"22",2020-07-12 09:00:00,"2",0.695190588710666,0.127266614148148,0.0123714195005229,0.127266614148148,"a","0.13 ± 0.01 a"
"32",2020-07-12 09:00:00,"3",0.695190588710666,0.131418929333333,0.0089660374608366,0.131418929333333,"a","0.13 ± 0.01 a"
"11",2020-07-12 05:30:00,"1",0.41532004901014,0.00727756566666667,0.00457547803747389,0.00727756566666667,"a","0.01 ± 0 a"
"21",2020-07-12 05:30:00,"2",0.41532004901014,0.00402854966666667,0.00842637865646995,0.00402854966666667,"a","0 ± 0.01 a"
"31",2020-07-12 05:30:00,"3",0.41532004901014,0.0149945648888889,0.00353029870020702,0.0149945648888889,"a","0.01 ± 0 a"
