"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-05-27 09:00:00,"1",0.553985185712659,0.330001011333333,0.011579580416207,0.330001011333333,"a","0.33 ± 0.01 a"
"2",2020-05-27 09:00:00,"2",0.553985185712659,0.337427670333333,0.0103110166845302,0.337427670333333,"a","0.34 ± 0.01 a"
"3",2020-05-27 09:00:00,"3",0.553985185712659,0.347242573222222,0.0116890382817336,0.347242573222222,"a","0.35 ± 0.01 a"
"14",2020-05-27 17:30:00,"1",0.552470179084777,0.2401502774,0.018578870825171,0.2401502774,"a","0.24 ± 0.02 a"
"24",2020-05-27 17:30:00,"2",0.552470179084777,0.232674927166667,0.0213041416072324,0.232674927166667,"a","0.23 ± 0.02 a"
"34",2020-05-27 17:30:00,"3",0.552470179084777,0.204780532333333,0.028239880500508,0.204780532333333,"a","0.2 ± 0.03 a"
"13",2020-05-27 15:00:00,"1",0.152283010413791,0.25104471737037,0.0146922935313597,0.25104471737037,"a","0.25 ± 0.01 a"
"23",2020-05-27 15:00:00,"2",0.152283010413791,0.296003057148148,0.0185255914513133,0.296003057148148,"a","0.3 ± 0.02 a"
"33",2020-05-27 15:00:00,"3",0.152283010413791,0.263320599740741,0.0167672456381023,0.263320599740741,"a","0.26 ± 0.02 a"
"12",2020-05-27 12:00:00,"1",0.881226513294706,0.360197266,0.0119742202529708,0.360197266,"a","0.36 ± 0.01 a"
"22",2020-05-27 12:00:00,"2",0.881226513294706,0.353769752851852,0.0136783661255703,0.353769752851852,"a","0.35 ± 0.01 a"
"32",2020-05-27 12:00:00,"3",0.881226513294706,0.351109348333333,0.0136614661084448,0.351109348333333,"a","0.35 ± 0.01 a"
"11",2020-05-27 06:00:00,"1",0.668698108048166,0.0437035407777778,0.00582833765956793,0.0437035407777778,"a","0.04 ± 0.01 a"
"21",2020-05-27 06:00:00,"2",0.668698108048166,0.0375673642222222,0.0084385347860096,0.0375673642222222,"a","0.04 ± 0.01 a"
"31",2020-05-27 06:00:00,"3",0.668698108048166,0.0476066367777778,0.00908701500354386,0.0476066367777778,"a","0.05 ± 0.01 a"
