"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-09-05 17:00:00,"1",0.0423284870565693,0.134582138,0.0108495233017511,0.134582138,"b","0.13 ± 0.01 b"
"2",2019-09-05 17:00:00,"2",0.0423284870565693,0.167855012777778,0.0125084438139012,0.167855012777778,"ab","0.17 ± 0.01 ab"
"3",2019-09-05 17:00:00,"3",0.0423284870565693,0.177514160259259,0.0100878946274612,0.177514160259259,"a","0.18 ± 0.01 a"
"14",2019-09-05 13:30:00,"1",0.040705568123966,0.162114352111111,0.0133731169387271,0.162114352111111,"b","0.16 ± 0.01 b"
"24",2019-09-05 13:30:00,"2",0.040705568123966,0.208618042962963,0.0117059391444057,0.208618042962963,"a","0.21 ± 0.01 a"
"34",2019-09-05 13:30:00,"3",0.040705568123966,0.205036957851852,0.0135261234072007,0.205036957851852,"ab","0.21 ± 0.01 ab"
"13",2019-09-05 11:15:00,"1",0.0484178985083515,0.197912705611111,0.0118933299266439,0.197912705611111,"b","0.2 ± 0.01 b"
"23",2019-09-05 11:15:00,"2",0.0484178985083515,0.251775961703704,0.0162720224014201,0.251775961703704,"a","0.25 ± 0.02 a"
"33",2019-09-05 11:15:00,"3",0.0484178985083515,0.241663556555556,0.0139426041570412,0.241663556555556,"ab","0.24 ± 0.01 ab"
"12",2019-09-05 09:00:00,"1",0.0041231816627395,0.179377488333333,0.0125500344292882,0.179377488333333,"ab","0.18 ± 0.01 ab"
"22",2019-09-05 09:00:00,"2",0.0041231816627395,0.157811036481481,0.00963669098456732,0.157811036481481,"b","0.16 ± 0.01 b"
"32",2019-09-05 09:00:00,"3",0.0041231816627395,0.209515108444444,0.0117687490666312,0.209515108444444,"a","0.21 ± 0.01 a"
"11",2019-09-05 06:00:00,"1",0.232251980060601,0.0283133716666667,0.00997328539495427,0.0283133716666667,"a","0.03 ± 0.01 a"
"21",2019-09-05 06:00:00,"2",0.232251980060601,0.0261266828888889,0.00420195918371756,0.0261266828888889,"a","0.03 ± 0 a"
"31",2019-09-05 06:00:00,"3",0.232251980060601,0.0405904031111111,0.00626213553078524,0.0405904031111111,"a","0.04 ± 0.01 a"
