"","date","treatment","p_value","mean","standard_error","letters_ordered.pH","letters_ordered.groups","significance","Mean_sem"
"1",2019-09-12,"1",2.2322739884493e-05,3.67333333333333,0.0162617478902007,3.67333333333333,"a","***","3.67 ± 0.02 a"
"2",2019-09-19,"2",2.2322739884493e-05,3.49777777777778,0.0314809368144604,3.49777777777778,"b","***","3.5 ± 0.03 b"
"3",2019-09-19,"3",2.2322739884493e-05,3.65888888888889,0.0114799879554288,3.65888888888889,"a","***","3.66 ± 0.01 a"
"15",2019-09-03,"1",2.86543943583447e-05,3.56,0.00516397779494326,3.56,"a","***","3.56 ± 0.01 a"
"25",2019-09-03,"2",2.86543943583447e-05,3.39111111111111,0.0300205690802362,3.39111111111111,"b","***","3.39 ± 0.03 b"
"35",2019-09-03,"3",2.86543943583447e-05,3.51111111111111,0.00696109115896757,3.51111111111111,"a","***","3.51 ± 0.01 a"
"14",2019-08-20,"1",0.010743568094937,3.265,0.0152206000757745,3.265,"a","*","3.26 ± 0.02 a"
"24",2019-08-20,"2",0.010743568094937,3.19666666666667,0.0181046341520004,3.19666666666667,"b","*","3.2 ± 0.02 b"
"34",2019-08-20,"3",0.010743568094937,3.26444444444444,0.0156445864892541,3.26444444444444,"a","*","3.26 ± 0.02 a"
"13",2019-08-15,"1",1.76980199137113e-07,3.16666666666667,0.00666666666666668,3.16666666666667,"a","***","3.17 ± 0.01 a"
"23",2019-08-15,"2",1.76980199137113e-07,3.01444444444444,0.0162541542648086,3.01444444444444,"c","***","3.01 ± 0.02 c"
"33",2019-08-15,"3",1.76980199137113e-07,3.11333333333333,0.0095742710775634,3.11333333333333,"b","***","3.11 ± 0.01 b"
"12",2019-08-08,"1",0.676413689705152,2.92,0.0148323969741914,2.92,"a","ns","2.92 ± 0.01 a"
"22",2019-08-08,"2",0.676413689705152,2.93555555555556,0.0197280898939608,2.93555555555556,"a","ns","2.94 ± 0.02 a"
"32",2019-08-08,"3",0.676413689705152,2.91222222222222,0.0210011757460398,2.91222222222222,"a","ns","2.91 ± 0.02 a"
"11",2019-08-02,"1",0.151068757541492,2.78833333333333,0.00872416821886826,2.78833333333333,"a","ns","2.79 ± 0.01 a"
"21",2019-08-02,"2",0.151068757541492,2.77555555555556,0.00914559868508576,2.77555555555556,"a","ns","2.78 ± 0.01 a"
"31",2019-08-02,"3",0.151068757541492,2.81777777777778,0.0217164669841023,2.81777777777778,"a","ns","2.82 ± 0.02 a"
