"","date","treatment","p_value","mean","standard_error","letters_ordered.stem_wp_MPa","letters_ordered.groups","Mean_sem"
"1",2020-07-31,"1",0.181095674145426,-0.941111111111111,0.0355295043451544,-0.941111111111111,"a","-0.94 ± 0.04 a"
"2",2020-07-31,"2",0.181095674145426,-0.988888888888889,0.0296012595661272,-0.988888888888889,"a","-0.99 ± 0.03 a"
"3",2020-07-31,"3",0.181095674145426,-0.9,0.0330823887354654,-0.9,"a","-0.9 ± 0.03 a"
"115",2020-09-15,"1",0.781175040553026,-1.38777777777778,0.0800482107818952,-1.38777777777778,"a","-1.39 ± 0.08 a"
"215",2020-09-15,"2",0.781175040553026,-1.32125,0.0997038024063562,-1.32125,"a","-1.32 ± 0.1 a"
"315",2020-09-15,"3",0.781175040553026,-1.31875,0.0514933248101149,-1.31875,"a","-1.32 ± 0.05 a"
"114",2020-09-07,"1",0.000133137694014593,-1.49444444444444,0.0358666942034866,-1.49444444444444,"b","-1.49 ± 0.04 b"
"214",2020-09-07,"2",0.000133137694014593,-1.13666666666667,0.0684348838921594,-1.13666666666667,"a","-1.14 ± 0.07 a"
"314",2020-09-07,"3",0.000133137694014593,-1.13444444444444,0.061285105837641,-1.13444444444444,"a","-1.13 ± 0.06 a"
"113",2020-08-26,"1",0.196544466264919,-0.81,0.0338296385503074,-0.81,"a","-0.81 ± 0.03 a"
"213",2020-08-26,"2",0.196544466264919,-0.741111111111111,0.0198916819888535,-0.741111111111111,"a","-0.74 ± 0.02 a"
"313",2020-08-26,"3",0.196544466264919,-0.751111111111111,0.0290805607295609,-0.751111111111111,"a","-0.75 ± 0.03 a"
"112",2020-08-19,"1",0.00270601287031275,-0.972222222222222,0.0350704757824147,-0.972222222222222,"b","-0.97 ± 0.04 b"
"212",2020-08-19,"2",0.00270601287031275,-0.88,0.0287228132326901,-0.88,"ab","-0.88 ± 0.03 ab"
"312",2020-08-19,"3",0.00270601287031275,-0.768888888888889,0.0448901264955906,-0.768888888888889,"a","-0.77 ± 0.04 a"
"111",2020-08-13,"1",0.359210444872062,-0.918888888888889,0.0254648147474796,-0.918888888888889,"a","-0.92 ± 0.03 a"
"211",2020-08-13,"2",0.359210444872062,-0.932222222222222,0.0402691561653781,-0.932222222222222,"a","-0.93 ± 0.04 a"
"311",2020-08-13,"3",0.359210444872062,-0.872222222222222,0.0227167203336232,-0.872222222222222,"a","-0.87 ± 0.02 a"
"110",2020-08-10,"1",0.0068731057658467,-0.917777777777778,0.0372595169713494,-0.917777777777778,"a","-0.92 ± 0.04 a"
"210",2020-08-10,"2",0.0068731057658467,-0.945555555555556,0.0218651873935049,-0.945555555555556,"a","-0.95 ± 0.02 a"
"310",2020-08-10,"3",0.0068731057658467,-1.04111111111111,0.012957670877434,-1.04111111111111,"b","-1.04 ± 0.01 b"
"19",2020-07-20,"1",0.950328696814263,-0.812222222222222,0.0395382296636846,-0.812222222222222,"a","-0.81 ± 0.04 a"
"29",2020-07-20,"2",0.950328696814263,-0.8,0.0347211110933328,-0.8,"a","-0.8 ± 0.03 a"
"39",2020-07-20,"3",0.950328696814263,-0.813333333333333,0.0211476292340825,-0.813333333333333,"a","-0.81 ± 0.02 a"
"18",2020-07-12,"1",0.0912067609144667,-1.24777777777778,0.0311259885062921,-1.24777777777778,"a","-1.25 ± 0.03 a"
"28",2020-07-12,"2",0.0912067609144667,-1.19222222222222,0.0321790899057213,-1.19222222222222,"a","-1.19 ± 0.03 a"
"38",2020-07-12,"3",0.0912067609144667,-1.28222222222222,0.0181642030269687,-1.28222222222222,"a","-1.28 ± 0.02 a"
"17",2020-07-10,"1",0.244621381261163,-1.22555555555556,0.0251170101232385,-1.22555555555556,"a","-1.23 ± 0.03 a"
"27",2020-07-10,"2",0.244621381261163,-1.16333333333333,0.0317542648054294,-1.16333333333333,"a","-1.16 ± 0.03 a"
"37",2020-07-10,"3",0.244621381261163,-1.13666666666667,0.0503873881927699,-1.13666666666667,"a","-1.14 ± 0.05 a"
"16",2020-07-02,"1",0.612135531615347,-1.13222222222222,0.0453007780708804,-1.13222222222222,"a","-1.13 ± 0.05 a"
"26",2020-07-02,"2",0.612135531615347,-1.10444444444444,0.0575690674830173,-1.10444444444444,"a","-1.1 ± 0.06 a"
"36",2020-07-02,"3",0.612135531615347,-1.17222222222222,0.0398182599715318,-1.17222222222222,"a","-1.17 ± 0.04 a"
"15",2020-06-25,"1",0.477093667957316,-1.2,0.0506074215022966,-1.2,"a","-1.2 ± 0.05 a"
"25",2020-06-25,"2",0.477093667957316,-1.09777777777778,0.0684506671052992,-1.09777777777778,"a","-1.1 ± 0.07 a"
"35",2020-06-25,"3",0.477093667957316,-1.13555555555556,0.0570358345231582,-1.13555555555556,"a","-1.14 ± 0.06 a"
"14",2020-06-19,"1",0.0456115716018354,-0.955555555555555,0.0309170535066145,-0.955555555555555,"ab","-0.96 ± 0.03 ab"
"24",2020-06-19,"2",0.0456115716018354,-0.876666666666667,0.0259272486435067,-0.876666666666667,"a","-0.88 ± 0.03 a"
"34",2020-06-19,"3",0.0456115716018354,-0.976666666666667,0.0271825107171668,-0.976666666666667,"b","-0.98 ± 0.03 b"
"13",2020-06-11,"1",0.100235512555499,-0.911111111111111,0.0445796554384659,-0.911111111111111,"a","-0.91 ± 0.04 a"
"23",2020-06-11,"2",0.100235512555499,-0.813333333333333,0.0600694043031337,-0.813333333333333,"a","-0.81 ± 0.06 a"
"33",2020-06-11,"3",0.100235512555499,-0.755555555555556,0.0414699057922701,-0.755555555555556,"a","-0.76 ± 0.04 a"
"12",2020-06-05,"1",0.575152413380232,-0.762222222222222,0.0512558337540924,-0.762222222222222,"a","-0.76 ± 0.05 a"
"22",2020-06-05,"2",0.575152413380232,-0.696666666666667,0.0409267638593622,-0.696666666666667,"a","-0.7 ± 0.04 a"
"32",2020-06-05,"3",0.575152413380232,-0.706666666666667,0.0480451176846653,-0.706666666666667,"a","-0.71 ± 0.05 a"
"11",2020-05-27,"1",0.180271101001154,-0.647777777777778,0.0227167203336232,-0.647777777777778,"a","-0.65 ± 0.02 a"
"21",2020-05-27,"2",0.180271101001154,-0.573333333333333,0.0325747004761534,-0.573333333333333,"a","-0.57 ± 0.03 a"
"31",2020-05-27,"3",0.180271101001154,-0.636666666666667,0.0324037034920393,-0.636666666666667,"a","-0.64 ± 0.03 a"
