"","date","hhmmss","BH455_leaf","BH455_BLOCK","BH455_VINE","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","day","year","round"
"2","07-05-2019","12:36:37",2,"B1_R2",4,"0.001017799","4.357205635","135.2265773","0.028286542",0.816962262,"39.12598387","39.11793871","3.472020476","50.94347973",186,2019,"midday"
"3","07-05-2019","12:39:35",3,"B1_R2",4,"0.001379111","4.19113671","208.6981604","0.039217419",0.816962262,"38.98369677","39.42382258","3.403099947","50.32199023",186,2019,"midday"
"4","07-05-2019","12:45:31",1,"B1_R2",6,"0.001219791","5.015315168","142.7737553","0.03345933",0.816962262,"38.8809","38.77915806","3.527320712","49.74984869",186,2019,"midday"
"5","07-05-2019","12:47:38",2,"B1_R2",6,"0.002793647","6.85425836","254.8243282","0.087465231",0.816962262,"37.88101935","38.81957419","3.13644695","49.98086107",186,2019,"midday"
"6","07-05-2019","12:49:12",3,"B1_R2",6,"0.001581993","6.790297228","134.7112266","0.043897276",0.816962262,"38.95025161","39.03909032","3.494629376","49.89362686",186,2019,"midday"
"7","07-05-2019","12:53:03",1,"B1_R1",3,"0.007895157","19.6037834","258.7823597","0.269145518",0.816962262,"37.54946129","38.65798065","3.006758546","50.58721573",186,2019,"midday"
"8","07-05-2019","12:54:21",2,"B1_R1",3,"0.008292078","20.68517113","253.9195567","0.277487063",0.816962262,"37.88645161","38.81525806","3.066047703","51.03240619",186,2019,"midday"
"9","07-05-2019","12:55:40",3,"B1_R1",3,"0.006618244","18.31348711","235.7102336","0.207004865",0.816962262,"38.17175806","38.97665484","3.227128696","49.76423565",186,2019,"midday"
"10","07-05-2019","12:57:49",1,"B1_R1",4,"0.004173155","12.08761012","226.8160833","0.128022682",0.816962262,"38.55003871","39.16547419","3.225788954","51.23830223",186,2019,"midday"
"11","07-05-2019","12:59:29",2,"B1_R1",4,"0.002574422","8.655466612","191.325884","0.073436698",0.816962262,"38.98587097","39.3083","3.422273504","50.37804541",186,2019,"midday"
"12","07-05-2019","13:01:03",3,"B1_R1",4,"0.003006384","9.530966494","205.5291515","0.087431686",0.816962262,"38.73901613","39.05217742","3.370377241","50.49666899",186,2019,"midday"
"13","07-05-2019","13:03:28",1,"B1_R1",5,"0.009164812","19.79267083","278.4716638","0.323326528",0.816962262,"37.60626129","38.89788387","2.939884421","51.18183377",186,2019,"midday"
"14","07-05-2019","13:04:42",2,"B1_R1",5,"0.007807992","18.93241718","263.2233751","0.266359508",0.816962262,"37.71353548","38.94401935","3.001306461","50.72176874",186,2019,"midday"
"15","07-05-2019","13:05:52",3,"B1_R1",5,"0.010128736","18.44113481","295.7706751","0.362435628",0.816962262,"37.57153548","38.9370129","2.923918344","51.12665196",186,2019,"midday"
"16","07-05-2019","13:15:30",1,"B1_R3",4,"0.001066431","4.782565555","102.4214325","0.027336982",0.816962262,"40.44964839","40.62395484","3.748599104","50.16725717",186,2019,"midday"
"17","07-05-2019","13:19:23",2,"B1_R3",4,"7.03E-05","0.931431315","-434.9542083","0.001783222",0.816962262,"40.42323548","40.2637871","3.765506277","50.77195267",186,2019,"midday"
"18","07-05-2019","13:21:09",3,"B1_R3",4,"0.000694646","3.409621263","88.91781914","0.018483947",0.816962262,"39.78973226","39.90551935","3.611180279","50.42624226",186,2019,"midday"
"19","07-05-2019","13:25:24",1,"B1_R3",3,"0.001112906","2.472221172","241.675122","0.028840056",0.816962262,"40.0325871","39.97689677","3.716147382","50.11031552",186,2019,"midday"
"20","07-05-2019","13:26:45",2,"B1_R3",3,"0.000930756","4.473107572","88.88313989","0.024304114",0.816962262,"39.98445161","39.87422258","3.68390885","50.56487633",186,2019,"midday"
"21","07-05-2019","13:28:53",3,"B1_R3",3,"0.000448887","2.489077103","53.51695653","0.011992746",0.816962262,"39.63552581","39.79964194","3.593155707","50.13664776",186,2019,"midday"
"22","07-05-2019","13:33:21",1,"B1_R3",1,"0.001497373","5.313442851","179.3551507","0.042040296",0.816962262,"39.1942129","39.68677742","3.447482349","50.10527544",186,2019,"midday"
"23","07-05-2019","13:35:24",2,"B1_R3",1,"0.001048718","3.977612954","154.6102094","0.027988763",0.816962262,"39.64921935","39.75844516","3.610892134","50.0778252",186,2019,"midday"
"24","07-05-2019","13:36:52",3,"B1_R3",1,"0.003071923","9.270696699","187.6814669","0.078156509",0.816962262,"39.39177419","39.41659677","3.84236234","46.3944747",186,2019,"midday"
"25","07-05-2019","13:46:45",1,"B2_R3",6,"0.001229807","5.742087629","97.43784574","0.032167651",0.816962262,"39.69787742","39.56605806","3.688275948","49.79016632",186,2019,"midday"
"26","07-05-2019","13:49:11",2,"B2_R3",6,"0.000110997","1.681634402","-518.1430591","0.002918912",0.816962262,"39.88920645","40.11615806","3.638455427","50.02061422",186,2019,"midday"
"27","07-05-2019","13:51:58",1,"B2_R3",5,"0.000703628","3.43557139","80.45185621","0.018140004",0.816962262,"40.22030323","40.32941613","3.720805314","50.10585937",186,2019,"midday"
"28","07-05-2019","13:54:05",1,"B2_R3",3,"0.000599472","2.816723878","69.99579069","0.014397191",0.816962262,"40.99531935","40.62012581","3.982642419","50.03931337",186,2019,"midday"
"29","07-05-2019","13:55:42",1,"B2_R3",3,"-0.000844111","2.849951134","595.4380203","-0.019881498",0.816962262,"41.11310968","40.70001613","4.026095202","49.8989757",186,2019,"midday"
