"","date","day","year","block_id","round","leaf_temp","Leak","wrong_vine","pixel_number","treatment","BLOCK","SUB_BLOCK","LEAF","VINE","stem_wp_MPa","leaf_wp_MPa"
"1","6/4/21",155,2021,"B1R1_NW",4,37.2,"no","no",4,1,"B1R1","_NW","_1","_5.14",-1.02,-1.23
"2","6/4/21",155,2021,"B1R1_SE",4,38.6,"no","no",6,1,"B1R1","_SE","_1","_5.3",-0.8,-1.35
"3","6/4/21",155,2021,"B1R1_SE",4,31.4,"no","no",15,1,"B1R1","_SE","_1","_5.10",-0.69,-1.16
"4","6/4/21",155,2021,"B1R3_NE",4,32.3,"no","no",53,1,"B1R3","_NE","_1","_5.14",-1.03,-1.23
"5","6/4/21",155,2021,"B1R3_SE",4,33.4,"no","no",46,1,"B1R3","_SE","_1","_5.6",-0.87,-1.39
"6","6/4/21",155,2021,"B1R3_SE",4,34.4,"no","no",55,1,"B1R3","_SE","_1","_5.10",-0.84,-1.29
"7","6/4/21",155,2021,"B1R4_NW",4,35.6,"no","no",67,1,"B1R4","_NW","_1","_5.14",-1.2,-1.31
"8","6/4/21",155,2021,"B1R4_SE",4,29.3,"no","no",60,1,"B1R4","_SE","_1","_5.10",-0.88,-1.17
"9","6/4/21",155,2021,"B1R4_SE",4,34.3,"no","no",69,1,"B1R4","_SE","_1","_5.6",-0.9,-1.3
"10","6/4/21",155,2021,"B2R1_NW",4,34.3,"no","no",14,2,"B2R1","_NW","_1","_5.5",-1.01,-1.19
"11","6/4/21",155,2021,"B2R1_NW",4,37,"no","no",23,2,"B2R1","_NW","_1","_5.10",-0.91,-1.22
"12","6/4/21",155,2021,"B2R1_SW",4,38.3,"no","no",16,2,"B2R1","_SW","_1","_5.3",-0.82,-1.35
"13","6/4/21",155,2021,"B2R2_NW",4,31.9,"no","no",24,2,"B2R2","_NW","_1","_5.4",-0.94,-1.06
"14","6/4/21",155,2021,"B2R2_SW",4,35.2,"no","no",26,2,"B2R2","_SW","_1","_5.10",-0.84,-1.02
"15","6/4/21",155,2021,"B2R2_SW",4,32.4,"no","no",35,2,"B2R2","_SW","_1","_5.13",-0.79,-1.18
"16","6/4/21",155,2021,"B2R3_NW",4,33.8,"no","no",47,2,"B2R3","_NW","_1","_5.7",-0.94,-1.21
"17","6/4/21",155,2021,"B2R3_NW",4,33.2,"no","no",48,2,"B2R3","_NW","_1","_5.14",-1.22,-1.23
"18","6/4/21",155,2021,"B2R3_SE",4,30.2,"no","no",50,2,"B2R3","_SE","_1","_5.5",-0.88,-1.29
"19","6/4/21",155,2021,"B3R1_NW",4,35.5,"no","no",18,3,"B3R1","_NW","_1","_5.6",-1.18,-1.19
"20","6/4/21",155,2021,"B3R1_SW",4,34.3,"no","no",20,3,"B3R1","_SW","_1","_5.9",-0.67,-1.39
"21","6/4/21",155,2021,"B3R1_SW",4,29.6,"no","no",29,3,"B3R1","_SW","_1","_5.14",-0.76,-1.18
"22","6/4/21",155,2021,"B3R2_NE",4,34.8,"no","no",34,3,"B3R2","_NE","_1","_5.14",-1.01,-1.3
"23","6/4/21",155,2021,"B3R2_NE",4,36.8,"no","no",43,3,"B3R2","_NE","_1","_5.7",-1.09,-1.54
"24","6/4/21",155,2021,"B3R2_SE",4,32.7,"no","no",45,3,"B3R2","_SE","_1","_5.7",-0.8,-1.17
"25","6/4/21",155,2021,"B3R3_NE",4,32,"no","no",54,3,"B3R3","_NE","_1","_5.9",-0.96,-1.34
"26","6/4/21",155,2021,"B3R3_NE",4,34.3,"no","no",63,3,"B3R3","_NE","_1","_5.12",-1.22,-1.26
"27","6/4/21",155,2021,"B3R3_SE",4,29.2,"no","no",65,3,"B3R3","_SE","_1","_5.3",-0.85,-1.19
"28","6/15/21",166,2021,"B1R1_NW",4,39.8,"no","no",4,1,"B1R1","_NW","_1","_5.14",-0.55,-1.45
"29","6/15/21",166,2021,"B1R1_SE",4,35.5,"no","no",6,1,"B1R1","_SE","_1","_5.3",-0.65,-1.4
"30","6/15/21",166,2021,"B1R1_SE",4,37.2,"no","no",15,1,"B1R1","_SE","_1","_5.10",-0.95,-1.15
"31","6/15/21",166,2021,"B1R3_NE",4,38.6,"no","no",53,1,"B1R3","_NE","_1","_5.14",-0.914,-1.2
"32","6/15/21",166,2021,"B1R3_SE",4,26.9,"no","no",46,1,"B1R3","_SE","_1","_5.6",-0.8,-1.15
"33","6/15/21",166,2021,"B1R3_SE",4,32.8,"no","no",55,1,"B1R3","_SE","_1","_5.10",-0.95,-1.05
"34","6/15/21",166,2021,"B1R4_NW",4,41.2,"no","no",67,1,"B1R4","_NW","_1","_5.14",-0.86,-1.37
"35","6/15/21",166,2021,"B1R4_SE",4,33,"no","no",60,1,"B1R4","_SE","_1","_5.10",-0.9,-1.2
"36","6/15/21",166,2021,"B1R4_SE",4,34.4,"no","no",69,1,"B1R4","_SE","_1","_5.6",-0.95,-1.2
"37","6/15/21",166,2021,"B2R1_NW",4,40.6,"no","no",14,2,"B2R1","_NW","_1","_5.5",-1.03,-1.15
"38","6/15/21",166,2021,"B2R1_NW",4,38.4,"no","no",23,2,"B2R1","_NW","_1","_5.10",-0.97,-1.14
"39","6/15/21",166,2021,"B2R1_SW",4,35.4,"no","no",16,2,"B2R1","_SW","_1","_5.3",-0.75,-1.5
"40","6/15/21",166,2021,"B2R2_NW",4,34.7,"no","no",24,2,"B2R2","_NW","_1","_5.4",-0.88,-1.48
"41","6/15/21",166,2021,"B2R2_SW",4,34.5,"no","no",26,2,"B2R2","_SW","_1","_5.10",-0.95,-1.25
"42","6/15/21",166,2021,"B2R2_SW",4,33.8,"no","no",35,2,"B2R2","_SW","_1","_5.13",-0.8,-1.15
"43","6/15/21",166,2021,"B2R3_NW",4,30.7,"no","no",47,2,"B2R3","_NW","_1","_5.7",-0.83,-1.25
"44","6/15/21",166,2021,"B2R3_NW",4,35.9,"no","no",48,2,"B2R3","_NW","_1","_5.14",-0.89,-1.17
"45","6/15/21",166,2021,"B2R3_SE",4,29.6,"no","no",50,2,"B2R3","_SE","_1","_5.5",-0.8,-1.05
"46","6/15/21",166,2021,"B3R1_NW",4,34.8,"no","no",18,3,"B3R1","_NW","_1","_5.6",-1,-1.25
"47","6/15/21",166,2021,"B3R1_SW",4,33.1,"no","no",20,3,"B3R1","_SW","_1","_5.9",-1.1,-1.15
"48","6/15/21",166,2021,"B3R1_SW",4,NA,"no","no",29,3,"B3R1","_SW","_1","_5.14",NA,NA
"49","6/15/21",166,2021,"B3R2_NE",4,34.1,"no","no",34,3,"B3R2","_NE","_1",NA,-0.92,-1.05
"50","6/15/21",166,2021,"B3R2_NE",4,39.2,"no","no",43,3,"B3R2","_NE","_1","_5.7",-0.98,-1.07
"51","6/15/21",166,2021,"B3R2_SE",4,33.8,"no","no",45,3,"B3R2","_SE","_1","_5.7",-0.65,-1.3
"52","6/15/21",166,2021,"B3R3_NE",4,30.8,"no","no",54,3,"B3R3","_NE","_1","_5.9",-0.9,NA
"53","6/15/21",166,2021,"B3R3_NE",4,33.8,"no","no",63,3,"B3R3","_NE","_1","_5.12",-0.92,-1.26
"54","6/15/21",166,2021,"B3R3_SE",4,29.7,"no","no",65,3,"B3R3","_SE","_1","_5.3",-0.85,-1.15
"55","6/15/21",166,2021,"B1R1_NW",1,NA,"no","no",4,1,"B1R1","_NW","_1","_5.14",NA,-0.85
"56","6/15/21",166,2021,"B1R1_SE",1,NA,"no","no",6,1,"B1R1","_SE","_1","_5.3",NA,-0.45
"57","6/15/21",166,2021,"B1R1_SE",1,NA,"no","no",15,1,"B1R1","_SE","_1","_5.10",NA,-0.57
"58","6/15/21",166,2021,"B1R3_NE",1,NA,"no","no",53,1,"B1R3","_NE","_1","_5.14",NA,-0.95
"59","6/15/21",166,2021,"B1R3_SE",1,NA,"no","no",46,1,"B1R3","_SE","_1","_5.6",NA,-0.73
"60","6/15/21",166,2021,"B1R3_SE",1,NA,"no","no",55,1,"B1R3","_SE","_1","_5.10",NA,-0.55
"61","6/15/21",166,2021,"B1R4_NW",1,NA,"no","no",67,1,"B1R4","_NW","_1","_5.14",NA,-0.67
"62","6/15/21",166,2021,"B1R4_SE",1,NA,"no","no",60,1,"B1R4","_SE","_1","_5.10",NA,-0.69
"63","6/15/21",166,2021,"B1R4_SE",1,NA,"no","no",69,1,"B1R4","_SE","_1","_5.6",NA,-0.66
"64","6/15/21",166,2021,"B2R1_NW",1,NA,"no","no",14,2,"B2R1","_NW","_1","_5.5",NA,-0.56
"65","6/15/21",166,2021,"B2R1_NW",1,NA,"no","no",23,2,"B2R1","_NW","_1","_5.10",NA,-0.73
"66","6/15/21",166,2021,"B2R1_SW",1,NA,"no","no",16,2,"B2R1","_SW","_1","_5.3",NA,-0.77
